Species,Date,Latitude,Longitude
ANGE,2023-06-22,40.79392,-103.992
NAVI4,2023-07-12,43.46433026,-105.1767986
ANGE,2024-10-03,42.68999,-103.576
ANGE,2024-10-05,42.63965,-103.097
ANGE,2024-10-05,42.63965,-103.097
ANGE,2024-10-06,42.70649,-103.029
POSE,2024-07-11,42.25833,-105.482
HEPU3,2025-05-19,40.69622037,-105.5262346
HEPU3,2025-05-19,40.69622037,-105.5262346
HEPU3,2025-05-19,40.69622037,-105.5262346
HEPU3,2025-05-19,40.69622037,-105.5262346
HEPU3,2025-05-19,40.69622037,-105.5262346
POSE,2025-07-13,38.60002682,-106.7620689
ACLE9,1956-07-11,43.7558333,-110.9333333
ACLE9,1978-08-26,42.4986111,-110.6930556
ACLE9,2013-08-14,38.9562,-106.9903
ACLE9,1987-08-07,40.4192744,-105.8103441
ACLE9,1987-06-28,40.627189,-108.8587873
ACLE9,1982-06-29,39.8692008,-108.0570108
ACLE9,1991-08-24,39.794426,-107.417556
ACLE9,2012-07-31,38.96604,-106.9708
HEMU3,2003-08-10,40.11,-105.41
HEMU3,2000-09-02,38.96,-105.04
HEMU3,2012-07-31,38.96528,-106.97105
HEMU3,2012-08-17,38.95633,-106.9823
HEMU3,2014-06-30,38.935998,-106.958582
HEMU3,1982-07-15,39.7028707,-108.5694186
HEMU3,1947-08-29,38.4266528,-108.4223209
HEMU3,1964-08-15,39.8482176,-107.5813398
HEMU3,1955-08-16,39.8545586,-107.4314057
HEMU3,1976-08-26,40.751376,-106.624949
HEMU3,1994-07-22,40.31,-106.43
HEMU3,1989-08-16,39.586426,-105.250474
HEMU3,2010-08-04,38.95633,-106.99018
HEMU3,2010-08-04,38.95633,-106.99018
HEMU3,1934-07-09,37.4069138,-105.0726572
HEMU3,1980-08-09,40.75485,-106.58787
HEMU3,1999-08-16,37.7775,-105.0194
HEMU3,2024-09-11,37.3661,-107.866
HEMU3,1924-09-12,37.193936,-107.3152587
HEMU3,1978-08-16,37.3545811,-108.92657320000001
PEWH,1999-07-17,39.63,-105.76
PEWH,2003-07-19,39.87,-105.6
PEWH,2004-07-04,39.85,-105.67
PEWH,2004-07-18,40.92,-106.11
PEWH,2004-07-10,40.66,-105.89
PEWH,2004-07-16,40.49,-105.9
PEWH,2010-07-18,39.01301,-106.9813
PEWH,1960-07-28,38.954444,-107.000088
PEWH,2011-07-22,37.75777778,-107.7138889
PEWH,1967-07-26,37.737775,-107.698118
PEWH,2011-08-07,38.97906,-106.93186
PEWH,1974-08-08,40.624137,-105.690115
PEWH,2004-07-21,39.647,-105.586
PEWH,2004-07-21,39.647,-105.586
PEWH,1993-08-11,39.987999,-105.5770035
PEWH,2013-07-14,39.61861111,-105.6030556
PEWH,2009-07-15,38.8138,-104.99939
PEWH,1898-07-11,37.4004,-108.06272
PEWH,1964-07-16,40.34615,-106.74007
PEWH,1975-08-07,38.0947753,-105.6319118
PEWH,1964-07-06,39.66086,-105.58436
PEWH,1934-06-20,37.31751,-105.13818
PEWH,1964-07-06,39.66086,-105.58436
PEWH,2017-07-23,38.991084,-106.971292
PEWH,2018-07-14,39.012116,-106.942836
PEWH,1983-07-31,41.3279,-106.47261
PEWH,2013-07-21,39.488692,-106.2643697
PEWH,1965-06-28,40.417733,-105.527158
PEWH,1995-08-10,41.359963,-106.309969
PEWH,1995-08-10,41.359963,-106.309969
PEWH,2013-07-21,39.59333,-105.71326
PEWH,2019-07-29,38.977096,-106.976723
PEWH,2019-07-31,38.985389,-106.971445
PEWH,2019-07-31,38.984458,-106.970863
PEWH,2019-07-31,38.984458,-106.970863
PEWH,2019-08-12,38.984459,-106.968573
PEWH,2009-07-17,40.4,-106.62
PEWH,2007-07-21,39.38,-106.09
PEWH,2007-07-07,38.89,-107.71
PEWH,2015-08-08,39.13,-106.18
PEWH,1898-07-11,37.388423,-108.074674
PEWH,2021-07-24,38.971297,-106.942625
PEWH,2022-07-06,37.4471,-108.00658
PEWH,2021-07-02,37.382778,-108.045
PEWH,2013-07-17,38.67859,-106.50413
PEWH,1987-07-21,40.028477,-105.223139
