Species,Date,geometry
NAVI4,2023-07-12,"c(-105.1767986, 43.46433026)"
ANGE,2024-10-03,"c(-103.576, 42.68999)"
ANGE,2024-10-05,"c(-103.097, 42.63965)"
ANGE,2024-10-05,"c(-103.097, 42.63965)"
ANGE,2024-10-06,"c(-103.029, 42.70649)"
POSE,2024-07-11,"c(-105.482, 42.25833)"
POSE,2025-07-13,"c(-106.7620689, 38.60002682)"
ACLE9,2013-08-14,"c(-106.9903, 38.9562)"
ACLE9,1991-08-24,"c(-107.417556, 39.794426)"
HEMU3,2003-08-10,"c(-105.41, 40.11)"
HEMU3,2000-09-02,"c(-105.04, 38.96)"
HEMU3,2012-08-17,"c(-106.9823, 38.95633)"
HEMU3,2014-06-30,"c(-106.958582, 38.935998)"
HEMU3,1947-08-29,"c(-108.4223209, 38.4266528)"
HEMU3,1964-08-15,"c(-107.5813398, 39.8482176)"
HEMU3,1976-08-26,"c(-106.624949, 40.751376)"
HEMU3,1994-07-22,"c(-106.43, 40.31)"
HEMU3,2010-08-04,"c(-106.99018, 38.95633)"
HEMU3,2010-08-04,"c(-106.99018, 38.95633)"
HEMU3,1980-08-09,"c(-106.58787, 40.75485)"
HEMU3,1999-08-16,"c(-105.0194, 37.7775)"
HEMU3,2024-09-11,"c(-107.866, 37.3661)"
HEMU3,1924-09-12,"c(-107.3152587, 37.193936)"
PEWH,1999-07-17,"c(-105.76, 39.63)"
PEWH,2004-07-18,"c(-106.11, 40.92)"
PEWH,1960-07-28,"c(-107.000088, 38.954444)"
PEWH,1974-08-08,"c(-105.690115, 40.624137)"
PEWH,1993-08-11,"c(-105.5770035, 39.987999)"
PEWH,2009-07-15,"c(-104.99939, 38.8138)"
PEWH,1898-07-11,"c(-108.06272, 37.4004)"
PEWH,1975-08-07,"c(-105.6319118, 38.0947753)"
PEWH,1934-06-20,"c(-105.13818, 37.31751)"
PEWH,1983-07-31,"c(-106.47261, 41.3279)"
PEWH,2013-07-21,"c(-106.2643697, 39.4886919999999)"
PEWH,1995-08-10,"c(-106.309969, 41.359963)"
PEWH,1995-08-10,"c(-106.309969, 41.359963)"
PEWH,2009-07-17,"c(-106.62, 40.4)"
PEWH,2007-07-21,"c(-106.09, 39.38)"
PEWH,2015-08-08,"c(-106.18, 39.13)"
PEWH,1898-07-11,"c(-108.074674, 37.388423)"
PEWH,2022-07-06,"c(-108.00658, 37.4471)"
PEWH,2013-07-17,"c(-106.50413, 38.6785900000001)"
