Primary Key,Recollection,Species,PSZ,Ecoregion,Percent of Population with Mature Seed,Percent of Population with Developing Seed,Population,Are You Collecting Seeds on This Trip?,Elevation,Approximate Area of Population,Latitude,Longitude,GlobalID,Date
20241003_42.68999205-103.57612068,no,ANGE,1015SH,HP,10,0,200,no,4093,0.5,42.68999,-103.576,0aaac7a1-4348-4375-9aa1-520316f3f3c4,20241003
20241005_42.63965383-103.0967518,no,ANGE,1520SH,HP,10,0,200,no,4280,2,42.63965,-103.097,c2e5ac61-74ea-48d6-a0ba-cbd816c6b6e8,20241005
20241005_42.63965383-103.0967518,no,ANGE,1520SH,HP,10,0,200,no,4280,2,42.63965,-103.097,0d281f77-5255-422e-9153-e257349784e7,20241005
20241006_42.70649487-103.02883782,no,ANGE,1520SH,HP,70,0,150,no,4101,10,42.70649,-103.029,e97e92c9-e371-462d-bf2f-4c32a914cda0,20241006
20240917_44.86290350635978-107.46598624929419,no,ERSP4,1015HU,MR,85,10,500,yes,7822,0.25,44.8629,-107.466,7a469e99-9908-4b13-8ad3-067aa6206c65,20240919
20240918_44.318551616823-106.94785033162228,no,ERSP4,1015SH,MR,80,5,100,yes,7318,0.25,44.31855,-106.948,3ad4a7a8-05e8-4df5-b72d-010ca063a757,20240918
20240615_43.6467189-102.95766286,no,NAVI4,1015SH,NG,15,60,100000,yes,2708,10,43.64672,-102.958,c1b37232-a26c-4afa-b828-d8bdbedc6dad,20240616
20240626_43.27977364-105.01072236,no,NAVI4,1015SA,NG,45,45,2500,yes,4765,3,43.27977,-105.011,268258a7-272a-47d6-84c6-ff85600196ea,20240626
20240626_43.27977364-105.01072236,no,NAVI4,1015SA,NG,45,45,2500,yes,4765,3,43.27977,-105.011,72dfea52-3018-4f6e-b95d-8ace2b2caa72,20240626
20240626_43.27977364-105.01072236,no,NAVI4,1015SA,NG,45,45,2500,yes,4765,3,43.27977,-105.011,5c16da4b-e03f-433c-8a9f-d8b4e2aa6795,20240626
20240629_43.657268665572154-103.01573333149425,no,NAVI4,1015SH,NG,60,5,2500,yes,2968,60,43.65727,-103.016,4ed327bf-defd-4ef5-803a-fe1c67896a4c,20240629
20240710_42.22420743-105.34997072,no,POSE,1015SH,SR,75,20,4000,yes,7104,5,42.22421,-105.35,66bbe1c7-3d2d-48fb-af21-b466941caf2d,20240710
20240710_42.22420743-105.34997072,no,POSE,1015SH,SR,75,20,4000,yes,7104,5,42.22421,-105.35,b0bc1a34-9990-4694-8809-cf7a66fb616b,20240710
20240710_42.06168526-105.37408735,no,POSE,1015SH,SR,70,10,1000,yes,6914,4,42.06169,-105.374,ee8282f5-e0a0-4974-a5c6-c2241354aa1e,20240710
20240710_42.06168526-105.37408735,no,POSE,1015SH,SR,70,10,1000,yes,6914,4,42.06169,-105.374,dec10728-c9b5-4970-a7a6-8402625871e5,20240710
20240709_42.25832949-105.48156052,no,POSE,1015SH,SR,15,40,200,no,7643,3,42.25833,-105.482,1e198a35-9a6b-4018-90f8-7dd83178d9b8,20240711
