Primary Key,Date,Latitude,Longitude,Unit,Elevation,Provisional Seed Zone,Ecoregion,Recollection,GlobalID,Number of Plants Found,Collected Species,Other Species
20250520_40.77253631-105.54305576,5/20/2025 18:00,40.77253631,-105.5430558,NA,8057,1015SH,SR,no,07cdf99b-bda4-49e7-8341-1bb0404efa8f,3000,GETR,NA
20250520_40.76063685-105.54283788,5/20/2025 18:00,40.76063685,-105.5428379,NA,8045,1015SH,SR,no,0bf60bf6-b989-42ea-b722-8a3c3a90e661,4000,MOFI,NA
20250519_40.69622037-105.52623455,5/19/2025 18:00,40.69622037,-105.5262346,NA,6950,1520SH,SR,no,038638bb-9d8a-4ece-8ef3-8ce23a15b775,6425,HEPU3,NA
20250520_40.72171357-105.59281086,5/20/2025 18:00,40.72171357,-105.5928109,NA,8100,1015SH,SR,no,8adb227c-f9d4-4f4b-813e-26c4fb528767,1000,HEPU3,NA
20250529_40.75896001-104.46714864,5/29/2025 18:00,40.75896001,-104.4671486,NA,5294,1015SA,HP,no,9ddaebf6-e3b5-4f54-9d0a-ffb4cd9c035d,10000,BOGR,Bouteloua gracilis
20250604_40.45630055-105.42423453,6/4/2025 18:00,40.45630055,-105.4242345,NA,7047,1520SH,SR,no,a100dd78-dec7-4e6e-8a3b-2c376896bcf9,540,CAINH2,NA
20250611_42.73119987-108.8565137,6/11/2025 18:00,42.73119987,-108.8565137,NA,7126,0510SH,MR,no,953a796e-cf2b-42d4-b36b-ab4335ae1e2e,325,POSE,NA
20250614_43.57089203-109.88997151,6/14/2025 18:00,43.57089203,-109.8899715,NA,8615,0510SH,MR,no,17f07652-d467-4963-b68b-8544ba5b53c8,600,PEPR2,NA
20250615_43.65627847-109.93618302,6/15/2025 18:00,43.65627847,-109.936183,NA,7866,0005SH,MR,no,583bfea0-1cc4-4f74-9aca-6d2c62dde963,2700,PEPR2,NA
20250615_43.71343537-109.96688157,6/15/2025 18:00,43.71343537,-109.9668816,NA,8390,0005HU,MR,no,26355d4a-63b3-4b44-9e23-5edd070d9854,1200,PEPR2,NA
20250616_42.21952494-105.32919766,6/16/2025 18:00,42.21952494,-105.3291977,NA,6500,1015SH,SR,no,070209f8-819d-4cf2-9887-45922c23c0fb,810,CAINH2,NA
