ObjectID,GlobalID,Date,Latitude,Longitude,Elevation,Unit,Ranger District,Org_Code,Forest Name,Area Within District,Land owner,Location Details,Ecoregion,Provisional Seed Zone,Geology,Seed Collection Ref. Number,USFS Collection ID,Date Collection Started,Date Collection Ended,DateYMD,Recollection,Original Seed Reference Number,Collection Technique,Seeds Collected From,Reason for Collecting from Ground,Number of Plants Sampled,Number of Plants Found,Average Plant Height,Field Notes to Assist in Identification of Pressed Specimen,Coordinate Source,Accuracy,Accuracy of GPS Unit,GPS Datum,National Vegetation Classification,Modifying Factors,If Other Factor Please Specify,Slope,Aspect,Soil Texture,Number of Pressed Specimens,Date Voucher Taken,Herbaria names,How Confident are you in This Species' Identification?,Identified By,Material Identified,Date Identified,ID Comments,To be completed before you walk away from the site,CreationDate,Creator,EditDate,Editor,Associated Species,Notes on Associated Species,x,y
1,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/11/2023 14:20,43.44132329,-105.2123735,4760,feet,20609,20609,Medicine Bow-Routt National Forest,CR 942.DA,USFS," About 10 mi east in from HWY 59 on CR 942. Turn south on 942D, take for about a mile, then walk due east on 942DA for about 3/4 mile. ",NG,1015SA,Shale,USFSR2-01,NAVI4_NG1015SA_020609_20230711,7/11/2023 8:30,7/11/2023 10:15,20230711,no,,Every_5,Plants,,500,250000,2.5,Double-bent awn,GPS,GPS,Within 5m,WGS84,CEGL001579,"Grazed_Domestic,Trampled",,6,SW,Clay,2,7/11/2023 18:00,Local,9,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,herbarium_vouchers,Material_photo,filled_out,Bags",7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,,,-105.2123735,43.44132329
2,ae8ee68c-de3b-4fd1-8642-18a926d20625,7/11/2023 18:01,43.39555988,-105.3154079,4932,feet,20609,20609,Medicine Bow-Routt National Forest,"CR 944, west of woody creek",USFS,"From hwy 59, go east CR 942 approx 5 miles, then south on CR 944, approx 500ft on 944 head WSW approx 200 ft up hill near ridge top",NG,1015SA,Shale,,KOMA_NG1015SA_020609_,,,,,,,,,,,,,,,,,,Trampled,,,,,,,,,,,,,,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,,,-105.3154079,43.39555988
3,9c9f5e43-d1ee-44e4-a161-5f85b9fc4818,7/11/2023 18:45,43.39859716,-105.3506186,4875,feet,20609,20609,Medicine Bow-Routt National Forest,CR 35 / east of Robertson Flat Grave,USFS,"From hwy 59, east on CR 942 approx 2miles, north approx 50ft on unmarked dirt road (likely CR 35 on Avenza map of TBNG), due west from dirt road/CR35",NG,1015SA,Shale,USFSR2-02,NAVI4_NG1015SA_020609_20230711,7/11/2023 12:45,7/11/2023 14:50,20230711,no,,20_percent,Plants,,3000,500000,3,"Double bent awn, lemma difficult to separate from seed",GPS,GPS,Within 5m,WGS84,CEGL001579,No_Damage,,3,W,Sandy_Clay,2,7/11/2023 18:00,Local,9,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,,,-105.3506186,43.39859716
4,47eca464-4b75-424a-84c3-d7eaf4cdc877,7/11/2023 21:51,43.45018949,-105.2018841,4671,feet,20609,20609,Medicine Bow-Routt National Forest,CR 942C,USFS,"From hwy 59, turn east onto CR 942 and travel about 10.5 miles then turn south and travel 1 mile on county road 942C. Population on NE slope behind barbed wire.",NG,1015SA,Shale,,None_NG1015SA_020609_,,,,,,,,,,,,,,,,,,Other,Oil and gas pipeline,,,,,,,,,,,,,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,,,-105.2018841,43.45018949
5,27df92ab-86e3-4a74-aee6-9957cc384099,7/12/2023 13:17,43.46433026,-105.1767986,4392,feet,20609,20609,Medicine Bow-Routt National Forest,"CR 473, south of Gibson Draw",USFS,"From Hwy 59, east on CR 942 approx 17 miles, turn NE on CR 973 for approx 3/4mi before water crossing",NG,1015SA,Shale,USFSR2-03,SPAI_NG1015SA_020609_20230712,7/12/2023 7:17,7/12/2023 11:41,20230712,no,,Every_5,Plants,,4000,1000000,3,"Very hairy on ligule, gland at base of each node",GPS,GPS,Within 5m,WGS84,CEGL001579,No_Damage,,2,W,Clay,2,7/12/2023 18:00,Local,9,"Smith, J. ",From Pressed Specimen on Another Date,10/16/2023,ID revised from SPCR to SPAI,"landscape_photo,Material_photo,Individual_photo,herbarium_vouchers,Bags,filled_out",7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,,,-105.1767986,43.46433026
6,084aab3c-e7a6-4ec6-977e-cd3d432345b8,7/12/2023 19:04,43.51267355,-105.1923759,4600,feet,20609,20609,Medicine Bow-Routt National Forest,North 0.5 mi off of 943M,USFS,"From hwy 59 turn east onto CR 942 and take for 12 mi. Turn northwest onto CR 973 and take for 2 mi, then turn onto CR 943M until its end. Site on north slope about 0.5 mi from road",NG,1015SA,Shale,USFSR2-04,NAVI4_NG1015SA_020609_20230712,7/12/2023 13:04,7/12/2023 15:00,20230712,no,,20_percent,Plants,,1000,4000,3.5,Double-bent awn,GPS,GPS,Within 5m,WGS84,CEGL001583,Grazed_Wildlife,,11,SW,Sandy_Clay,2,7/12/2023 18:00,Local,9,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,,,-105.1923759,43.51267355
7,4a790056-437c-4310-8c4b-07ceb49a31db,7/12/2023 22:52,43.45244329,-105.1359817,4340,feet,20609,20609,Medicine Bow-Routt National Forest,CR 942,USFS,"From hwy 59, approx 20miles east on CR 942 approx 1/4 mile east of Antelope Creek",NG,1015SA,Shale,,SPCR_NG1015SA_020609_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,,,-105.1359817,43.45244329
8,34054a11-ce1c-49f2-9997-419ccee5bc2b,7/18/2023 14:56,43.44899125,-103.8541794,4288,feet,20303,20303,Black Hills National Forest,FS RD 319,USFS," From Richardson TH, CR 276 south, then south CR 715, FS Rd 16 south, head NW CR 319, approx 1/2 mi south of CR 319/321 junction",MR,1015SH,Shale,,HEVI4_MR1015SH_020303_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.8541794,43.44899125
9,a6e2d704-3aba-4e5e-a3b0-5a7a2aee69d7,7/18/2023 15:46,43.46299015,-103.8682733,4330,feet,20303,20303,Black Hills National Forest,CR 319,USFS,"From Richardson TH, FS Rd 276 south, CR 719 south, CR 317 south, FS Rd 16 SW, NW on FS Rd 319, approx 1/2mi passed CR 319/321 junction on NE side of road",MR,1015SH,Shale,,KOMA_MR1015SH_020303_,,,,,,,,,,,,,,,,,,Other,Exotic spp present in small patches,,,,,,,,,,,,,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.8682733,43.46299015
10,cba200c2-5a8f-412f-a59b-30b4c0e6ae60,7/18/2023 16:35,43.4678171,-103.876289,4412,feet,20303,20303,Black Hills National Forest,CR 319,USFS,"From Richardson TH, south to 276, CR 715 south, south CR  317, SW on FS Rd 16, NW on FS Rd 319, near intersection FS Rd 319/312 on SW side of road",MR,1015SH,Shale,,RACO3_MR1015SH_020303_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.876289,43.4678171
11,19cae91b-49c6-4902-9298-eeb7f3655ff2,7/18/2023 16:43,43.4727943,-103.8817239,4400,feet,20303,20303,Black Hills National Forest,CR 319,USFS,"From Richardson TH, south to 276, CR 715 south, south CR  317, SW on FS Rd 16, NW on FS Rd 319, approx 1/8mi north of intersection FS Rd 319/312",MR,1015SH,Shale,,DAPU_MR1015SH_020303_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.8817239,43.4727943
12,30ac24b8-8a2e-4995-a21e-1a2f0bb0bae2,7/18/2023 16:55,43.4772934,-103.8856837,4464,feet,20303,20303,Black Hills National Forest,CR 319,USFS,"From Richardson TH, south to 276, CR 715 south, south on CR 317, SW on FS Rd 16, NW on FS Rd 319, approx 1/2 mile north of intersection FS Rd 319/312",MR,1015SH,Shale,,BOGR2_MR1015SH_020303_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.8856837,43.4772934
13,3a68f482-45a3-42f2-a4b7-a899b9b1d990,7/18/2023 17:40,43.49946551,-103.9015838,4742,feet,20303,20303,Black Hills National Forest,FS Rdv319 on top of Pilgar Mountain,USFS,"From Richardson TH, south to 276, CR 715 south, south on CR 317, SW on FS Rd 16, NW on FS Rd 319, approx 3 miles north of intersection FS Rd 319/312 on flat top of Pilger Mountain after rough 4WD road",MR,1015SH,Shale,,BOGR2_MR1015SH_020303_,,,,,,,,,,,,,,,,,,Other,Disturbance,,,,,,,,,,,,,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.9015838,43.49946551
14,1f34f24a-44e6-41e1-a9d2-036ae04d5c4b,7/18/2023 19:20,43.51254656,-103.9363819,4456,feet,20303,20303,Black Hills National Forest,FS Rd 394,USFS,"From Richardson TH, south to 276, CR 715 south, south on CR 317, SW on FS Rd 16, NW on FS Rd 319, through and north of Pilger Mountain, East on FS Rd 394 for approx 1 mile",MR,1015SH,Shale,,BOGR2_MR1015SH_020303_,,,,,,,,,,,,,,,,,,"Grazed_Domestic,Other",Some non-native spp,,,,,,,,,,,,,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,,,-103.9363819,43.51254656
