Species,ObjectID,GlobalID,Species,Other Species,Comments,Approximate Area of Population,Approximate Number of Individual Plants Present and Accessible,Evidence of Disturbance/Damage,If Other Factor Please Specify,Notes,Percent of Population in Vegetative Growth,Percent of Population Flowering,Percent of Population with Developing Seed,Percent of Population with Mature Seed,Percent of Population Post Seed-Dispersal,Select the Most Frequently Occurring Seed Type,Other Damage:,Estimated Number of Healthy Seeds per Fruit:,Estimated Number of Fruits per Individual Plant,Viability Calculation Result,Are There at Least 50 Plants with Mature Seed in This Population?,Seeds_Collected,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Associated Species
NAVI4,1,31b480d7-ef1f-4cac-92f6-194f4f8f83b9,NAVI4,,,5,250000,"Grazed_Domestic,Trampled",,Minimal cattle presence,0,0,5,35,60,Healthy,,1,38,1900000,yes,yes,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
BOGR2,2,8114640e-8fb4-487e-b167-4ee576c33a81,BOGR2,,,5,100000,"Grazed_Wildlife,Trampled",,,10,20,70,0,0,Empty,,1,45,900000,no,no,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
SPAI,3,55365288-b996-4f07-a9c2-fea6bd52a99d,SPAI,,,0.0005,18,No_Damage,,,5,0,5,40,50,Healthy,,25,10,900,no,no,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
KOMA,4,7f3766a3-5931-4a89-8f55-f42dbb038ac6,KOMA,,,5,50000,"Grazed_Wildlife,Trampled",,,30,0,70,0,0,Empty,,6,12,720000,yes,no,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
PSSP6,5,f65a993a-9d5b-4d93-8594-340c037ded44,PSSP6,,,5,10000,No_Damage,,,5,0,10,15,70,Empty,,1,8,16000,yes,no,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
PASM,6,a280a4be-4c40-42b6-9ec2-dca8c188d173,PASM,,,5,100000,"Trampled,Grazed_Wildlife",,,80,15,5,0,0,Empty,,3,10,600000,no,no,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
RACO3,7,ff9c6341-1fc7-4cc8-a96f-d0323c2d6ea8,RACO3,,,2,500,No_Damage,,,10,80,10,0,0,Empty,,1,200,20000,no,no,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
BOGR2,8,5f8a1cbe-f825-4987-9ec2-16a052059395,BOGR2,,,1,10000,Trampled,,Minimal damage due to cattle walking,50,25,25,0,0,Empty,,1,50,100000,no,no,Empty seed option selected in this survey is meant to indicate seed has not yet matured. ,ae8ee68c-de3b-4fd1-8642-18a926d20625,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
KOMA,9,a6239481-d23c-4773-8685-3bd2d75973ed,KOMA,,,1,5000,Trampled,,Minimal damage from cattle walking,50,0,50,0,0,Empty,,3,13,39000,no,no,Empty option selected meant to indicate immature seed.,ae8ee68c-de3b-4fd1-8642-18a926d20625,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
NAVI4,10,b914cb79-3924-4eb5-90af-5b33a133c116,NAVI4,,,9,500000,No_Damage,,Some beetles on inflorescences,10,0,10,70,10,Healthy,,15,9,13500000,yes,yes,,9c9f5e43-d1ee-44e4-a161-5f85b9fc4818,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
None,11,7580c974-de6b-4ffc-b9f1-c317f45ee31e,None,,New oil and gas pipeline suspected NE of road behind barbed wire fence close to HEVI4 from SEINET documented collection site.,0,0,Other,Oil and gas pipeline,,0,0,0,0,0,Healthy,,0,0,0,no,no,,47eca464-4b75-424a-84c3-d7eaf4cdc877,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
SPCR,12,e79dedab-f9be-4620-b198-cb5a7f950019,SPCR,,,15,1000000,No_Damage,,,5,5,30,50,10,Healthy,,100,27,540000000,yes,yes,,27df92ab-86e3-4a74-aee6-9957cc384099,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
NAVI4,13,170a4076-a514-457e-9a6f-7ce5383d6a6e,NAVI4,,,5,15000,No_Damage,,,20,0,10,30,40,Healthy,,6,10,180000,yes,no,,27df92ab-86e3-4a74-aee6-9957cc384099,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
NAVI4,14,588b86e3-770c-48dc-a537-74d2f9799107,NAVI4,,,7,4000,Grazed_Wildlife,,Very minimal damage,10,5,10,50,25,Healthy,,10,13,104000,yes,yes,,084aab3c-e7a6-4ec6-977e-cd3d432345b8,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
BOGR2,15,76709a0c-a82d-4ca7-9835-16434ea3b89d,BOGR2,,,,10000,No_Damage,,,10,15,75,0,0,Healthy,,,,,no,no,Location for collection ,4a790056-437c-4310-8c4b-07ceb49a31db,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
SPCR,16,08bf2b66-90e4-44a1-86a8-c8c1532538df,SPCR,,,,4000,No_Damage,,,5,5,50,30,10,Healthy,,,,,no,no,,4a790056-437c-4310-8c4b-07ceb49a31db,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
HEVI4,17,7f46faf2-78bf-4ed2-8cb5-ec6f8ce418eb,HEVI4,,,,500,No_Damage,,,10,80,10,0,0,Healthy,,,,,no,no,"Other spp for potential collection: B gracilis, D purpurea",34054a11-ce1c-49f2-9997-419ccee5bc2b,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
KOMA,18,b27f0a28-59bb-4f98-93b2-7c61daebeeb0,KOMA,,,,2000,Other,Exotic spp present in small patches,,55,0,0,5,40,Healthy,,,,,no,no,Seeds shattered/passed maturity,a6e2d704-3aba-4e5e-a3b0-5a7a2aee69d7,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
RACO3,19,ba7f2499-34c4-4801-9587-f1bfc389f027,RACO3,,,,300,No_Damage,,,15,70,15,0,0,Healthy,,,,,no,no,"Potential collection site for Elymus glaucus/trachycaulis, must ID and confirm Elymus spp 1st",cba200c2-5a8f-412f-a59b-30b4c0e6ae60,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
DAPU,20,dbd627c5-15b0-4b66-a502-4f0384606a96,DAPU,,,,600,No_Damage,,,10,70,10,0,0,Healthy,,,,,no,no,"Other spp: N viridula, H villosa, K macrantha",19cae91b-49c6-4902-9298-eeb7f3655ff2,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
BOGR2,21,ee1a6fcc-c164-459a-91a5-5f09da1f77b2,BOGR2,,,,400,No_Damage,,,30,10,60,0,0,Healthy,,,,,no,no,"Other spp: D purpurea, H villosa, maybe P secunda, some N viridula, ",30ac24b8-8a2e-4995-a21e-1a2f0bb0bae2,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
BOGR2,22,4ab6ef62-95e7-4ee6-a072-2d9e80a5ca2b,BOGR2,,,,1000,Other,Disturbance,,10,20,70,0,0,Healthy,,,,,no,no,"Rough 4WD to access area; Other potential spp for collection: H villosa, P smithii, N viridula (small patch of A gerardii in vicinity along rd)",3a68f482-45a3-42f2-a4b7-a899b9b1d990,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
