ObjectID,GlobalID,Primary Key,Seed Collection Ref. Number,USFS Collection ID,Date Collection Started,Date Collection Ended,DateYMD,Recollection,Original Seed Reference Number,Collected Species,Other Species,Comments,Species Collection Number,Collection Technique,Seeds Collected From,Reason for Collecting from Ground,Number of Plants Sampled,Number of Plants Found,Average Plant Height,Field Notes to Assist in Identification of Pressed Specimen,Ecoregion,Ranger District,Org_Code,Provisional Seed Zone,Geology,Has There Been a Change in the Site's Disturbance/Damage Since Your Pre-Collection Form?,New Modifying Factors,If Other Factor Please Specify,Land Form,If Other Land Form Please Specify,Slope,Aspect,Number of Pressed Specimens,Date Voucher Taken,Herbaria names,How Confident are you in This Species' Identification?,Identified By,Material Identified,Date Identified,To be completed before you walk away from the site,Soil Texture,If Other Soil Type Please Specify,National Vegetation Classification,How Confident are you in this Vegetation's Classification?,Notes on NVC,Seed Collection Raw Weight,CreationDate,Creator,EditDate,Editor,x,y
3,2b5fca6e-c1da-44c3-9ac3-f43c38cc0109,20240530_40.74658616-105.541405,USFSR2.1-001,ERCO4_SR1015SH_021005_20240530-01,5/30/2024 20:22,5/30/2024 18:00,20240530,no,,ERCO4,,,01,Every_5,Plants,,125,1000,0.25,"White floers,leaves twice ternate,fiberous roots",SR,21005,21005,1015SH,Alkali-feldspar-granite,no,,,Highland,,5,E,2,5/30/2024 18:00,Local,8,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Other,Gravelly coarse sandy loam,"Pinus ponderosa var. scopulorum / Purshia tridentata Southern Rocky Mountain Woodland
Code: CEGL005647",6,Did have up to 20% rock cover. Up to 30% litter/duff layer. May have more forb cover than described.,6,06/04/2024 19:17:43.248,ac15_CSUesri,10/22/2024 16:35:55.439,cnhp_guest4,-105.5401308,40.74619124
4,37b8147b-05df-430c-8691-94c9410158c7,20240616_40.83203229-104.50438293,USFSR2.2-001,NAVI4_HP1015SA_021006_20240616-01,6/16/2024 21:07,6/16/2024 18:00,20240616,no,,NAVI4,,,01,20_percent,Plants,,75,75,1,,HP,21006,21006,1015SA,Shale,no,,,Alluvial_Valley,,7,E,2,6/16/2024 18:00,Local,9,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Loam,,"Bouteloua gracilis - Bouteloua dactyloides Grassland
Code: CEGL001756",8,"Could also match CEGL008293 due to the presence of Krascheninnikovia lanata, but CEGL008293 does not occur in CO according to NatureSreve",5,06/18/2024 15:21:10.855,ac15_CSUesri,10/21/2024 21:54:30.953,cnhp_guest4,-104.5047474,40.83166642
5,c1b37232-a26c-4afa-b828-d8bdbedc6dad,20240615_43.6467189-102.95766286,USFSR2.1-002,NAVI4_NG1015SH_020705_20240616-01,6/16/2024 14:22,6/16/2024 18:00,20240616,no,,NAVI4,,,01,20_percent,Plants,,8000,100000,2.75,"Strongly overlapping lemma, awns 3cm avg.",NG,20705,20705,1015SH,Clay,no,,,Alluvial_Fan,,3,Flat,2,6/16/2024 18:00,Local,9,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Clay,,"Pascopyrum smithii - Nassella viridula Northwestern Great Plains Grassland Alliance: A4031
Pascopyrum smithii - Nassella viridula Grassland: CEGL001583",7,Soil is described in summary are different than soils described in environmental summary,113,06/18/2024 17:37:46.788,cnhp_guest4,10/22/2024 16:10:19.406,cnhp_guest4,-102.9576489,43.64671026
6,42c7f21d-9e83-485a-8180-59850cc1360f,20240617_43.69925615-102.89019192,USFSR2.1-003,NAVI4_NG1015SH_020705_20240617-01,6/17/2024 14:02,6/17/2024 18:00,20240617,no,,NAVI4,,,01,20_percent,Plants,,1250,3000,2.5,"Strongly overlapping lemma, awms 9mm avg",NG,20705,20705,1015SH,Claystone,no,,,Plains,,5,W,2,6/17/2024 18:00,Local,9,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"herbarium_vouchers,landscape_photo,Individual_photo,Material_photo,Bags,filled_out",Silty_Clay_Loam,,"Pascopyrum smithii - Nassella viridula Northwestern Great Plains Grassland Alliance: A4031
Pascopyrum smithii - Hesperostipa comata Central mixed grassland: CEGL002034",6,"Hesperostipa comata less dominant at this site, Nassella viridula not mentioned in floristic summary. Environmental summary was more consistant with on the ground observations hence descision",227,06/18/2024 17:37:51.178,cnhp_guest4,10/22/2024 18:03:37.193,cnhp_guest4,-102.8904832,43.69897076
7,268258a7-272a-47d6-84c6-ff85600196ea,20240626_43.27977364-105.01072236,USFSR2.1-005,NAVI4_NG1015SA_020609_20240626-01,6/27/2024 3:55,6/26/2024 17:51,20240626,no,,NAVI4,,,01,20_percent,Plants,,150,300,1.2,,NG,20609,20609,1015SA,Shale,no,,,Gulch,,8,N,3,6/26/2024 18:00,Local,9,dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Clay_Loam,,Group 331. The closest association is Pascopyrum smithii - Bouteloua gracilis - Carex filifolia Grassland CEGL001579.,6,"Unsure of Carex sp. Description matches site, especially soils.",5,06/26/2024 23:17:33.913,cnhp_guest4,10/21/2024 22:41:00.601,cnhp_guest4,-105.0105156,43.27871914
8,c5ebba8f-0afc-401b-af0a-3f3363641203,20240626_42238722564-105.07113388008,USFSR2.1-009,POSE_NG1015SA_020609_20240626-02,6/26/2024 20:47,6/26/2024 22:14,20240626,no,,POSE,,,02,Every_5,Plants,,450,2250,1,,NG,20609,20609,1015SA,Shale,no,,,Gulch,,8,SE,2,6/26/2024 18:00,Local,9,Dina clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Loam,,Group 331. The closest association is Artemisia tridentata ssp. wyomingensis / Bouteloua gracilis Northwestern plains Shrubland CEGL008295.,6,All diagnostic species present. Sarcobatus vermiculatus also present and noted as a Great Basin indicator species. Unsure of Great Basin plant community types that are not intermountain.,290,06/26/2024 23:17:37.362,cnhp_guest4,10/21/2024 22:41:01.655,cnhp_guest4,-105.0713941,43.23874073
9,1db445ba-1e5a-409f-8112-c6e54e3ee3c3,20240627_43.68670875-105.05107441,USFSR2.1-010,NAVI4_NG1015SA_020609_20240627-01,6/27/2024 15:40,6/27/2024 16:20,20240627,no,,NAVI4,,,01,20_percent,Plants,,1255,2000,3,,NG,20609,20609,1015SA,Shale,no,,,Hillslope,,5,SE,2,6/27/2024 18:00,Local,9,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"Individual_photo,landscape_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Loam,,Artemisia tridentata ssp. wyomingensis / Bouteloua gracilis Northwestern plains Shrubland CEGL008295,8,,135,07/02/2024 14:10:50.416,cnhp_guest4,10/21/2024 22:41:02.419,cnhp_guest4,-105.0499016,43.6856704
10,bf68de14-b25e-4365-9cce-76f957744bc8,20240628_44.14183006-104.50497966,USFSR2.2-004,NAVI4_NG0510SH_020609_20240628-01,6/28/2024 17:30,6/28/2024 18:00,20240628,no,,NAVI4,,,01,20_percent,Plants,,150,200,2,,NG,20609,20609,0510SH,Sandstone,no,,,Hillslope,,10,SE,2,6/28/2024 18:00,Local,7,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Clay,,Pascopyrum smithii Central Rocky Mountain Grassland CEGL005653,6,,10,07/02/2024 14:10:53.282,cnhp_guest4,10/21/2024 22:41:03.117,cnhp_guest4,-104.5049946,44.14176639
11,e027a106-956f-409d-8435-a62407a75b46,20240628_44.14183006-104.50497966,USFSR2.2-005,KOMA_NG0510SH_020609_20240628-01,6/28/2024 17:30,6/28/2024 18:20,20240628,no,,KOMA,,,01,Every_5,Plants,,80,1000,1,,NG,20609,20609,0510SH,Sandstone,no,,,Hillslope,,10,SE,2,6/28/2024 18:00,Local,9,Dina clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Clay,,Pascopyrum smithii Central Rocky Mountain Grassland CEGL005653,6,Unsure if extension of Black Hills/Rocky Mountain plant community type. Diagnostic characteristics fit best with site.,75,07/02/2024 14:10:55.526,cnhp_guest4,10/21/2024 22:41:04.247,cnhp_guest4,-104.5049572,44.14183492
12,611a5b17-c50b-4281-a87b-6e086485607b,20240628_44.04797481-104.48998794,USFSR2.2-006,POSE_NG1015SH_020609_20240628-01,6/28/2024 20:18,6/28/2024 21:01,20240628,no,,POSE,,,01,Every_5,Plants,,85,350,0.7,,NG,20609,20609,1015SH,Sandstone,no,,,Flat,,2,SE,2,6/28/2024 18:00,Local,8,Dina Clark,From Pressed Specimen on Another Date,7/23/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Clay,,Group 331. The closest association is Artemisia tridentata ssp. wyomingensis / Pascopyrum smithii - Pseudoroegneria spicata Shrub Grassland CEGL008299.,5,Further characterization of this type is needed.,40,07/02/2024 14:10:57.544,cnhp_guest4,10/21/2024 22:41:05.013,cnhp_guest4,-104.4899709,44.0480841
