ObjectID,GlobalID,Target Species,Other Species,Comments,Approximate Area of Population,Evidence of Disturbance/Damage,If Other Factor Please Specify,Approximate Number of Individual Plants Present and Accessible,Percent of Population in Vegetative Growth,Percent of Population Flowering,Percent of Population with Developing Seed,Percent of Population with Mature Seed,Percent of Population Post Seed-Dispersal,Select the Most Frequently Occurring Seed Type,Other Damage:,Estimated Number of Healthy Seeds per Fruit,Estimated Number of Fruits per Stem,Estimated Number of Stems per Individual Plant,Viability Calculation Result,Estimate the Number of Individual Plants at Natural Dispersal Stage,Are You Collecting Seeds on This Trip?,Primary Key,General Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
3,a6f8ba92-75c7-4992-82ee-9ddf05c1b1ae,ERCO4,,,0.5,Burnt,,200,30,70,0,0,0,Immature,,1,0,0,0,<50,no,20240528_40.73203807-105.60201523,,e6026c39-2892-4309-9d0b-4df962c4d25e,########,cnhp_guest4,########,cnhp_guest4
4,eb41ec29-a8be-45e1-8dcc-0e139b6a82c9,KOMA,,,0.5,Burnt,,15,100,0,0,0,0,Immature,,2,30,2,360,<50,no,20240528_40.73203807-105.60201523,,e6026c39-2892-4309-9d0b-4df962c4d25e,########,cnhp_guest4,########,cnhp_guest4
5,d415457e-38e6-47f7-8c94-8187fa784306,HEVI4,,,0.5,Burnt,,20,100,0,0,0,0,Immature,,1,37,21,3108,<50,no,20240528_40.73206415-105.60209176,,e6026c39-2892-4309-9d0b-4df962c4d25e,########,cnhp_guest4,########,cnhp_guest4
6,41a96f2d-8b49-48ea-b172-ae87585700ce,THMO6,,,0.01,Other,Roadside,50,70,30,0,0,0,Immature,,7,5,0,0,<50,no,20240528_40.68287383-105.49259732,,1da1a375-6df8-42fe-9841-3bc8f9f9e234,########,cnhp_guest4,########,cnhp_guest4
7,8772a447-d701-4c05-867a-75cc2cf1687c,ERCO4,,,0.33,Burnt,,150,30,60,0,0,0,Immature,,1,0,0,0,<50,no,20240529_40.72904086-105.63804776,,376badec-6402-4f6d-a6fb-114965ad6564,########,cnhp_guest4,########,cnhp_guest4
8,a897500c-74f5-480d-b618-ba4dc97d71e5,KOMA,,,1,Burnt,,70,100,0,0,0,0,Immature,,2,30,0,0,<50,no,20240529_40.72904086-105.63804776,,376badec-6402-4f6d-a6fb-114965ad6564,########,cnhp_guest4,########,cnhp_guest4
9,44c09b68-33df-49b5-99c6-e9966d87f00d,NAVI4,,,1,No_Damage,,100,100,0,0,0,0,Immature,,1,91,3,5460,<50,no,20240529_40.69596814-105.31190088,,47d45c8c-30fb-4c97-baa7-3e05967f7eee,########,cnhp_guest4,########,cnhp_guest4
10,a3748ea9-459c-430f-a37a-da7bbddfc396,MOFI,,,0.59525,No_Damage,,120,100,0,0,0,0,Immature,,1,400,6,57600,<50,no,20240529_40.68623746-105.34780097,"Thermopsis spp., heliomeris multiflora, hetertheca villosa, erigonum umbellatum, bouteloua gracilis also noted along trail.",b7a787c3-5e5f-4e59-bd1d-7c79cae5b575,########,cnhp_guest4,########,cnhp_guest4
11,9a5b2d88-3b14-469a-b9ff-665d9bfa0dfe,ERUM,,,1.5,No_Damage,,500,90,10,0,0,0,Immature,,0,0,0,0,<50,no,20240601_40.12820712-105.83939296,Elymus trachecaulus along forest margins.,0063f761-111e-4d44-ae21-8c4b5967c5eb,########,cnhp_guest4,########,cnhp_guest4
12,98cdf038-e63f-4aee-8672-f68667807278,BOGR2,,,1,Grazed_Wildlife,,400,100,0,0,0,0,Immature,,1,54,4,17280,<50,no,20240528_40.6977792-105.52140314,,2903c304-eab0-4651-9f1d-39b27e01a999,########,cnhp_guest4,########,cnhp_guest4
