ObjectID,GlobalID,Date,DateYMD,Coordinate Source,Accuracy,Accuracy of GPS Unit,GPS Datum,Latitude,Longitude,Elevation,Unit,Ranger District,Org_Code,Forest Name,Area Within District,Land owner,Location Details,CreationDate,Creator,EditDate,Editor,x,y
3,e6026c39-2892-4309-9d0b-4df962c4d25e,########,20240528,GPS,GPS,Within 5m,WGS84,40.73206,-105.602,8565,feet,21005,21005,Arapaho and Roosevelt National Forests,FR171 off the N side,USFS,From Red Feather Lakes take 74 e west. Turn south onto CR69 until FR171. Turn W onto 171. Take 171 for about 600ft. Then park on the south side of road. Site is on the North side of road ~450 ft. ,########,cnhp_guest4,########,cnhp_guest4,-105.602,40.73206
4,1da1a375-6df8-42fe-9841-3bc8f9f9e234,########,20240528,GPS,GPS,Within 5m,WGS84,40.68287,-105.493,7269,feet,21005,21005,Arapaho and Roosevelt National Forests,Kelly Flats Campground,USFS,"From Laporte, take Colorado highway 14 west. Turn south onto CR 63E and travel .5 mi to Kelly Flats Campground. Site is on the W side of the road.",########,cnhp_guest4,########,cnhp_guest4,-105.493,40.68287
5,376badec-6402-4f6d-a6fb-114965ad6564,########,20240529,GPS,GPS,Within 5m,WGS84,40.72904,-105.638,9069,feet,21005,21005,Arapaho and Roosevelt National Forests,End of 171H,USFS,"Starting from Red Feather Lakes, take 74e west and turn south onto CR69. Take until FR171. Turn SW onto 171H and park at the beginning of the road. Walk up the road to collect graminoids. ERCO4 is at the end of the road. ",########,cnhp_guest4,########,cnhp_guest4,-105.638,40.72904
6,47d45c8c-30fb-4c97-baa7-3e05967f7eee,########,20240529,GPS,GPS,Within 5m,WGS84,40.69597,-105.312,5796,feet,21005,21005,Arapaho and Roosevelt National Forests,Hulett gulch,USFS,From la port take 287 north to co highway 14. turn north onto hulett gullch trailhead rd. park iin lot. site abbout 2000 ft from traailhead.,########,cnhp_guest4,########,ac15_CSUesri,-105.312,40.69597
7,b7a787c3-5e5f-4e59-bd1d-7c79cae5b575,########,20240529,GPS,GPS,Within 5m,WGS84,40.68624,-105.348,5911,feet,21005,21005,Arapaho and Roosevelt National Forests,Young gulch trailhead,USFS,Fromm laa  pporrtt ttaake higghhway 22887  norrth.. turnn  weestt   oonntoo  co  higgghwwwaayy 14. turn south at young gulch th. abouth 800 ft from th.,########,cnhp_guest4,########,ac15_CSUesri,-105.348,40.68624
8,0063f761-111e-4d44-ae21-8c4b5967c5eb,########,20240601,GPS,GPS,Within 5m,WGS84,40.12821,-105.839,8390,feet,21008,21008,Arapaho and Roosevelt National Forests,Doe creek trail,USFS,"From granby, head north on us40 for 4.9 miles. then turn east on us34 E. in 5.4 miles, turn south onto CO hwy6. Continue for aabout 5 miles and park at doe creek th. hike up doe creek trail .3 miles to clearing, just before trail junction.",########,cnhp_guest4,########,cnhp_guest4,-105.839,40.12821
9,2903c304-eab0-4651-9f1d-39b27e01a999,########,20240528,GPS,GPS,Within 5m,WGS84,40.69778,-105.521,6901,feet,21005,21005,Arapaho and Roosevelt National Forests,Mile marker 94,USFS,"From kelly flats campground, head west on highway 14 for 2.5 miles and park on north side of road in parking lot. Take trail until it meets the river and go east 1000 ft.",########,cnhp_guest4,########,cnhp_guest4,-105.521,40.69778
10,252af49b-e841-4885-9b75-cc60c6c9f17a,########,20240530,GPS,GPS,Within 5m,WGS84,40.71127,-105.412,7269,feet,21005,21005,Arapaho and Roosevelt National Forests,Fr339.1 closer to gate,USFS,"From la port take highway 287 north turn west onto 74 E then south onto cr 196, turn se onto fr 3991. Site is on the north facing slope once opening gate.",########,cnhp_guest4,########,cnhp_guest4,-105.412,40.71127
11,cbe837df-cb68-46d8-96fa-c65364234d8b,########,20240530,GPS,GPS,Within 5m,WGS84,40.74556,-105.548,7890,feet,21005,21005,Arapaho and Roosevelt National Forests,Elkhorn Creek Trail,USFS,"From Laporte, take highway 287n turn west onto 74e. Thrn SW onto 68C. Park in elkhorn creek trail parkinglot. Go about 2000ft. On south slope. Look for burn pile.",########,cnhp_guest4,########,cnhp_guest4,-105.548,40.74556
12,3d07edb4-3678-4f8e-9429-94fcc8a0d61d,########,20240601,GPS,GPS,Within 5m,WGS84,40.1449,-105.879,8197,feet,21008,21008,Arapaho and Roosevelt National Forests,Near sunset point,USFS,"From Granby, head north on US-40 for 0.9 miles. Turn right onto US-34 E. In 5.4 miles, turn right onto CO Hwy 6. In 0.8 miles, your destination will be on the right. Park on the dirt road at the No Motor Vehicle sign. From there, walk down the road a short ways. The E. Trachycaukus will fringe thenmarshy area. E. Umbellatum will be on the drier, south-facing slopes below the highway.",########,cnhp_guest4,########,cnhp_guest4,-105.879,40.1449
