ObjectID,GlobalID,Primary Key,What group is leading this collection?,Date Collection Started,YMD,Recollection,Original Seed Reference Number,Collector Names,Land Form,If other land form please specify,Slope,Aspect,Ecoregion,Ranger District,District Org Code,Ranger_Dist_Hidden,Forest Name,Provisional Seed Zone,Geology,Collected species codes,To be completed before you walk away from the site,Identified By,Material Identified,Date Identified,Soil Texture,If Other Soil Type Please Specify,National Vegetation Classification,How Confident are you in this Vegetation's Classification?,Notes on NVC,Seed Collection Raw Weight,Collection Weight in lbs,Approximate Number of Seeds Collected,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,51000b03-de42-4c81-9cd3-9d35fd8ef714,20250604_40.45630055-105.42423453,CNHPY3.1,6/5/2025 14:30,20250605,no,,"Curtis_Drake,Blake_Granquist",Hillslope,,13,N,SR,21005,21005,Canyon Lakes Ranger District,Arapaho and Roosevelt National Forests,1520SH,Migmatite,CAINH2,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Sandy_Loam,,CEGL000182 Pinus ponderosa / Carex geyeri Woodland,2,It matches if you swap C. geyeri for C. inops,9,0.02,25735,1.26478E-06,0.005354134,06/05/2025 19:42:51.639,cnhp_guest4,06/05/2025 19:42:51.639,cnhp_guest4
2,6e02ce87-2aa6-4f99-b8de-c52870a91fdc,20250616_42.21952494-105.32919766,CNHPY3.1,6/16/2025 21:15,20250616,no,,"Curtis_Drake,Blake_Granquist,Other",Drainage,,10,E,SR,20609,20609,Douglas Ranger District/Thunder Basin National Grassland,Medicine Bow-Routt National Forest,1015SH,Gneiss,CAINH2,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Sandy_Loam,,CEGL000182 Pinus ponderosa / Carex geyeri Woodland,1,"It matches if you swap C. geyeri for C. inops. Also, Pinus ponderosa was present but has burned.",8,,,8.12372E-07,0.003965987,06/30/2025 23:26:09.473,cnhp_guest7,07/30/2025 17:01:44.065,cnhp_guest4
3,291c05a4-36e9-41ec-9659-98286da469d1,20250625_38.68143607-105.88682822,CNHPY3.1,6/25/2025 18:56,20250625,no,,"Curtis_Drake,Blake_Granquist,Other",Flat,,2,NE,SR,21202,21202,Salida Ranger District,Pike and San Isabel National Forests,0510SH,Siltstone,CAINH2,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Unsure,,A3398 Ponderosa Pine Southern Rocky Mountain Forest and Woodland Alliance,7,,3,0.01,8578,1.27728E-07,0.003390883,06/30/2025 23:26:12.842,cnhp_guest7,07/28/2025 18:10:05.381,cnhp_guest4
4,2d9fbd24-33a3-4f6a-8f84-fdd0e85fcc16,20250628_37.91191164-105.21128376,CNHPY3.1,6/28/2025 20:51,20250628,no,,"Curtis_Drake,Blake_Granquist,Other",Hills,,3,SW,SR,21203,21203,San Carlos Ranger District,Pike and San Isabel National Forests,1015SH,Shale,CAINH2,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Other,Gravelly fine xandy loam,A3398 Ponderosa Pine Southern Rocky Mountain Forest and Woodland Alliance,6,,176,0.39,223033,6.3907E-06,0.013048301,06/30/2025 23:26:14.924,cnhp_guest7,07/28/2025 18:10:24.135,cnhp_guest4
5,53c2154c-a3d2-4554-8aa3-3f16ca77789b,20250628_37.9276444-105.20517846,CNHPY3.1,6/28/2025 13:43,20250628,no,,"Blake_Granquist,Curtis_Drake,Other",Intermontane_Basin,,3,E,SR,21203,21203,San Carlos Ranger District,Pike and San Isabel National Forests,1015SH,Shale,CAINH2,"Individual_photo,herbarium_vouchers,Bags,filled_out",Blake Granquist,In Field,6/28/2025 18:00,Sandy_Loam,,A3398 Ponderosa Pine Southern Rocky Mountain Woodland and Forest Alliance,9,,78,0.17,223033,1.52245E-06,0.005651929,07/01/2025 16:09:01.495,cnhp_guest7,07/15/2025 21:43:35.146,cnhp_guest7
6,92567bd9-8c9b-412c-a40c-8fca163036f4,20250627_37.92603662-105.21410015,CNHPY3.1,6/28/2025 17:41,20250628,no,,"Curtis_Drake,Blake_Granquist,Other,Mele_Avery,Maggie_Gaddis",Hillslope,,6,NW,SR,21203,21203,San Carlos Ranger District,Pike and San Isabel National Forests,1015SH,Shale,CAINH2,Bags,,,,Sandy_Loam,,A3398 Ponderosa Pine Southern Rocky Mountain Forest and Woodlamd Alliance,9,,28,0.06,80063,3.45013E-06,0.008007371,07/01/2025 16:09:03.199,cnhp_guest7,07/15/2025 21:41:51.013,cnhp_guest7
7,7c7c74de-9834-4ae3-9ed4-82376ce534b2,20250712_38.96774491-108.09507418,CNHPY3.1,7/12/2025 13:24,20250712,no,,"Blake_Granquist,Curtis_Drake,Other",Highland,,3,SE,SR,20402,20402,Grand Valley Ranger District,"Grand Mesa, Uncompahgre and Gunnison National Forests",0510VH,Basalt,GETR,"Individual_photo,herbarium_vouchers",,,,Loam,,G268 Southern Rocky Mountain Montane-Subalpine Grassland Group,7,,21,0.05,20000,3.81188E-07,0.00292586,07/15/2025 15:56:30.274,cnhp_guest7,07/15/2025 15:56:30.274,cnhp_guest7
8,731156e3-4e11-43bd-9824-f76f689e52fc,20250713_38.63416914-106.75169495,CNHPY3.1,7/13/2025 13:53,20250713,no,,"Curtis_Drake,Blake_Granquist,Other",Hillslope,,10,NE,SR,20407,20407,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National Forests",0510HU,Gneiss,GETR,"herbarium_vouchers,Individual_photo,Bags,filled_out",,,,Loam,,"CEGL001630 Thurber's Fescue Subalpine, Grassland Association",7,The species of significance are not the best match but dominant species are.,20,0.04,19048,7.95195E-07,0.005505907,07/15/2025 15:56:32.714,cnhp_guest7,07/15/2025 15:56:32.714,cnhp_guest7
9,ae1e6e60-bf96-4d59-a732-0fc9d2c4efac,20250713_38.63078412-106.75385283,CNHPY3.1,7/13/2025 16:08,20250713,no,,"Curtis_Drake,Blake_Granquist,Other",Hillslope,,8,SE,SR,20407,20407,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National Forests",0510HU,Gneiss,POFE,"Individual_photo,herbarium_vouchers,Bags,filled_out",,,,Loam,,CEGL001631 Festuca Thurberi Subalpine Grassland,8,,70,0.15,137348,7.85178E-06,0.013110502,07/15/2025 15:56:34.345,cnhp_guest7,07/15/2025 15:56:34.345,cnhp_guest7
10,d0e0ef27-6231-43b5-9fd7-9c64604067f9,20250713_38.60002682-106.76206893,CNHPY3.1,7/13/2025 23:17,20250713,no,,"Blake_Granquist,Curtis_Drake",Hillslope,,3,NW,SR,20407,20407,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National Forests",0510SH,Sandstone,"POSE, ACNE9","Bags,Individual_photo,herbarium_vouchers,filled_out",,,,Sandy_Loam,,CEGL001617 Festuca idahoensis A3954 Grassland Alliance,5,,300,0.66,30589,2.35397E-06,0.006431273,07/15/2025 16:01:01.552,cnhp_guest7,07/15/2025 16:01:01.552,cnhp_guest7
