ObjectID,GlobalID,Species,Notes on Dominant Vegetation,ParentGlobalID,CreationDate,Creator,EditDate,Editor
5,e25f36e3-e40b-4db2-8bf9-f3e484751fc0,POAC5,,51602033-e833-47e0-ab69-462d1cd01d4f,05/22/2025 15:15:13.307,cnhp_guest4,05/22/2025 15:15:13.307,cnhp_guest4
6,cea13476-1844-4c52-86a3-1be48720efb0,PRVI,On stream margin,51602033-e833-47e0-ab69-462d1cd01d4f,05/22/2025 15:15:13.307,cnhp_guest4,05/22/2025 15:15:13.307,cnhp_guest4
7,712be785-3a6b-4473-be61-ae6b10a6162d,SYRO,,51602033-e833-47e0-ab69-462d1cd01d4f,05/22/2025 15:15:13.307,cnhp_guest4,05/22/2025 15:15:13.307,cnhp_guest4
8,5dc1af88-9dad-4543-a082-33129d65ed4a,ERNA10,,51602033-e833-47e0-ab69-462d1cd01d4f,05/22/2025 15:15:13.307,cnhp_guest4,05/22/2025 15:15:13.307,cnhp_guest4
9,97606af4-18d1-4306-a3c9-c563a7056180,PIPO,,dae7f3ca-c709-4a2f-9a27-fce9080541b0,05/22/2025 15:15:16.048,cnhp_guest4,05/22/2025 15:15:16.048,cnhp_guest4
10,6388c798-a28f-4439-b66a-8873e783995e,ARFR4,,dae7f3ca-c709-4a2f-9a27-fce9080541b0,05/22/2025 15:15:16.048,cnhp_guest4,05/22/2025 15:15:16.048,cnhp_guest4
11,57589f25-5c54-4bd1-8d01-23960da9f250,MUHLE,,dae7f3ca-c709-4a2f-9a27-fce9080541b0,05/22/2025 15:15:16.048,cnhp_guest4,05/22/2025 15:15:16.048,cnhp_guest4
12,5b739375-9205-424d-9d0b-e587bd48db8c,ARTRV,,0dc4311a-02e0-453b-a5ee-6f95d496bf45,05/22/2025 15:15:17.957,cnhp_guest4,05/22/2025 15:15:17.957,cnhp_guest4
13,06b13b00-ba21-4824-bba1-c5cf5c422b2d,CEVE,,0dc4311a-02e0-453b-a5ee-6f95d496bf45,05/22/2025 15:15:17.957,cnhp_guest4,05/22/2025 15:15:17.957,cnhp_guest4
14,00111fb4-fa0b-4270-afbb-79702f381977,UNSURE,Post-fire annuals,0dc4311a-02e0-453b-a5ee-6f95d496bf45,05/22/2025 15:15:17.957,cnhp_guest4,05/22/2025 15:15:17.957,cnhp_guest4
15,a46a21ca-f736-4a29-bc1c-1f21094de804,POTR5,,9b210f72-c033-458f-a457-5f230164d167,05/22/2025 15:15:20.081,cnhp_guest4,05/22/2025 15:15:20.081,cnhp_guest4
16,b37b210d-425c-48e7-9969-5e2d2e5d6522,ROWO,,9b210f72-c033-458f-a457-5f230164d167,05/22/2025 15:15:20.081,cnhp_guest4,05/22/2025 15:15:20.081,cnhp_guest4
17,9f88e271-36ed-4381-b824-1459aa171af7,SYRO,,9b210f72-c033-458f-a457-5f230164d167,05/22/2025 15:15:20.081,cnhp_guest4,05/22/2025 15:15:20.081,cnhp_guest4
18,332b8691-c2de-44f2-8ecb-4d20d97d8848,THALI2,,9b210f72-c033-458f-a457-5f230164d167,05/22/2025 15:15:20.081,cnhp_guest4,05/22/2025 15:15:20.081,cnhp_guest4
19,4baeac90-ef92-4298-bdb2-d24c85e85172,FRVI,,07cdf99b-bda4-49e7-8341-1bb0404efa8f,05/22/2025 15:15:21.777,cnhp_guest4,05/22/2025 15:15:21.777,cnhp_guest4
20,b0a54c2e-3801-4eed-8a06-3700a7f75c87,DAFR6,,07cdf99b-bda4-49e7-8341-1bb0404efa8f,05/22/2025 15:15:21.777,cnhp_guest4,05/22/2025 15:15:21.777,cnhp_guest4
21,90d416eb-e558-4f1e-abe2-7987b738b637,BRIN2,,07cdf99b-bda4-49e7-8341-1bb0404efa8f,05/22/2025 15:15:21.777,cnhp_guest4,05/22/2025 15:15:21.777,cnhp_guest4
22,c00f2f37-b4b8-43fa-80e2-c9e44ca1ada7,ROWO,,0bf60bf6-b989-42ea-b722-8a3c3a90e661,05/22/2025 15:15:23.309,cnhp_guest4,05/22/2025 15:15:23.309,cnhp_guest4
23,8262226d-c421-48b3-b20c-7f784cee1afd,THERM,,0bf60bf6-b989-42ea-b722-8a3c3a90e661,05/22/2025 15:15:23.309,cnhp_guest4,05/22/2025 15:15:23.309,cnhp_guest4
24,b2b27001-0da3-42c6-8e81-9ec139742a3b,CAGE2,,0bf60bf6-b989-42ea-b722-8a3c3a90e661,05/22/2025 15:15:23.309,cnhp_guest4,05/22/2025 15:15:23.309,cnhp_guest4
