id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
184829,USU,UTC,NA,PreservedSpecimen,USU:UTC:34343,UTC00034343,NA,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,NA,Poales,Poaceae,Achnatherum lettermanii,2133,(Vasey) Barkworth,Achnatherum,NA,lettermanii,NA,NA,NA,NA,Species,Kimberly Pierson,1995,NA,NA,NA,NA,NA,Marion Ownby,NA,1423,1937-08-10,NA,1937,8,10,222,NA,NA,NA,Dry meadow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fruiting,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,US,Colorado,Archuleta,NA,"Meadow near Archuleta Creek, Tierra Amarilla Land Grant, San Juan Mountains.",NA,0,NA,37.027777,-106.555465,NA,210,NA,NA,NA,GeoLocate,reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-23T02:12:04Z,34343,16,a446340a-defb-4661-ae56-b4bc59a2e7b0,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=184829
187225,USU,UTC,NA,PreservedSpecimen,USU:UTC:42557,UTC00042557,NA,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,NA,Poales,Poaceae,Achnatherum lettermanii,2133,(Vasey) Barkworth,Achnatherum,NA,lettermanii,NA,NA,NA,NA,Species,Mary E. Barkworth,2012,NA,NA,NA,NA,NA,Reed C. Rollins,NA,1461,1936-07-26,NA,1936,7,26,208,NA,NA,NA,Open hillside,NA,Bunches 2 to 8 inches in diameter,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flowering,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,US,Colorado,Boulder,NA,"Near Meyers gulch, about 18 mi NW of Sapinero",NA,0,NA,39.970627,-105.352833,NA,1091,39° 57.470' N 105° 20.719' W,Barkworth,Google Maps + Geolocate,GeoLocate,reviewed,Wow - lot of searching to find the Gulch,2740,NA,NA,NA,NA,9000ft,NA,NA,NA,2025-04-23T02:12:04Z,42557,16,5a5fc8a4-1dfe-4732-b51c-028dcfdb0d1f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=187225
195920,USU,UTC,NA,PreservedSpecimen,USU:UTC:78364,UTC00078364,NA,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,NA,Poales,Poaceae,Achnatherum lettermanii,2133,(Vasey) Barkworth,Achnatherum,NA,lettermanii,NA,NA,NA,NA,Species,Mary E. Barkworth,2012,NA,NA,NA,NA,NA,William A. Weber,NA,3656,1947-08-28,NA,1947,8,28,240,NA,NA,NA,Rocky talus  west slope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flowering,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,US,Colorado,Montrose,NA,Uncompahgre Plateau; 1 mi west of Windy Point,NA,0,NA,38.457252,-108.558011,NA,1666,NA,NA,NA,GeoLocate,reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-23T02:12:04Z,78364,16,e116a6b6-ed9a-4a15-b3e9-d1fe1091112e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=195920
199381,USU,UTC,NA,PreservedSpecimen,USU:UTC:92599,UTC00092599,NA,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,NA,Poales,Poaceae,Achnatherum lettermanii,2133,(Vasey) Barkworth,Achnatherum,NA,lettermanii,NA,NA,NA,NA,Species,NA,NA,NA,NA,NA,NA,NA,LC Anderson,NA,474.1,1956-07-11,NA,1956,7,11,193,NA,NA,NA,Frequent in moist soil of meadow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,US,Wyoming,Teton,NA,12 mi E of Driggs ID; Scout Camp  btw Teton FC and Treasure Mt; btw Teton Cr and road,NA,0,NA,43.7558333,-110.9333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-23T02:12:04Z,92599,16,637b32ae-0e81-4e33-9fbe-c313c71d237d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=199381
200350,USU,UTC,NA,PreservedSpecimen,USU:UTC:97559,UTC00097559,NA,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,NA,Poales,Poaceae,Achnatherum lettermanii,2133,(Vasey) Barkworth,Achnatherum,NA,lettermanii,NA,NA,NA,NA,Species,Laurel K. Andertone,2010,NA,NA,NA,NA,NA,William Barmore,NA,s.n.,1959-10-14,NA,1959,10,14,287,NA,NA,NA,Infrequent along trail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,US,Colorado,Moffat,NA,Dinosaur N.M. ; Along trail to Harper's [Hoper's on label.Corner,NA,0,NA,40.388112,-109.01801,NA,16481,NA,Barkworth,Google Maps+Geolocate,GeoLocate,reviewed,"midway between Dinosaur and Harpers Corner, uncertainty includes both",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-23T02:12:04Z,97559,16,2be1f752-6627-4408-aeaf-df9ab3b5ba77,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=200350
205643,USU,UTC,NA,PreservedSpecimen,USU:UTC:113706,UTC00113706,NA,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,NA,Poales,Poaceae,Achnatherum lettermanii,2133,(Vasey) Barkworth,Achnatherum,NA,lettermanii,NA,NA,NA,NA,Species,Mary E. Barkworth,2012,NA,NA,NA,NA,NA,Don Lyngolds,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steep slopes in deep loam soil.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fruiting,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,US,Colorado,San Miguel,NA,Lizard Head Pass.,NA,0,NA,37.810262,-107.911439,NA,301,NA,Barkworth,NA,GeoLocate,reviewed,Moved to elevation,3050,NA,NA,NA,NA,10000ft,NA,NA,NA,2025-04-23T02:12:04Z,113706,16,8f874ffe-2777-4265-a8f7-65160692fc89,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=205643
212545,USU,UTC,NA,PreservedSpecimen,USU:UTC:138262,UTC00138262,NA,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,NA,Poales,Poaceae,Achnatherum lettermanii,2133,(Vasey) Barkworth,Achnatherum,NA,lettermanii,NA,NA,NA,NA,Species,NA,NA,NA,NA,NA,NA,NA,Beverly J. Albee,NA,1481,1973-07-09,NA,1973,7,9,190,NA,NA,NA,Floodplain of Little Grey's River; disturbed by man and cows,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,US,Wyoming,Lincoln,NA,Skull Cr and Little Grey's River  8 mi up river from Alpine; Pine Creek Quad,NA,0,NA,43.1530556,-110.8702778,NA,NA,NA,NA,NA,NA,NA,NA,1853,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-23T02:12:04Z,138262,16,c1f729b8-f9f4-4873-b9df-5eb38884a7f0,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=212545
217732,USU,UTC,NA,PreservedSpecimen,USU:UTC:154717,UTC00154717,NA,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,NA,Poales,Poaceae,Achnatherum lettermanii,2133,(Vasey) Barkworth,Achnatherum,NA,lettermanii,NA,NA,NA,NA,Species,NA,NA,NA,NA,NA,NA,NA,LM Shultz; JS Shultz,NA,3017,1978-08-26,NA,1978,8,26,238,NA,NA,NA,Common in open meadow  Agropyron trachycaulum-Artemisia tridentata type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,US,Wyoming,Lincoln,NA,Bridger-Teton National Forest ; La Barge Meadows at Little Corral Cr  S of Salt River Range  31 mi W of La Barge,NA,0,NA,42.4986111,-110.6930556,NA,NA,NA,NA,NA,NA,NA,NA,2621,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-23T02:12:04Z,154717,16,df79f039-0efd-49e3-86ff-80b423ec5048,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=217732
217963,USU,UTC,NA,PreservedSpecimen,USU:UTC:155629,UTC00155629,NA,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,NA,Poales,Poaceae,Achnatherum lettermanii,2133,(Vasey) Barkworth,Achnatherum,NA,lettermanii,NA,NA,NA,NA,Species,NA,NA,NA,NA,NA,NA,NA,JS Shultz,NA,358,1978-08-28,NA,1978,8,28,240,NA,NA,NA,Limestone ridge with Spruce/Fir (whitebark pine below),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,US,Wyoming,Sublette,NA,Deadline Ridge; 22 airmiles SW of Big Piney  below Bald Knoll,NA,0,NA,42.3991667,-110.4736111,NA,NA,NA,NA,NA,NA,NA,NA,3048,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-23T02:12:04Z,155629,16,12514813-989f-41d1-90f2-69a717b6be3e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=217963
220174,USU,UTC,NA,PreservedSpecimen,USU:UTC:162576,UTC00162576,NA,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,NA,Poales,Poaceae,Achnatherum lettermanii,2133,(Vasey) Barkworth,Achnatherum,NA,lettermanii,NA,NA,NA,NA,Species,NA,NA,NA,NA,NA,NA,NA,JS Shultz,NA,677,1979-08-15,NA,1979,8,15,227,NA,NA,NA,In deep clay soil below lodgepole and fir; w/ Geranium  Thalictrum  and Aster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,US,Wyoming,Lincoln,NA,Wyoming Range  Blind Bull Rd below Blind Bull Lake,NA,0,NA,42.9447222,-110.6525,NA,NA,NA,NA,NA,NA,NA,NA,2316,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-23T02:12:04Z,162576,16,a9efce22-0c6c-40e0-b5f9-cfcdba03a56b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=220174
