species,Longitude,Latitude,Elevation_ft,Date,ppt_in,tmean_F
NAVI4,-105.1768,43.4643,4426,2005-02,0,33.1
NAVI4,-105.1768,43.4643,4426,2005-03,0.36,37
NAVI4,-105.1768,43.4643,4426,2005-04,2.02,45.3
NAVI4,-105.1768,43.4643,4426,2005-05,3.38,51.5
NAVI4,-105.1768,43.4643,4426,2005-06,1.79,64.1
NAVI4,-105.1768,43.4643,4426,2005-07,0.35,75.2
NAVI4,-105.1768,43.4643,4426,2005-08,1.58,69.6
NAVI4,-105.1768,43.4643,4426,2005-09,0.82,62.8
NAVI4,-105.1768,43.4643,4426,2005-10,1.05,49.6
NAVI4,-105.1768,43.4643,4426,2005-11,0.21,39.3
NAVI4,-105.1768,43.4643,4426,2005-12,0.1,23.3
NAVI4,-105.1768,43.4643,4426,2006-01,0.09,34
NAVI4,-105.1768,43.4643,4426,2006-02,0.44,24.7
NAVI4,-105.1768,43.4643,4426,2006-03,0.85,34.6
NAVI4,-105.1768,43.4643,4426,2006-04,1.02,48.9
NAVI4,-105.1768,43.4643,4426,2006-05,1.72,56.3
NAVI4,-105.1768,43.4643,4426,2006-06,0.47,69.6
NAVI4,-105.1768,43.4643,4426,2006-07,0.94,77.5
NAVI4,-105.1768,43.4643,4426,2006-08,1.18,71.9
NAVI4,-105.1768,43.4643,4426,2006-09,0.93,56.5
NAVI4,-105.1768,43.4643,4426,2006-10,0.33,45.3
NAVI4,-105.1768,43.4643,4426,2006-11,0.29,35.8
NAVI4,-105.1768,43.4643,4426,2006-12,0.23,28.3
NAVI4,-105.1768,43.4643,4426,2007-01,0.08,20.9
NAVI4,-105.1768,43.4643,4426,2007-02,0.15,24.9
NAVI4,-105.1768,43.4643,4426,2007-03,0.9,42.3
NAVI4,-105.1768,43.4643,4426,2007-04,1.13,43.1
NAVI4,-105.1768,43.4643,4426,2007-05,2.71,57.4
NAVI4,-105.1768,43.4643,4426,2007-06,1.32,66.5
NAVI4,-105.1768,43.4643,4426,2007-07,1.51,77.4
NAVI4,-105.1768,43.4643,4426,2007-08,1.47,73.7
NAVI4,-105.1768,43.4643,4426,2007-09,0.39,62.4
NAVI4,-105.1768,43.4643,4426,2007-10,0.79,49.4
NAVI4,-105.1768,43.4643,4426,2007-11,0.11,37.2
NAVI4,-105.1768,43.4643,4426,2007-12,0.62,20.5
NAVI4,-105.1768,43.4643,4426,2008-01,0.12,19.6
NAVI4,-105.1768,43.4643,4426,2008-02,0.31,26.2
NAVI4,-105.1768,43.4643,4426,2008-03,0.87,35.1
NAVI4,-105.1768,43.4643,4426,2008-04,0.76,41.4
NAVI4,-105.1768,43.4643,4426,2008-05,6.14,51.1
NAVI4,-105.1768,43.4643,4426,2008-06,1.57,61.7
NAVI4,-105.1768,43.4643,4426,2008-07,1.59,73
NAVI4,-105.1768,43.4643,4426,2008-08,0.4,71.5
NAVI4,-105.1768,43.4643,4426,2008-09,1.31,57.8
NAVI4,-105.1768,43.4643,4426,2008-10,0.84,46.8
NAVI4,-105.1768,43.4643,4426,2008-11,0.26,38.7
NAVI4,-105.1768,43.4643,4426,2008-12,0.25,19.2
NAVI4,-105.1768,43.4643,4426,2009-01,0.73,25.6
NAVI4,-105.1768,43.4643,4426,2009-02,0.11,30.8
NAVI4,-105.1768,43.4643,4426,2009-03,1.42,34.8
NAVI4,-105.1768,43.4643,4426,2009-04,2.4,41.2
NAVI4,-105.1768,43.4643,4426,2009-05,0.45,54.2
NAVI4,-105.1768,43.4643,4426,2009-06,2.66,61.2
NAVI4,-105.1768,43.4643,4426,2009-07,1.6,69.8
NAVI4,-105.1768,43.4643,4426,2009-08,1.28,68.2
NAVI4,-105.1768,43.4643,4426,2009-09,0.48,62.9
NAVI4,-105.1768,43.4643,4426,2009-10,0.96,38.4
NAVI4,-105.1768,43.4643,4426,2009-11,0.17,39.3
NAVI4,-105.1768,43.4643,4426,2009-12,0.41,15.9
NAVI4,-105.1768,43.4643,4426,2010-01,0.03,24.7
NAVI4,-105.1768,43.4643,4426,2010-02,0.09,23.1
NAVI4,-105.1768,43.4643,4426,2010-03,0.29,39.3
NAVI4,-105.1768,43.4643,4426,2010-04,1.7,44.8
NAVI4,-105.1768,43.4643,4426,2010-05,3.53,49.2
NAVI4,-105.1768,43.4643,4426,2010-06,2.4,62.4
NAVI4,-105.1768,43.4643,4426,2010-07,1.94,70.7
NAVI4,-105.1768,43.4643,4426,2010-08,0.18,73
NAVI4,-105.1768,43.4643,4426,2010-09,0.33,60.9
NAVI4,-105.1768,43.4643,4426,2010-10,1.45,52.1
NAVI4,-105.1768,43.4643,4426,2010-11,0.55,31.6
NAVI4,-105.1768,43.4643,4426,2010-12,0.37,25.1
NAVI4,-105.1768,43.4643,4426,2011-01,0.3,22.3
NAVI4,-105.1768,43.4643,4426,2011-02,0.48,20.2
NAVI4,-105.1768,43.4643,4426,2011-03,0.54,36
NAVI4,-105.1768,43.4643,4426,2011-04,1.26,43.5
NAVI4,-105.1768,43.4643,4426,2011-05,5.13,48.8
NAVI4,-105.1768,43.4643,4426,2011-06,1.72,62.4
NAVI4,-105.1768,43.4643,4426,2011-07,1.05,74.8
NAVI4,-105.1768,43.4643,4426,2011-08,0.58,74.1
NAVI4,-105.1768,43.4643,4426,2011-09,0.53,61.7
NAVI4,-105.1768,43.4643,4426,2011-10,1.37,49.4
NAVI4,-105.1768,43.4643,4426,2011-11,0.87,33.2
NAVI4,-105.1768,43.4643,4426,2011-12,0.3,24.9
NAVI4,-105.1768,43.4643,4426,2012-01,0.1,27.8
NAVI4,-105.1768,43.4643,4426,2012-02,0.86,26.6
NAVI4,-105.1768,43.4643,4426,2012-03,0.04,45.7
NAVI4,-105.1768,43.4643,4426,2012-04,0.7,49.9
NAVI4,-105.1768,43.4643,4426,2012-05,2,55.5
NAVI4,-105.1768,43.4643,4426,2012-06,0.32,70.5
NAVI4,-105.1768,43.4643,4426,2012-07,0.92,77.9
NAVI4,-105.1768,43.4643,4426,2012-08,0.11,73.1
NAVI4,-105.1768,43.4643,4426,2012-09,0.08,62.9
NAVI4,-105.1768,43.4643,4426,2012-10,0.54,44.7
NAVI4,-105.1768,43.4643,4426,2012-11,0.43,38.2
NAVI4,-105.1768,43.4643,4426,2012-12,0.1,26.2
NAVI4,-105.1768,43.4643,4426,2013-01,0.17,24.5
NAVI4,-105.1768,43.4643,4426,2013-02,0.33,27.1
NAVI4,-105.1768,43.4643,4426,2013-03,0.12,35.1
NAVI4,-105.1768,43.4643,4426,2013-04,1.68,37.4
NAVI4,-105.1768,43.4643,4426,2013-05,1.54,55.6
NAVI4,-105.1768,43.4643,4426,2013-06,1.59,64.9
NAVI4,-105.1768,43.4643,4426,2013-07,2.64,73.4
NAVI4,-105.1768,43.4643,4426,2013-08,1.55,73.1
NAVI4,-105.1768,43.4643,4426,2013-09,0.7,63.8
NAVI4,-105.1768,43.4643,4426,2013-10,1.77,42.8
NAVI4,-105.1768,43.4643,4426,2013-11,0.09,34.9
NAVI4,-105.1768,43.4643,4426,2013-12,0.36,19.4
