species,Longitude,Latitude,Elevation_ft,Date,ppt_in,tmean_ F
NAVI4,-105.1768,43.4643,4426,1991-01,0.11,18.5
NAVI4,-105.1768,43.4643,4426,1991-02,0.49,35.7
NAVI4,-105.1768,43.4643,4426,1991-03,0.53,37.2
NAVI4,-105.1768,43.4643,4426,1991-04,2.21,43.7
NAVI4,-105.1768,43.4643,4426,1991-05,5.22,53.5
NAVI4,-105.1768,43.4643,4426,1991-06,1.92,65.1
NAVI4,-105.1768,43.4643,4426,1991-07,0.47,71.8
NAVI4,-105.1768,43.4643,4426,1991-08,0.82,73.3
NAVI4,-105.1768,43.4643,4426,1991-09,0.13,60
NAVI4,-105.1768,43.4643,4426,1991-10,0.15,46.2
NAVI4,-105.1768,43.4643,4426,1991-11,0.62,30.6
NAVI4,-105.1768,43.4643,4426,1991-12,0.03,27.1
NAVI4,-105.1768,43.4643,4426,1992-01,0.02,29.5
NAVI4,-105.1768,43.4643,4426,1992-02,0.24,35.7
NAVI4,-105.1768,43.4643,4426,1992-03,1.7,41.5
NAVI4,-105.1768,43.4643,4426,1992-04,0.47,46.8
NAVI4,-105.1768,43.4643,4426,1992-05,0.9,57.6
NAVI4,-105.1768,43.4643,4426,1992-06,1.34,64.1
NAVI4,-105.1768,43.4643,4426,1992-07,2.8,65.1
NAVI4,-105.1768,43.4643,4426,1992-08,1.34,66.4
NAVI4,-105.1768,43.4643,4426,1992-09,0.48,59.6
NAVI4,-105.1768,43.4643,4426,1992-10,0.27,49.4
NAVI4,-105.1768,43.4643,4426,1992-11,0.62,30.9
NAVI4,-105.1768,43.4643,4426,1992-12,1.12,17.5
NAVI4,-105.1768,43.4643,4426,1993-01,0.3,15.7
NAVI4,-105.1768,43.4643,4426,1993-02,0.99,16
NAVI4,-105.1768,43.4643,4426,1993-03,0.65,35.7
NAVI4,-105.1768,43.4643,4426,1993-04,2.02,43.8
NAVI4,-105.1768,43.4643,4426,1993-05,1.82,55.2
NAVI4,-105.1768,43.4643,4426,1993-06,2.94,59.1
NAVI4,-105.1768,43.4643,4426,1993-07,2.31,65
NAVI4,-105.1768,43.4643,4426,1993-08,1.19,67.2
NAVI4,-105.1768,43.4643,4426,1993-09,0.77,54.7
NAVI4,-105.1768,43.4643,4426,1993-10,1.38,44
NAVI4,-105.1768,43.4643,4426,1993-11,0.64,28.1
NAVI4,-105.1768,43.4643,4426,1993-12,0.51,27.2
NAVI4,-105.1768,43.4643,4426,1994-01,0.37,24.7
NAVI4,-105.1768,43.4643,4426,1994-02,0.24,20.8
NAVI4,-105.1768,43.4643,4426,1994-03,0.12,38.1
NAVI4,-105.1768,43.4643,4426,1994-04,1.48,44.7
NAVI4,-105.1768,43.4643,4426,1994-05,0.56,59.1
NAVI4,-105.1768,43.4643,4426,1994-06,0.86,67
NAVI4,-105.1768,43.4643,4426,1994-07,2.09,71.1
NAVI4,-105.1768,43.4643,4426,1994-08,0.25,73.4
NAVI4,-105.1768,43.4643,4426,1994-09,0.48,62.1
NAVI4,-105.1768,43.4643,4426,1994-10,2.1,46.4
NAVI4,-105.1768,43.4643,4426,1994-11,0.73,32.5
NAVI4,-105.1768,43.4643,4426,1994-12,0.22,29
NAVI4,-105.1768,43.4643,4426,1995-01,0.18,26.8
NAVI4,-105.1768,43.4643,4426,1995-02,0.52,30.4
NAVI4,-105.1768,43.4643,4426,1995-03,0.61,33.5
NAVI4,-105.1768,43.4643,4426,1995-04,1.25,40.7
NAVI4,-105.1768,43.4643,4426,1995-05,2.75,48.6
NAVI4,-105.1768,43.4643,4426,1995-06,2.87,60.4
NAVI4,-105.1768,43.4643,4426,1995-07,1.1,70.4
NAVI4,-105.1768,43.4643,4426,1995-08,0.42,73.9
NAVI4,-105.1768,43.4643,4426,1995-09,2.41,59.3
NAVI4,-105.1768,43.4643,4426,1995-10,1.18,44.9
NAVI4,-105.1768,43.4643,4426,1995-11,0.31,34.4
NAVI4,-105.1768,43.4643,4426,1995-12,0.09,26.2
NAVI4,-105.1768,43.4643,4426,1996-01,0.28,18.1
NAVI4,-105.1768,43.4643,4426,1996-02,0.24,27.3
NAVI4,-105.1768,43.4643,4426,1996-03,0.35,27.6
NAVI4,-105.1768,43.4643,4426,1996-04,1.61,44.1
NAVI4,-105.1768,43.4643,4426,1996-05,3.5,49.7
NAVI4,-105.1768,43.4643,4426,1996-06,0.53,65.8
NAVI4,-105.1768,43.4643,4426,1996-07,0.41,72.2
NAVI4,-105.1768,43.4643,4426,1996-08,0.5,71.3
NAVI4,-105.1768,43.4643,4426,1996-09,0.87,58.3
NAVI4,-105.1768,43.4643,4426,1996-10,1.41,46.4
