species,Longitude,Latitude,Elevation_ft,Date,ppt_in,tmean_F
ANGE,-103.992,40.7939,5177,1991-01,0.07,23.9
ANGE,-103.992,40.7939,5177,1991-02,0.06,36.6
ANGE,-103.992,40.7939,5177,1991-03,0.34,37.6
ANGE,-103.992,40.7939,5177,1991-04,0.68,44
ANGE,-103.992,40.7939,5177,1991-05,2.23,56.2
ANGE,-103.992,40.7939,5177,1991-06,2.61,65.1
ANGE,-103.992,40.7939,5177,1991-07,1.53,69.6
ANGE,-103.992,40.7939,5177,1991-08,1.27,69.3
ANGE,-103.992,40.7939,5177,1991-09,1.07,60.1
ANGE,-103.992,40.7939,5177,1991-10,0.31,48.2
ANGE,-103.992,40.7939,5177,1991-11,0.68,31.8
ANGE,-103.992,40.7939,5177,1991-12,0,30.7
ANGE,-103.992,40.7939,5177,1992-01,0.5,28.4
ANGE,-103.992,40.7939,5177,1992-02,0.04,36.3
ANGE,-103.992,40.7939,5177,1992-03,2.26,39.8
ANGE,-103.992,40.7939,5177,1992-04,0.09,47.8
ANGE,-103.992,40.7939,5177,1992-05,0.96,56.3
ANGE,-103.992,40.7939,5177,1992-06,3.21,61.5
ANGE,-103.992,40.7939,5177,1992-07,2.23,65.9
ANGE,-103.992,40.7939,5177,1992-08,2.58,64.7
ANGE,-103.992,40.7939,5177,1992-09,0.33,61
ANGE,-103.992,40.7939,5177,1992-10,0.49,49.4
ANGE,-103.992,40.7939,5177,1992-11,0.57,30.9
ANGE,-103.992,40.7939,5177,1992-12,0.38,20.2
ANGE,-103.992,40.7939,5177,1993-01,0.16,20.7
ANGE,-103.992,40.7939,5177,1993-02,0.52,23.1
ANGE,-103.992,40.7939,5177,1993-03,0.59,37.6
ANGE,-103.992,40.7939,5177,1993-04,1.62,43
ANGE,-103.992,40.7939,5177,1993-05,1.5,54.3
ANGE,-103.992,40.7939,5177,1993-06,2.56,60
ANGE,-103.992,40.7939,5177,1993-07,1.11,67.2
ANGE,-103.992,40.7939,5177,1993-08,1.72,66.4
ANGE,-103.992,40.7939,5177,1993-09,1.59,55.6
ANGE,-103.992,40.7939,5177,1993-10,1.79,45.5
ANGE,-103.992,40.7939,5177,1993-11,0.93,28.3
ANGE,-103.992,40.7939,5177,1993-12,0.24,28.8
ANGE,-103.992,40.7939,5177,1994-01,0.32,29.4
ANGE,-103.992,40.7939,5177,1994-02,0.16,23.8
ANGE,-103.992,40.7939,5177,1994-03,0.04,39.2
ANGE,-103.992,40.7939,5177,1994-04,1.02,45
ANGE,-103.992,40.7939,5177,1994-05,0.56,58.2
ANGE,-103.992,40.7939,5177,1994-06,1.21,67.8
ANGE,-103.992,40.7939,5177,1994-07,2.21,68.8
ANGE,-103.992,40.7939,5177,1994-08,0.82,70.2
ANGE,-103.992,40.7939,5177,1994-09,0.39,62.1
ANGE,-103.992,40.7939,5177,1994-10,2.77,47.8
ANGE,-103.992,40.7939,5177,1994-11,0.39,33.7
ANGE,-103.992,40.7939,5177,1994-12,0.39,32.4
ANGE,-103.992,40.7939,5177,1995-01,0.32,27.7
ANGE,-103.992,40.7939,5177,1995-02,0.36,33.4
ANGE,-103.992,40.7939,5177,1995-03,0.22,35.6
ANGE,-103.992,40.7939,5177,1995-04,1.28,40.2
ANGE,-103.992,40.7939,5177,1995-05,4,47.3
ANGE,-103.992,40.7939,5177,1995-06,4.3,60.1
ANGE,-103.992,40.7939,5177,1995-07,1.46,68.5
ANGE,-103.992,40.7939,5177,1995-08,0.7,71.6
ANGE,-103.992,40.7939,5177,1995-09,2.12,58.6
ANGE,-103.992,40.7939,5177,1995-10,0.37,45.7
ANGE,-103.992,40.7939,5177,1995-11,0.55,37.6
ANGE,-103.992,40.7939,5177,1995-12,0.12,30.4
ANGE,-103.992,40.7939,5177,1996-01,0.3,23.6
ANGE,-103.992,40.7939,5177,1996-02,0.03,29.8
ANGE,-103.992,40.7939,5177,1996-03,1.23,31.6
ANGE,-103.992,40.7939,5177,1996-04,0.5,44.5
ANGE,-103.992,40.7939,5177,1996-05,3.02,53.4
ANGE,-103.992,40.7939,5177,1996-06,1.98,64.5
ANGE,-103.992,40.7939,5177,1996-07,2.47,69.4
ANGE,-103.992,40.7939,5177,1996-08,2.04,67.8
ANGE,-103.992,40.7939,5177,1996-09,2.5,58.1
ANGE,-103.992,40.7939,5177,1996-10,0.31,48
ANGE,-103.992,40.7939,5177,1996-11,0.25,33.6
ANGE,-103.992,40.7939,5177,1996-12,0,28.7
ANGE,-103.992,40.7939,5177,1997-01,0.42,23.9
ANGE,-103.992,40.7939,5177,1997-02,0.29,28.8
ANGE,-103.992,40.7939,5177,1997-03,0.35,38.3
ANGE,-103.992,40.7939,5177,1997-04,0.79,38
ANGE,-103.992,40.7939,5177,1997-05,3.22,53.3
ANGE,-103.992,40.7939,5177,1997-06,3.52,64.2
ANGE,-103.992,40.7939,5177,1997-07,3,69.5
ANGE,-103.992,40.7939,5177,1997-08,3.31,67
ANGE,-103.992,40.7939,5177,1997-09,0.95,60.9
ANGE,-103.992,40.7939,5177,1997-10,1.47,47.2
ANGE,-103.992,40.7939,5177,1997-11,0.24,33.1
ANGE,-103.992,40.7939,5177,1997-12,0.26,27.6
ANGE,-103.992,40.7939,5177,1998-01,0.02,29.6
ANGE,-103.992,40.7939,5177,1998-02,0.42,31.7
ANGE,-103.992,40.7939,5177,1998-03,0.43,33.7
ANGE,-103.992,40.7939,5177,1998-04,0.97,42.5
ANGE,-103.992,40.7939,5177,1998-05,2.82,56.7
ANGE,-103.992,40.7939,5177,1998-06,1.53,58.7
ANGE,-103.992,40.7939,5177,1998-07,4.94,70.9
ANGE,-103.992,40.7939,5177,1998-08,1.55,68.8
ANGE,-103.992,40.7939,5177,1998-09,1.35,64.6
ANGE,-103.992,40.7939,5177,1998-10,2.76,47
ANGE,-103.992,40.7939,5177,1998-11,0.5,38.9
ANGE,-103.992,40.7939,5177,1998-12,0.51,25.9
ANGE,-103.992,40.7939,5177,1999-01,0.09,31.1
ANGE,-103.992,40.7939,5177,1999-02,0,35.9
ANGE,-103.992,40.7939,5177,1999-03,0.33,38.8
ANGE,-103.992,40.7939,5177,1999-04,3.05,41.2
ANGE,-103.992,40.7939,5177,1999-05,3.16,52.5
ANGE,-103.992,40.7939,5177,1999-06,1.76,62.3
ANGE,-103.992,40.7939,5177,1999-07,3.82,71.1
ANGE,-103.992,40.7939,5177,1999-08,2.95,68.3
ANGE,-103.992,40.7939,5177,1999-09,2.74,55.8
ANGE,-103.992,40.7939,5177,1999-10,0.25,47.6
