PRISM Time Series Data
Locations: 42
"Climate variables: tmin,tmax"
Spatial resolution: 800m
Period: 2023-01-01 - 2023-10-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Apr-09
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,tmin (degrees F),tmax (degrees F)
NAVI4,-105.1768,43.4643,4426,2023-01-01,21.9,40.4
NAVI4,-105.1768,43.4643,4426,2023-01-02,24.1,35.3
NAVI4,-105.1768,43.4643,4426,2023-01-03,22.1,28.6
NAVI4,-105.1768,43.4643,4426,2023-01-04,6.3,27.3
NAVI4,-105.1768,43.4643,4426,2023-01-05,7.4,25.4
NAVI4,-105.1768,43.4643,4426,2023-01-06,4.9,29.5
NAVI4,-105.1768,43.4643,4426,2023-01-07,16.0,37.2
NAVI4,-105.1768,43.4643,4426,2023-01-08,17.6,38.4
NAVI4,-105.1768,43.4643,4426,2023-01-09,18.1,41.9
NAVI4,-105.1768,43.4643,4426,2023-01-10,25.8,41.3
NAVI4,-105.1768,43.4643,4426,2023-01-11,22.9,43.5
NAVI4,-105.1768,43.4643,4426,2023-01-12,17.5,33.8
NAVI4,-105.1768,43.4643,4426,2023-01-13,17.0,35.8
NAVI4,-105.1768,43.4643,4426,2023-01-14,28.5,43.8
NAVI4,-105.1768,43.4643,4426,2023-01-15,28.5,45.4
NAVI4,-105.1768,43.4643,4426,2023-01-16,25.9,40.4
NAVI4,-105.1768,43.4643,4426,2023-01-17,22.8,35.8
NAVI4,-105.1768,43.4643,4426,2023-01-18,25.3,32.1
NAVI4,-105.1768,43.4643,4426,2023-01-19,12.8,31.4
NAVI4,-105.1768,43.4643,4426,2023-01-20,14.5,34.7
NAVI4,-105.1768,43.4643,4426,2023-01-21,15.7,33.2
NAVI4,-105.1768,43.4643,4426,2023-01-22,20.7,32.9
NAVI4,-105.1768,43.4643,4426,2023-01-23,22.9,35.3
NAVI4,-105.1768,43.4643,4426,2023-01-24,16.1,33.1
NAVI4,-105.1768,43.4643,4426,2023-01-25,17.9,34.3
NAVI4,-105.1768,43.4643,4426,2023-01-26,17.1,28.8
NAVI4,-105.1768,43.4643,4426,2023-01-27,17.6,34.2
NAVI4,-105.1768,43.4643,4426,2023-01-28,18.6,35.8
NAVI4,-105.1768,43.4643,4426,2023-01-29,-11.0,22.9
NAVI4,-105.1768,43.4643,4426,2023-01-30,-22.1,-3.1
NAVI4,-105.1768,43.4643,4426,2023-01-31,-21.7,3.3
NAVI4,-105.1768,43.4643,4426,2023-02-01,-2.0,20.6
NAVI4,-105.1768,43.4643,4426,2023-02-02,11.7,31.8
NAVI4,-105.1768,43.4643,4426,2023-02-03,12.5,33.5
NAVI4,-105.1768,43.4643,4426,2023-02-04,25.8,42.2
NAVI4,-105.1768,43.4643,4426,2023-02-05,21.7,41.7
NAVI4,-105.1768,43.4643,4426,2023-02-06,23.7,42.5
NAVI4,-105.1768,43.4643,4426,2023-02-07,19.9,35.2
NAVI4,-105.1768,43.4643,4426,2023-02-08,19.9,40.2
NAVI4,-105.1768,43.4643,4426,2023-02-09,20.4,39.8
NAVI4,-105.1768,43.4643,4426,2023-02-10,11.2,29.7
NAVI4,-105.1768,43.4643,4426,2023-02-11,14.6,39.0
NAVI4,-105.1768,43.4643,4426,2023-02-12,19.8,44.1
NAVI4,-105.1768,43.4643,4426,2023-02-13,20.5,43.5
NAVI4,-105.1768,43.4643,4426,2023-02-14,24.3,48.4
NAVI4,-105.1768,43.4643,4426,2023-02-15,8.7,33.4
NAVI4,-105.1768,43.4643,4426,2023-02-16,1.6,19.5
NAVI4,-105.1768,43.4643,4426,2023-02-17,2.9,29.4
NAVI4,-105.1768,43.4643,4426,2023-02-18,17.4,40.6
NAVI4,-105.1768,43.4643,4426,2023-02-19,17.3,41.1
NAVI4,-105.1768,43.4643,4426,2023-02-20,23.7,36.4
NAVI4,-105.1768,43.4643,4426,2023-02-21,22.7,40.0
NAVI4,-105.1768,43.4643,4426,2023-02-22,2.8,42.2
NAVI4,-105.1768,43.4643,4426,2023-02-23,-17.3,3.3
NAVI4,-105.1768,43.4643,4426,2023-02-24,-26.4,-1.6
NAVI4,-105.1768,43.4643,4426,2023-02-25,-11.4,25.4
NAVI4,-105.1768,43.4643,4426,2023-02-26,19.2,39.1
NAVI4,-105.1768,43.4643,4426,2023-02-27,25.6,46.3
NAVI4,-105.1768,43.4643,4426,2023-02-28,26.3,39.7
NAVI4,-105.1768,43.4643,4426,2023-03-01,11.1,41.9
NAVI4,-105.1768,43.4643,4426,2023-03-02,14.3,33.7
NAVI4,-105.1768,43.4643,4426,2023-03-03,15.8,38.1
NAVI4,-105.1768,43.4643,4426,2023-03-04,15.8,37.2
NAVI4,-105.1768,43.4643,4426,2023-03-05,12.2,34.2
NAVI4,-105.1768,43.4643,4426,2023-03-06,15.6,33.6
NAVI4,-105.1768,43.4643,4426,2023-03-07,17.4,26.9
NAVI4,-105.1768,43.4643,4426,2023-03-08,13.4,33.6
NAVI4,-105.1768,43.4643,4426,2023-03-09,16.5,28.2
NAVI4,-105.1768,43.4643,4426,2023-03-10,11.6,30.4
NAVI4,-105.1768,43.4643,4426,2023-03-11,18.1,45.0
NAVI4,-105.1768,43.4643,4426,2023-03-12,12.6,39.9
NAVI4,-105.1768,43.4643,4426,2023-03-13,8.2,33.2
NAVI4,-105.1768,43.4643,4426,2023-03-14,13.3,47.0
NAVI4,-105.1768,43.4643,4426,2023-03-15,32.5,56.0
NAVI4,-105.1768,43.4643,4426,2023-03-16,22.4,60.8
NAVI4,-105.1768,43.4643,4426,2023-03-17,18.2,34.6
NAVI4,-105.1768,43.4643,4426,2023-03-18,11.5,32.4
NAVI4,-105.1768,43.4643,4426,2023-03-19,11.7,43.0
NAVI4,-105.1768,43.4643,4426,2023-03-20,18.9,51.3
NAVI4,-105.1768,43.4643,4426,2023-03-21,20.2,47.7
NAVI4,-105.1768,43.4643,4426,2023-03-22,18.0,41.5
NAVI4,-105.1768,43.4643,4426,2023-03-23,19.5,32.8
NAVI4,-105.1768,43.4643,4426,2023-03-24,17.7,41.0
NAVI4,-105.1768,43.4643,4426,2023-03-25,25.1,51.5
NAVI4,-105.1768,43.4643,4426,2023-03-26,19.8,38.8
NAVI4,-105.1768,43.4643,4426,2023-03-27,16.3,40.5
NAVI4,-105.1768,43.4643,4426,2023-03-28,16.1,33.7
NAVI4,-105.1768,43.4643,4426,2023-03-29,16.5,46.2
NAVI4,-105.1768,43.4643,4426,2023-03-30,17.9,36.5
NAVI4,-105.1768,43.4643,4426,2023-03-31,21.3,59.9
NAVI4,-105.1768,43.4643,4426,2023-04-01,20.8,32.6
NAVI4,-105.1768,43.4643,4426,2023-04-02,27.0,53.2
NAVI4,-105.1768,43.4643,4426,2023-04-03,26.1,50.4
NAVI4,-105.1768,43.4643,4426,2023-04-04,22.0,30.4
NAVI4,-105.1768,43.4643,4426,2023-04-05,15.6,25.9
NAVI4,-105.1768,43.4643,4426,2023-04-06,12.7,28.2
NAVI4,-105.1768,43.4643,4426,2023-04-07,13.3,34.5
NAVI4,-105.1768,43.4643,4426,2023-04-08,23.0,49.4
NAVI4,-105.1768,43.4643,4426,2023-04-09,30.3,51.8
NAVI4,-105.1768,43.4643,4426,2023-04-10,32.1,60.0
NAVI4,-105.1768,43.4643,4426,2023-04-11,36.5,71.7
NAVI4,-105.1768,43.4643,4426,2023-04-12,44.8,78.3
NAVI4,-105.1768,43.4643,4426,2023-04-13,40.4,70.9
NAVI4,-105.1768,43.4643,4426,2023-04-14,31.5,68.8
NAVI4,-105.1768,43.4643,4426,2023-04-15,28.0,44.0
NAVI4,-105.1768,43.4643,4426,2023-04-16,23.4,46.7
NAVI4,-105.1768,43.4643,4426,2023-04-17,25.7,63.3
NAVI4,-105.1768,43.4643,4426,2023-04-18,41.7,73.8
NAVI4,-105.1768,43.4643,4426,2023-04-19,32.1,66.3
NAVI4,-105.1768,43.4643,4426,2023-04-20,27.4,51.7
NAVI4,-105.1768,43.4643,4426,2023-04-21,20.8,41.3
NAVI4,-105.1768,43.4643,4426,2023-04-22,19.2,41.5
NAVI4,-105.1768,43.4643,4426,2023-04-23,19.6,42.4
NAVI4,-105.1768,43.4643,4426,2023-04-24,23.3,58.1
NAVI4,-105.1768,43.4643,4426,2023-04-25,30.4,64.4
NAVI4,-105.1768,43.4643,4426,2023-04-26,32.1,53.7
NAVI4,-105.1768,43.4643,4426,2023-04-27,33.4,65.4
NAVI4,-105.1768,43.4643,4426,2023-04-28,32.2,59.7
NAVI4,-105.1768,43.4643,4426,2023-04-29,34.4,60.7
NAVI4,-105.1768,43.4643,4426,2023-04-30,32.7,67.8
NAVI4,-105.1768,43.4643,4426,2023-05-01,32.3,66.4
NAVI4,-105.1768,43.4643,4426,2023-05-02,34.4,69.6
NAVI4,-105.1768,43.4643,4426,2023-05-03,37.2,72.7
NAVI4,-105.1768,43.4643,4426,2023-05-04,41.5,80.4
NAVI4,-105.1768,43.4643,4426,2023-05-05,45.2,77.5
NAVI4,-105.1768,43.4643,4426,2023-05-06,37.9,77.0
NAVI4,-105.1768,43.4643,4426,2023-05-07,36.5,66.5
NAVI4,-105.1768,43.4643,4426,2023-05-08,34.1,70.0
NAVI4,-105.1768,43.4643,4426,2023-05-09,40.8,72.7
NAVI4,-105.1768,43.4643,4426,2023-05-10,45.2,76.7
NAVI4,-105.1768,43.4643,4426,2023-05-11,45.7,74.2
NAVI4,-105.1768,43.4643,4426,2023-05-12,47.2,57.0
NAVI4,-105.1768,43.4643,4426,2023-05-13,46.0,52.5
NAVI4,-105.1768,43.4643,4426,2023-05-14,45.8,53.8
NAVI4,-105.1768,43.4643,4426,2023-05-15,44.4,53.2
NAVI4,-105.1768,43.4643,4426,2023-05-16,44.3,66.9
NAVI4,-105.1768,43.4643,4426,2023-05-17,47.3,76.0
NAVI4,-105.1768,43.4643,4426,2023-05-18,45.9,71.4
NAVI4,-105.1768,43.4643,4426,2023-05-19,38.2,63.6
NAVI4,-105.1768,43.4643,4426,2023-05-20,39.3,67.2
NAVI4,-105.1768,43.4643,4426,2023-05-21,45.6,79.0
NAVI4,-105.1768,43.4643,4426,2023-05-22,47.7,77.9
NAVI4,-105.1768,43.4643,4426,2023-05-23,50.1,83.0
NAVI4,-105.1768,43.4643,4426,2023-05-24,53.0,82.5
NAVI4,-105.1768,43.4643,4426,2023-05-25,53.5,78.2
NAVI4,-105.1768,43.4643,4426,2023-05-26,52.3,79.4
NAVI4,-105.1768,43.4643,4426,2023-05-27,49.3,77.8
NAVI4,-105.1768,43.4643,4426,2023-05-28,48.0,75.4
NAVI4,-105.1768,43.4643,4426,2023-05-29,47.5,73.6
NAVI4,-105.1768,43.4643,4426,2023-05-30,48.4,77.2
NAVI4,-105.1768,43.4643,4426,2023-05-31,50.0,81.5
NAVI4,-105.1768,43.4643,4426,2023-06-01,50.1,82.4
NAVI4,-105.1768,43.4643,4426,2023-06-02,51.8,71.8
NAVI4,-105.1768,43.4643,4426,2023-06-03,49.5,71.2
NAVI4,-105.1768,43.4643,4426,2023-06-04,51.0,72.4
NAVI4,-105.1768,43.4643,4426,2023-06-05,52.6,75.7
NAVI4,-105.1768,43.4643,4426,2023-06-06,52.6,77.3
NAVI4,-105.1768,43.4643,4426,2023-06-07,54.7,82.4
NAVI4,-105.1768,43.4643,4426,2023-06-08,53.1,81.7
NAVI4,-105.1768,43.4643,4426,2023-06-09,53.0,81.6
NAVI4,-105.1768,43.4643,4426,2023-06-10,53.4,81.7
NAVI4,-105.1768,43.4643,4426,2023-06-11,51.6,65.8
NAVI4,-105.1768,43.4643,4426,2023-06-12,50.3,65.7
NAVI4,-105.1768,43.4643,4426,2023-06-13,47.2,69.9
NAVI4,-105.1768,43.4643,4426,2023-06-14,48.8,76.2
NAVI4,-105.1768,43.4643,4426,2023-06-15,53.2,81.5
NAVI4,-105.1768,43.4643,4426,2023-06-16,47.3,68.9
NAVI4,-105.1768,43.4643,4426,2023-06-17,42.1,58.7
NAVI4,-105.1768,43.4643,4426,2023-06-18,47.2,75.9
NAVI4,-105.1768,43.4643,4426,2023-06-19,53.9,85.5
NAVI4,-105.1768,43.4643,4426,2023-06-20,55.8,92.2
NAVI4,-105.1768,43.4643,4426,2023-06-21,52.1,80.6
NAVI4,-105.1768,43.4643,4426,2023-06-22,52.2,73.2
NAVI4,-105.1768,43.4643,4426,2023-06-23,51.6,68.3
NAVI4,-105.1768,43.4643,4426,2023-06-24,48.5,70.9
NAVI4,-105.1768,43.4643,4426,2023-06-25,44.6,65.2
NAVI4,-105.1768,43.4643,4426,2023-06-26,47.7,77.0
NAVI4,-105.1768,43.4643,4426,2023-06-27,53.6,75.8
NAVI4,-105.1768,43.4643,4426,2023-06-28,53.9,75.2
NAVI4,-105.1768,43.4643,4426,2023-06-29,52.2,80.4
NAVI4,-105.1768,43.4643,4426,2023-06-30,51.3,76.7
NAVI4,-105.1768,43.4643,4426,2023-07-01,51.4,75.6
NAVI4,-105.1768,43.4643,4426,2023-07-02,54.7,84.9
NAVI4,-105.1768,43.4643,4426,2023-07-03,56.8,86.9
NAVI4,-105.1768,43.4643,4426,2023-07-04,54.1,86.3
NAVI4,-105.1768,43.4643,4426,2023-07-05,50.3,61.9
NAVI4,-105.1768,43.4643,4426,2023-07-06,49.7,67.2
NAVI4,-105.1768,43.4643,4426,2023-07-07,49.5,74.2
NAVI4,-105.1768,43.4643,4426,2023-07-08,51.0,74.4
NAVI4,-105.1768,43.4643,4426,2023-07-09,51.4,74.7
NAVI4,-105.1768,43.4643,4426,2023-07-10,54.0,85.0
NAVI4,-105.1768,43.4643,4426,2023-07-11,60.1,89.2
NAVI4,-105.1768,43.4643,4426,2023-07-12,57.3,90.4
NAVI4,-105.1768,43.4643,4426,2023-07-13,55.8,84.9
NAVI4,-105.1768,43.4643,4426,2023-07-14,57.5,90.1
NAVI4,-105.1768,43.4643,4426,2023-07-15,54.0,80.3
NAVI4,-105.1768,43.4643,4426,2023-07-16,55.3,86.6
NAVI4,-105.1768,43.4643,4426,2023-07-17,55.4,89.3
NAVI4,-105.1768,43.4643,4426,2023-07-18,57.6,92.4
NAVI4,-105.1768,43.4643,4426,2023-07-19,59.6,91.5
NAVI4,-105.1768,43.4643,4426,2023-07-20,56.3,85.0
NAVI4,-105.1768,43.4643,4426,2023-07-21,51.6,71.7
NAVI4,-105.1768,43.4643,4426,2023-07-22,52.9,88.7
NAVI4,-105.1768,43.4643,4426,2023-07-23,58.2,95.2
NAVI4,-105.1768,43.4643,4426,2023-07-24,62.8,100.3
NAVI4,-105.1768,43.4643,4426,2023-07-25,65.1,100.9
NAVI4,-105.1768,43.4643,4426,2023-07-26,64.4,95.5
NAVI4,-105.1768,43.4643,4426,2023-07-27,61.3,98.5
NAVI4,-105.1768,43.4643,4426,2023-07-28,56.6,93.0
NAVI4,-105.1768,43.4643,4426,2023-07-29,56.7,90.5
NAVI4,-105.1768,43.4643,4426,2023-07-30,59.7,90.6
NAVI4,-105.1768,43.4643,4426,2023-07-31,61.7,96.8
NAVI4,-105.1768,43.4643,4426,2023-08-01,61.6,91.7
NAVI4,-105.1768,43.4643,4426,2023-08-02,61.5,88.6
NAVI4,-105.1768,43.4643,4426,2023-08-03,62.9,87.2
NAVI4,-105.1768,43.4643,4426,2023-08-04,59.8,81.4
NAVI4,-105.1768,43.4643,4426,2023-08-05,58.1,77.2
NAVI4,-105.1768,43.4643,4426,2023-08-06,51.7,64.3
NAVI4,-105.1768,43.4643,4426,2023-08-07,52.8,77.8
NAVI4,-105.1768,43.4643,4426,2023-08-08,51.6,74.8
NAVI4,-105.1768,43.4643,4426,2023-08-09,50.7,77.6
NAVI4,-105.1768,43.4643,4426,2023-08-10,53.5,83.8
NAVI4,-105.1768,43.4643,4426,2023-08-11,56.2,87.7
NAVI4,-105.1768,43.4643,4426,2023-08-12,55.5,86.5
NAVI4,-105.1768,43.4643,4426,2023-08-13,53.4,91.9
NAVI4,-105.1768,43.4643,4426,2023-08-14,46.0,73.3
NAVI4,-105.1768,43.4643,4426,2023-08-15,46.9,83.8
NAVI4,-105.1768,43.4643,4426,2023-08-16,53.5,96.4
NAVI4,-105.1768,43.4643,4426,2023-08-17,57.6,94.0
NAVI4,-105.1768,43.4643,4426,2023-08-18,58.0,96.7
NAVI4,-105.1768,43.4643,4426,2023-08-19,65.5,99.6
NAVI4,-105.1768,43.4643,4426,2023-08-20,60.3,90.2
NAVI4,-105.1768,43.4643,4426,2023-08-21,55.9,83.2
NAVI4,-105.1768,43.4643,4426,2023-08-22,56.4,102.5
NAVI4,-105.1768,43.4643,4426,2023-08-23,64.2,99.8
NAVI4,-105.1768,43.4643,4426,2023-08-24,65.8,94.3
NAVI4,-105.1768,43.4643,4426,2023-08-25,64.5,92.5
NAVI4,-105.1768,43.4643,4426,2023-08-26,54.9,76.5
NAVI4,-105.1768,43.4643,4426,2023-08-27,53.1,87.1
NAVI4,-105.1768,43.4643,4426,2023-08-28,56.8,88.0
NAVI4,-105.1768,43.4643,4426,2023-08-29,54.0,84.5
NAVI4,-105.1768,43.4643,4426,2023-08-30,55.7,88.1
NAVI4,-105.1768,43.4643,4426,2023-08-31,46.8,96.6
NAVI4,-105.1768,43.4643,4426,2023-09-01,47.6,91.9
NAVI4,-105.1768,43.4643,4426,2023-09-02,55.8,94.2
NAVI4,-105.1768,43.4643,4426,2023-09-03,59.1,94.0
NAVI4,-105.1768,43.4643,4426,2023-09-04,58.2,95.2
NAVI4,-105.1768,43.4643,4426,2023-09-05,49.8,80.9
NAVI4,-105.1768,43.4643,4426,2023-09-06,47.6,70.4
NAVI4,-105.1768,43.4643,4426,2023-09-07,46.4,85.9
NAVI4,-105.1768,43.4643,4426,2023-09-08,56.3,85.1
NAVI4,-105.1768,43.4643,4426,2023-09-09,51.3,91.1
NAVI4,-105.1768,43.4643,4426,2023-09-10,51.1,79.6
NAVI4,-105.1768,43.4643,4426,2023-09-11,44.7,68.5
NAVI4,-105.1768,43.4643,4426,2023-09-12,46.1,72.9
NAVI4,-105.1768,43.4643,4426,2023-09-13,47.7,81.8
NAVI4,-105.1768,43.4643,4426,2023-09-14,51.4,85.2
NAVI4,-105.1768,43.4643,4426,2023-09-15,46.1,67.1
NAVI4,-105.1768,43.4643,4426,2023-09-16,44.7,75.1
NAVI4,-105.1768,43.4643,4426,2023-09-17,45.4,81.4
NAVI4,-105.1768,43.4643,4426,2023-09-18,47.1,85.4
NAVI4,-105.1768,43.4643,4426,2023-09-19,52.3,86.2
NAVI4,-105.1768,43.4643,4426,2023-09-20,52.6,81.5
NAVI4,-105.1768,43.4643,4426,2023-09-21,52.1,79.9
NAVI4,-105.1768,43.4643,4426,2023-09-22,49.9,78.5
NAVI4,-105.1768,43.4643,4426,2023-09-23,42.0,69.7
NAVI4,-105.1768,43.4643,4426,2023-09-24,40.5,63.6
NAVI4,-105.1768,43.4643,4426,2023-09-25,42.0,72.9
NAVI4,-105.1768,43.4643,4426,2023-09-26,42.6,78.0
NAVI4,-105.1768,43.4643,4426,2023-09-27,46.4,83.0
NAVI4,-105.1768,43.4643,4426,2023-09-28,46.9,83.1
NAVI4,-105.1768,43.4643,4426,2023-09-29,46.8,70.9
NAVI4,-105.1768,43.4643,4426,2023-09-30,45.9,74.0
NAVI4,-105.1768,43.4643,4426,2023-10-01,47.8,85.8
NAVI4,-105.1768,43.4643,4426,2023-10-02,44.6,72.0
NAVI4,-105.1768,43.4643,4426,2023-10-03,41.5,65.4
NAVI4,-105.1768,43.4643,4426,2023-10-04,36.3,56.3
NAVI4,-105.1768,43.4643,4426,2023-10-05,35.8,65.8
NAVI4,-105.1768,43.4643,4426,2023-10-06,36.0,61.4
NAVI4,-105.1768,43.4643,4426,2023-10-07,31.1,54.6
NAVI4,-105.1768,43.4643,4426,2023-10-08,33.7,72.7
NAVI4,-105.1768,43.4643,4426,2023-10-09,35.3,73.8
NAVI4,-105.1768,43.4643,4426,2023-10-10,36.1,76.3
NAVI4,-105.1768,43.4643,4426,2023-10-11,40.8,78.0
NAVI4,-105.1768,43.4643,4426,2023-10-12,44.7,70.5
NAVI4,-105.1768,43.4643,4426,2023-10-13,36.5,47.0
NAVI4,-105.1768,43.4643,4426,2023-10-14,32.2,45.4
NAVI4,-105.1768,43.4643,4426,2023-10-15,31.1,53.3
NAVI4,-105.1768,43.4643,4426,2023-10-16,31.7,64.6
NAVI4,-105.1768,43.4643,4426,2023-10-17,38.3,73.8
NAVI4,-105.1768,43.4643,4426,2023-10-18,42.5,77.2
NAVI4,-105.1768,43.4643,4426,2023-10-19,39.3,64.4
NAVI4,-105.1768,43.4643,4426,2023-10-20,43.5,76.8
NAVI4,-105.1768,43.4643,4426,2023-10-21,40.8,76.3
NAVI4,-105.1768,43.4643,4426,2023-10-22,38.3,61.7
NAVI4,-105.1768,43.4643,4426,2023-10-23,37.5,70.6
NAVI4,-105.1768,43.4643,4426,2023-10-24,36.6,58.3
NAVI4,-105.1768,43.4643,4426,2023-10-25,37.7,50.4
NAVI4,-105.1768,43.4643,4426,2023-10-26,16.3,70.8
NAVI4,-105.1768,43.4643,4426,2023-10-27,4.3,22.5
NAVI4,-105.1768,43.4643,4426,2023-10-28,3.4,27.1
NAVI4,-105.1768,43.4643,4426,2023-10-29,12.2,23.7
NAVI4,-105.1768,43.4643,4426,2023-10-30,11.6,29.8
NAVI4,-105.1768,43.4643,4426,2023-10-31,15.0,43.0

ANGE,-103.5760,42.6900,4157,2023-01-01,23.9,43.8
ANGE,-103.5760,42.6900,4157,2023-01-02,27.6,36.5
ANGE,-103.5760,42.6900,4157,2023-01-03,22.2,29.5
ANGE,-103.5760,42.6900,4157,2023-01-04,9.0,29.1
ANGE,-103.5760,42.6900,4157,2023-01-05,7.8,30.6
ANGE,-103.5760,42.6900,4157,2023-01-06,5.1,32.9
ANGE,-103.5760,42.6900,4157,2023-01-07,9.7,31.1
ANGE,-103.5760,42.6900,4157,2023-01-08,12.3,39.0
ANGE,-103.5760,42.6900,4157,2023-01-09,10.0,43.1
ANGE,-103.5760,42.6900,4157,2023-01-10,25.7,43.7
ANGE,-103.5760,42.6900,4157,2023-01-11,24.2,42.7
ANGE,-103.5760,42.6900,4157,2023-01-12,21.0,33.3
ANGE,-103.5760,42.6900,4157,2023-01-13,14.1,36.5
ANGE,-103.5760,42.6900,4157,2023-01-14,16.7,45.6
ANGE,-103.5760,42.6900,4157,2023-01-15,27.9,49.8
ANGE,-103.5760,42.6900,4157,2023-01-16,27.4,42.7
ANGE,-103.5760,42.6900,4157,2023-01-17,23.8,38.9
ANGE,-103.5760,42.6900,4157,2023-01-18,19.2,33.7
ANGE,-103.5760,42.6900,4157,2023-01-19,11.7,29.1
ANGE,-103.5760,42.6900,4157,2023-01-20,9.8,32.2
ANGE,-103.5760,42.6900,4157,2023-01-21,14.0,33.8
ANGE,-103.5760,42.6900,4157,2023-01-22,18.4,32.6
ANGE,-103.5760,42.6900,4157,2023-01-23,21.4,36.7
ANGE,-103.5760,42.6900,4157,2023-01-24,12.5,32.5
ANGE,-103.5760,42.6900,4157,2023-01-25,18.6,35.4
ANGE,-103.5760,42.6900,4157,2023-01-26,20.1,31.8
ANGE,-103.5760,42.6900,4157,2023-01-27,20.6,34.8
ANGE,-103.5760,42.6900,4157,2023-01-28,18.0,38.3
ANGE,-103.5760,42.6900,4157,2023-01-29,-1.3,18.5
ANGE,-103.5760,42.6900,4157,2023-01-30,-9.2,0.9
ANGE,-103.5760,42.6900,4157,2023-01-31,-20.7,5.1
ANGE,-103.5760,42.6900,4157,2023-02-01,-9.6,18.2
ANGE,-103.5760,42.6900,4157,2023-02-02,6.6,33.0
ANGE,-103.5760,42.6900,4157,2023-02-03,10.9,32.0
ANGE,-103.5760,42.6900,4157,2023-02-04,15.9,44.0
ANGE,-103.5760,42.6900,4157,2023-02-05,19.3,43.8
ANGE,-103.5760,42.6900,4157,2023-02-06,18.6,43.2
ANGE,-103.5760,42.6900,4157,2023-02-07,24.1,38.1
ANGE,-103.5760,42.6900,4157,2023-02-08,20.7,43.2
ANGE,-103.5760,42.6900,4157,2023-02-09,21.1,44.1
ANGE,-103.5760,42.6900,4157,2023-02-10,10.8,31.3
ANGE,-103.5760,42.6900,4157,2023-02-11,11.3,44.4
ANGE,-103.5760,42.6900,4157,2023-02-12,19.3,51.1
ANGE,-103.5760,42.6900,4157,2023-02-13,22.2,46.0
ANGE,-103.5760,42.6900,4157,2023-02-14,23.0,52.6
ANGE,-103.5760,42.6900,4157,2023-02-15,10.5,37.6
ANGE,-103.5760,42.6900,4157,2023-02-16,3.2,19.1
ANGE,-103.5760,42.6900,4157,2023-02-17,3.6,33.3
ANGE,-103.5760,42.6900,4157,2023-02-18,15.6,47.9
ANGE,-103.5760,42.6900,4157,2023-02-19,23.3,47.0
ANGE,-103.5760,42.6900,4157,2023-02-20,25.1,40.8
ANGE,-103.5760,42.6900,4157,2023-02-21,23.9,44.7
ANGE,-103.5760,42.6900,4157,2023-02-22,-3.4,47.6
ANGE,-103.5760,42.6900,4157,2023-02-23,-22.9,-1.5
ANGE,-103.5760,42.6900,4157,2023-02-24,-18.5,-2.0
ANGE,-103.5760,42.6900,4157,2023-02-25,-9.5,23.0
ANGE,-103.5760,42.6900,4157,2023-02-26,11.1,42.7
ANGE,-103.5760,42.6900,4157,2023-02-27,28.4,50.4
ANGE,-103.5760,42.6900,4157,2023-02-28,27.9,45.6
ANGE,-103.5760,42.6900,4157,2023-03-01,21.2,46.4
ANGE,-103.5760,42.6900,4157,2023-03-02,17.6,34.3
ANGE,-103.5760,42.6900,4157,2023-03-03,19.3,43.9
ANGE,-103.5760,42.6900,4157,2023-03-04,19.1,36.8
ANGE,-103.5760,42.6900,4157,2023-03-05,16.9,37.5
ANGE,-103.5760,42.6900,4157,2023-03-06,23.0,44.2
ANGE,-103.5760,42.6900,4157,2023-03-07,20.3,24.5
ANGE,-103.5760,42.6900,4157,2023-03-08,18.3,29.8
ANGE,-103.5760,42.6900,4157,2023-03-09,16.0,28.7
ANGE,-103.5760,42.6900,4157,2023-03-10,13.8,29.0
ANGE,-103.5760,42.6900,4157,2023-03-11,22.6,42.5
ANGE,-103.5760,42.6900,4157,2023-03-12,13.4,44.0
ANGE,-103.5760,42.6900,4157,2023-03-13,12.2,33.0
ANGE,-103.5760,42.6900,4157,2023-03-14,13.7,49.0
ANGE,-103.5760,42.6900,4157,2023-03-15,33.6,60.4
ANGE,-103.5760,42.6900,4157,2023-03-16,24.0,59.2
ANGE,-103.5760,42.6900,4157,2023-03-17,18.4,35.6
ANGE,-103.5760,42.6900,4157,2023-03-18,10.5,33.6
ANGE,-103.5760,42.6900,4157,2023-03-19,10.7,38.5
ANGE,-103.5760,42.6900,4157,2023-03-20,15.7,54.5
ANGE,-103.5760,42.6900,4157,2023-03-21,17.0,49.3
ANGE,-103.5760,42.6900,4157,2023-03-22,20.5,50.9
ANGE,-103.5760,42.6900,4157,2023-03-23,23.0,35.9
ANGE,-103.5760,42.6900,4157,2023-03-24,21.5,49.1
ANGE,-103.5760,42.6900,4157,2023-03-25,23.2,52.8
ANGE,-103.5760,42.6900,4157,2023-03-26,20.6,38.4
ANGE,-103.5760,42.6900,4157,2023-03-27,20.0,40.0
ANGE,-103.5760,42.6900,4157,2023-03-28,14.3,32.6
