PRISM Time Series Data
Locations: 57
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2023-01-01 - 2023-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Apr-21
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
ANGE,-103.9920,40.7939,5177,2023-01-01,0.00,26.0,35.8,45.7
ANGE,-103.9920,40.7939,5177,2023-01-02,0.12,24.7,30.8,36.9
ANGE,-103.9920,40.7939,5177,2023-01-03,0.28,19.7,23.0,26.2
ANGE,-103.9920,40.7939,5177,2023-01-04,0.00,13.8,19.5,25.2
ANGE,-103.9920,40.7939,5177,2023-01-05,0.00,8.2,18.7,29.3
ANGE,-103.9920,40.7939,5177,2023-01-06,0.00,8.4,19.5,30.6
ANGE,-103.9920,40.7939,5177,2023-01-07,0.03,18.6,28.5,38.4
ANGE,-103.9920,40.7939,5177,2023-01-08,0.00,17.9,28.2,38.6
ANGE,-103.9920,40.7939,5177,2023-01-09,0.00,19.5,30.8,42.1
ANGE,-103.9920,40.7939,5177,2023-01-10,0.00,27.8,37.5,47.1
ANGE,-103.9920,40.7939,5177,2023-01-11,0.00,27.2,37.8,48.3
ANGE,-103.9920,40.7939,5177,2023-01-12,0.49,17.9,24.9,31.9
ANGE,-103.9920,40.7939,5177,2023-01-13,0.00,13.9,22.9,31.9
ANGE,-103.9920,40.7939,5177,2023-01-14,0.00,17.8,29.0,40.1
ANGE,-103.9920,40.7939,5177,2023-01-15,0.00,25.9,37.0,48.0
ANGE,-103.9920,40.7939,5177,2023-01-16,0.02,24.4,32.1,39.8
ANGE,-103.9920,40.7939,5177,2023-01-17,0.00,17.2,27.7,38.2
ANGE,-103.9920,40.7939,5177,2023-01-18,0.33,16.7,24.3,31.8
