Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
ANGE,-103.992,40.7939,5177,1/1/2024,0,16.6,26.6,36.5
ANGE,-103.992,40.7939,5177,1/2/2024,0,17.8,34.9,52.1
ANGE,-103.992,40.7939,5177,1/3/2024,0,17.3,30.9,44.4
ANGE,-103.992,40.7939,5177,1/4/2024,0,17.4,30.4,43.4
ANGE,-103.992,40.7939,5177,1/5/2024,0.01,19,22.8,26.6
ANGE,-103.992,40.7939,5177,1/6/2024,0,18.4,28,37.5
ANGE,-103.992,40.7939,5177,1/7/2024,0,13.8,25,36.2
ANGE,-103.992,40.7939,5177,1/8/2024,0,13.5,24.2,35
ANGE,-103.992,40.7939,5177,1/9/2024,0,9.6,15.4,21.2
ANGE,-103.992,40.7939,5177,1/10/2024,0,11.6,25.2,38.8
ANGE,-103.992,40.7939,5177,1/11/2024,0,17.5,27.3,37.1
ANGE,-103.992,40.7939,5177,1/12/2024,0,-3.6,8.4,20.4
ANGE,-103.992,40.7939,5177,1/13/2024,0.09,-15.7,6.6,28.9
ANGE,-103.992,40.7939,5177,1/14/2024,0.06,-18.7,-12.6,-6.4
ANGE,-103.992,40.7939,5177,1/15/2024,0.08,-8.3,-2,4.3
ANGE,-103.992,40.7939,5177,1/16/2024,0.01,-20,-12.4,-4.8
ANGE,-103.992,40.7939,5177,1/17/2024,0,-12.2,7.4,26.9
ANGE,-103.992,40.7939,5177,1/18/2024,0,11.8,24.2,36.6
ANGE,-103.992,40.7939,5177,1/19/2024,0,5.2,22.2,39.1
ANGE,-103.992,40.7939,5177,1/20/2024,0,6,14.5,23.1
ANGE,-103.992,40.7939,5177,1/21/2024,0,7,20,32.9
ANGE,-103.992,40.7939,5177,1/22/2024,0,25,37.7,50.5
ANGE,-103.992,40.7939,5177,1/23/2024,0,29.9,40,50.2
ANGE,-103.992,40.7939,5177,1/24/2024,0,23.7,36.6,49.5
ANGE,-103.992,40.7939,5177,1/25/2024,0,26.1,37.3,48.4
ANGE,-103.992,40.7939,5177,1/26/2024,0,25.7,36.6,47.5
ANGE,-103.992,40.7939,5177,1/27/2024,0,20.7,32.3,44
ANGE,-103.992,40.7939,5177,1/28/2024,0,22.6,34.9,47.2
ANGE,-103.992,40.7939,5177,1/29/2024,0,30.4,43.2,56
ANGE,-103.992,40.7939,5177,1/30/2024,0,27.9,42.3,56.8
ANGE,-103.992,40.7939,5177,1/31/2024,0,26.5,42.9,59.4
ANGE,-103.992,40.7939,5177,2/1/2024,0,27,44.6,62.2
ANGE,-103.992,40.7939,5177,2/2/2024,0,28.6,44,59.4
ANGE,-103.992,40.7939,5177,2/3/2024,0.08,27.7,39,50.3
ANGE,-103.992,40.7939,5177,2/4/2024,0.49,32.4,36.4,40.4
ANGE,-103.992,40.7939,5177,2/5/2024,0,23.5,34,44.4
ANGE,-103.992,40.7939,5177,2/6/2024,0,23.7,36.4,49.1
ANGE,-103.992,40.7939,5177,2/7/2024,0,27.7,39.5,51.4
ANGE,-103.992,40.7939,5177,2/8/2024,0.13,28.2,39,49.7
ANGE,-103.992,40.7939,5177,2/9/2024,0,23.1,34.1,45.2
ANGE,-103.992,40.7939,5177,2/10/2024,0.34,21.4,31,40.6
ANGE,-103.992,40.7939,5177,2/11/2024,0.23,9.6,18.2,26.9
ANGE,-103.992,40.7939,5177,2/12/2024,0,6.1,17.2,28.4
ANGE,-103.992,40.7939,5177,2/13/2024,0,17.7,27.9,38.1
ANGE,-103.992,40.7939,5177,2/14/2024,0,20,30.8,41.7
ANGE,-103.992,40.7939,5177,2/15/2024,0,21.7,31.6,41.4
ANGE,-103.992,40.7939,5177,2/16/2024,0.02,18.7,26.8,35
ANGE,-103.992,40.7939,5177,2/17/2024,0.07,3.5,11.6,19.6
ANGE,-103.992,40.7939,5177,2/18/2024,0,1.3,14.4,27.4
ANGE,-103.992,40.7939,5177,2/19/2024,0,15.7,30.2,44.7
ANGE,-103.992,40.7939,5177,2/20/2024,0,27.5,38.8,50.2
ANGE,-103.992,40.7939,5177,2/21/2024,0,30.3,44.5,58.7
ANGE,-103.992,40.7939,5177,2/22/2024,0,30.6,43.7,56.7
ANGE,-103.992,40.7939,5177,2/23/2024,0.01,27.6,36.2,44.9
ANGE,-103.992,40.7939,5177,2/24/2024,0,24.6,36.4,48.2
ANGE,-103.992,40.7939,5177,2/25/2024,0,26.6,41.9,57.2
ANGE,-103.992,40.7939,5177,2/26/2024,0,31.2,46.5,61.7
ANGE,-103.992,40.7939,5177,2/27/2024,0,30.2,45.4,60.6
ANGE,-103.992,40.7939,5177,2/28/2024,0,11.9,20.9,29.9
ANGE,-103.992,40.7939,5177,2/29/2024,0,12.6,30.3,48
ANGE,-103.992,40.7939,5177,3/1/2024,0,22.1,41.1,60.1
ANGE,-103.992,40.7939,5177,3/2/2024,0,31.2,47.1,63
ANGE,-103.992,40.7939,5177,3/3/2024,0,31.4,48.7,66
ANGE,-103.992,40.7939,5177,3/4/2024,0,27.2,38.2,49.2
ANGE,-103.992,40.7939,5177,3/5/2024,0,19.1,31.3,43.5
ANGE,-103.992,40.7939,5177,3/6/2024,0,16.9,31.1,45.3
ANGE,-103.992,40.7939,5177,3/7/2024,0,23.4,40,56.5
ANGE,-103.992,40.7939,5177,3/8/2024,0.1,20.1,26.3,32.5
ANGE,-103.992,40.7939,5177,3/9/2024,0.03,17.3,24.8,32.4
ANGE,-103.992,40.7939,5177,3/10/2024,0,15.7,34,52.4
ANGE,-103.992,40.7939,5177,3/11/2024,0,27.2,44.8,62.4
ANGE,-103.992,40.7939,5177,3/12/2024,0,32,44.5,57.1
ANGE,-103.992,40.7939,5177,3/13/2024,0.06,34,46.8,59.5
ANGE,-103.992,40.7939,5177,3/14/2024,1,31.1,39.5,47.9
ANGE,-103.992,40.7939,5177,3/15/2024,0.11,26,31.1,36.2
ANGE,-103.992,40.7939,5177,3/16/2024,0,25.3,34.4,43.5
ANGE,-103.992,40.7939,5177,3/17/2024,0,22.9,36.4,50
ANGE,-103.992,40.7939,5177,3/18/2024,0,22,34.3,46.7
ANGE,-103.992,40.7939,5177,3/19/2024,0,22.7,41.2,59.7
ANGE,-103.992,40.7939,5177,3/20/2024,0,28.9,45.9,62.9
ANGE,-103.992,40.7939,5177,3/21/2024,0,26.6,40.8,54.9
ANGE,-103.992,40.7939,5177,3/22/2024,0,28.1,47.4,66.7
ANGE,-103.992,40.7939,5177,3/23/2024,0,23.5,40.4,57.2
ANGE,-103.992,40.7939,5177,3/24/2024,0.11,24.1,41.5,58.9
ANGE,-103.992,40.7939,5177,3/25/2024,0.05,16,33.8,51.5
ANGE,-103.992,40.7939,5177,3/26/2024,0,7,17.6,28.1
ANGE,-103.992,40.7939,5177,3/27/2024,0.02,10,24.7,39.5
ANGE,-103.992,40.7939,5177,3/28/2024,0,19.5,35.1,50.8
ANGE,-103.992,40.7939,5177,3/29/2024,0,29.1,45.3,61.6
ANGE,-103.992,40.7939,5177,3/30/2024,0.05,34,41.9,49.8
ANGE,-103.992,40.7939,5177,3/31/2024,0,29.2,43.8,58.4
ANGE,-103.992,40.7939,5177,4/1/2024,0.41,31.5,45,58.5
ANGE,-103.992,40.7939,5177,4/2/2024,0,26.7,37.1,47.5
ANGE,-103.992,40.7939,5177,4/3/2024,0,29.1,43.5,57.9
ANGE,-103.992,40.7939,5177,4/4/2024,0,35.7,51.6,67.6
ANGE,-103.992,40.7939,5177,4/5/2024,0,34.4,53.5,72.6
ANGE,-103.992,40.7939,5177,4/6/2024,0,36.1,54.7,73.2
ANGE,-103.992,40.7939,5177,4/7/2024,0.15,30.7,39.2,47.6
ANGE,-103.992,40.7939,5177,4/8/2024,0,25,38.1,51.2
ANGE,-103.992,40.7939,5177,4/9/2024,0,23.9,38.2,52.4
ANGE,-103.992,40.7939,5177,4/10/2024,0,27.9,43.2,58.4
ANGE,-103.992,40.7939,5177,4/11/2024,0,22.8,38.6,54.5
ANGE,-103.992,40.7939,5177,4/12/2024,0,24.8,42,59.2
ANGE,-103.992,40.7939,5177,4/13/2024,0,25.6,49.8,74
ANGE,-103.992,40.7939,5177,4/14/2024,0,40.7,57.8,74.9
ANGE,-103.992,40.7939,5177,4/15/2024,0,39.4,58.9,78.5
ANGE,-103.992,40.7939,5177,4/16/2024,0.02,40.6,58.3,76
ANGE,-103.992,40.7939,5177,4/17/2024,0.04,39.6,52.3,65
ANGE,-103.992,40.7939,5177,4/18/2024,0.06,28.8,46.9,65
ANGE,-103.992,40.7939,5177,4/19/2024,0,28.5,32.4,36.3
ANGE,-103.992,40.7939,5177,4/20/2024,0.12,24.2,30,35.7
ANGE,-103.992,40.7939,5177,4/21/2024,0.09,23.2,26.7,30.3
ANGE,-103.992,40.7939,5177,4/22/2024,0,24.5,41.2,57.8
ANGE,-103.992,40.7939,5177,4/23/2024,0,34.1,51.1,68.1
ANGE,-103.992,40.7939,5177,4/24/2024,0,34.2,47,59.9
ANGE,-103.992,40.7939,5177,4/25/2024,0.02,39.6,56.1,72.5
ANGE,-103.992,40.7939,5177,4/26/2024,0.22,45.7,59.5,73.3
ANGE,-103.992,40.7939,5177,4/27/2024,0.17,41.9,52.4,62.8
ANGE,-103.992,40.7939,5177,4/28/2024,0.42,35.2,39.1,43.1
ANGE,-103.992,40.7939,5177,4/29/2024,0.17,34.9,46.3,57.7
ANGE,-103.992,40.7939,5177,4/30/2024,0,38.3,51.4,64.5
ANGE,-103.992,40.7939,5177,5/1/2024,0,41.3,53.2,65.1
ANGE,-103.992,40.7939,5177,5/2/2024,0.04,31.7,45.9,60
ANGE,-103.992,40.7939,5177,5/3/2024,0,34,45.5,57
ANGE,-103.992,40.7939,5177,5/4/2024,0,24.4,45.7,67
ANGE,-103.992,40.7939,5177,5/5/2024,0,27.9,43.7,59.5
ANGE,-103.992,40.7939,5177,5/6/2024,0,36.6,55.5,74.4
ANGE,-103.992,40.7939,5177,5/7/2024,0,42,48.2,54.4
ANGE,-103.992,40.7939,5177,5/8/2024,0,34.1,47.1,60.2
ANGE,-103.992,40.7939,5177,5/9/2024,0,35.6,45.8,56
ANGE,-103.992,40.7939,5177,5/10/2024,0,34.1,43.7,53.3
ANGE,-103.992,40.7939,5177,5/11/2024,0,34.1,46.8,59.5
ANGE,-103.992,40.7939,5177,5/12/2024,0,38.9,53.2,67.5
ANGE,-103.992,40.7939,5177,5/13/2024,0.04,38.8,52.5,66.2
ANGE,-103.992,40.7939,5177,5/14/2024,0.27,42.9,58,73
ANGE,-103.992,40.7939,5177,5/15/2024,0.09,44.2,60.1,76
ANGE,-103.992,40.7939,5177,5/16/2024,0.01,41,52.5,64
ANGE,-103.992,40.7939,5177,5/17/2024,0,45.4,59.5,73.7
ANGE,-103.992,40.7939,5177,5/18/2024,0,41.7,61.9,82.1
ANGE,-103.992,40.7939,5177,5/19/2024,0,43,58,73
ANGE,-103.992,40.7939,5177,5/20/2024,0,41.2,60.3,79.3
ANGE,-103.992,40.7939,5177,5/21/2024,0.37,40,53.5,67
ANGE,-103.992,40.7939,5177,5/22/2024,0.11,32.5,45.3,58.2
ANGE,-103.992,40.7939,5177,5/23/2024,0,35.5,51,66.4
ANGE,-103.992,40.7939,5177,5/24/2024,0,38.2,57,75.7
ANGE,-103.992,40.7939,5177,5/25/2024,0,41.5,54.6,67.7
ANGE,-103.992,40.7939,5177,5/26/2024,0.08,46.3,57.8,69.3
ANGE,-103.992,40.7939,5177,5/27/2024,0,41.9,56.4,70.9
ANGE,-103.992,40.7939,5177,5/28/2024,0,44.1,59.4,74.6
ANGE,-103.992,40.7939,5177,5/29/2024,0.18,45.9,60.9,75.9
ANGE,-103.992,40.7939,5177,5/30/2024,0.04,48.1,65.3,82.4
ANGE,-103.992,40.7939,5177,5/31/2024,0.34,47,60.5,74.1
ANGE,-103.992,40.7939,5177,6/1/2024,0,44,56.3,68.6
ANGE,-103.992,40.7939,5177,6/2/2024,0.11,46,62.8,79.6
ANGE,-103.992,40.7939,5177,6/3/2024,0.06,46.6,64.1,81.5
ANGE,-103.992,40.7939,5177,6/4/2024,0,51.4,68.2,85.1
ANGE,-103.992,40.7939,5177,6/5/2024,0,48.8,63.9,79
ANGE,-103.992,40.7939,5177,6/6/2024,0,45.6,67.1,88.5
ANGE,-103.992,40.7939,5177,6/7/2024,0,49.7,67.8,85.9
ANGE,-103.992,40.7939,5177,6/8/2024,0.03,55.2,73.2,91.2
ANGE,-103.992,40.7939,5177,6/9/2024,0.43,52.3,64.3,76.4
ANGE,-103.992,40.7939,5177,6/10/2024,0,53.2,62.4,71.5
ANGE,-103.992,40.7939,5177,6/11/2024,0.22,54.1,69.6,85.2
ANGE,-103.992,40.7939,5177,6/12/2024,0,54.5,68.7,82.8
ANGE,-103.992,40.7939,5177,6/13/2024,0.01,59.5,76.7,93.8
ANGE,-103.992,40.7939,5177,6/14/2024,0.04,58.3,72.2,86
ANGE,-103.992,40.7939,5177,6/15/2024,0.3,55.6,68.7,81.8
ANGE,-103.992,40.7939,5177,6/16/2024,0.07,51.1,68.6,86.2
ANGE,-103.992,40.7939,5177,6/17/2024,0.05,51.5,66.1,80.7
ANGE,-103.992,40.7939,5177,6/18/2024,0,50.5,69,87.5
ANGE,-103.992,40.7939,5177,6/19/2024,0,39.3,55.2,71.1
ANGE,-103.992,40.7939,5177,6/20/2024,0,43.6,54.7,65.8
ANGE,-103.992,40.7939,5177,6/21/2024,0.19,57.9,74.4,90.8
ANGE,-103.992,40.7939,5177,6/22/2024,0.16,49.6,65.1,80.7
ANGE,-103.992,40.7939,5177,6/23/2024,0,52.3,69,85.7
ANGE,-103.992,40.7939,5177,6/24/2024,0,58,76.8,95.7
ANGE,-103.992,40.7939,5177,6/25/2024,0,58.4,76.5,94.6
ANGE,-103.992,40.7939,5177,6/26/2024,0,55.5,75.8,96
ANGE,-103.992,40.7939,5177,6/27/2024,0.12,56.9,72.9,88.9
ANGE,-103.992,40.7939,5177,6/28/2024,0,52.8,72.3,91.8
ANGE,-103.992,40.7939,5177,6/29/2024,0.31,50.5,70.9,91.4
ANGE,-103.992,40.7939,5177,6/30/2024,0,51.5,65.3,79.1
ANGE,-103.992,40.7939,5177,7/1/2024,0.02,58.5,72.5,86.5
ANGE,-103.992,40.7939,5177,7/2/2024,0.03,56.9,70.2,83.4
ANGE,-103.992,40.7939,5177,7/3/2024,0,49.4,66,82.7
ANGE,-103.992,40.7939,5177,7/4/2024,0,44.6,66.7,88.8
ANGE,-103.992,40.7939,5177,7/5/2024,0,47.3,62.1,77
ANGE,-103.992,40.7939,5177,7/6/2024,0,48.1,63.9,79.8
ANGE,-103.992,40.7939,5177,7/7/2024,0,49.7,66.7,83.6
ANGE,-103.992,40.7939,5177,7/8/2024,0.12,42.1,57.2,72.4
ANGE,-103.992,40.7939,5177,7/9/2024,0,43.4,62.4,81.5
ANGE,-103.992,40.7939,5177,7/10/2024,0,48.6,68.2,87.8
ANGE,-103.992,40.7939,5177,7/11/2024,0,52,71.4,90.9
ANGE,-103.992,40.7939,5177,7/12/2024,0,57.4,76.3,95.1
ANGE,-103.992,40.7939,5177,7/13/2024,0,58.1,77.6,97
ANGE,-103.992,40.7939,5177,7/14/2024,0.01,60.8,79,97.1
ANGE,-103.992,40.7939,5177,7/15/2024,0,62.8,80.6,98.5
ANGE,-103.992,40.7939,5177,7/16/2024,0.07,55.4,74.4,93.5
ANGE,-103.992,40.7939,5177,7/17/2024,0.02,53.4,71.1,88.8
ANGE,-103.992,40.7939,5177,7/18/2024,0.26,51.7,69.4,87.2
ANGE,-103.992,40.7939,5177,7/19/2024,0.03,53.2,70.8,88.4
ANGE,-103.992,40.7939,5177,7/20/2024,0.16,54.8,72.2,89.5
ANGE,-103.992,40.7939,5177,7/21/2024,0.11,53.8,68.6,83.4
ANGE,-103.992,40.7939,5177,7/22/2024,0.02,50.5,66,81.6
ANGE,-103.992,40.7939,5177,7/23/2024,0,50.7,66.8,82.9
ANGE,-103.992,40.7939,5177,7/24/2024,0,51.8,70.7,89.5
ANGE,-103.992,40.7939,5177,7/25/2024,0,53.3,73.7,94.1
ANGE,-103.992,40.7939,5177,7/26/2024,0,56,76.1,96.2
ANGE,-103.992,40.7939,5177,7/27/2024,0.06,54.7,74.3,93.8
ANGE,-103.992,40.7939,5177,7/28/2024,0.23,55,73.6,92.3
ANGE,-103.992,40.7939,5177,7/29/2024,0.05,50.6,70.4,90.1
ANGE,-103.992,40.7939,5177,7/30/2024,0,52.6,74.3,96
ANGE,-103.992,40.7939,5177,7/31/2024,0,55.7,76.1,96.6
ANGE,-103.992,40.7939,5177,8/1/2024,0,53.3,72.4,91.6
ANGE,-103.992,40.7939,5177,8/2/2024,0,56.4,76,95.7
ANGE,-103.992,40.7939,5177,8/3/2024,0.12,53.5,75,96.6
ANGE,-103.992,40.7939,5177,8/4/2024,0,57.3,75.8,94.3
ANGE,-103.992,40.7939,5177,8/5/2024,0.02,63.5,81.4,99.3
ANGE,-103.992,40.7939,5177,8/6/2024,0,59.4,76.5,93.5
ANGE,-103.992,40.7939,5177,8/7/2024,0.26,59.2,75,90.8
ANGE,-103.992,40.7939,5177,8/8/2024,0.24,56.1,73.4,90.7
ANGE,-103.992,40.7939,5177,8/9/2024,0.4,51.9,56.2,60.6
ANGE,-103.992,40.7939,5177,8/10/2024,0.05,51.3,54.5,57.8
ANGE,-103.992,40.7939,5177,8/11/2024,0.02,52.3,64.7,77.1
ANGE,-103.992,40.7939,5177,8/12/2024,0.15,54.6,70.6,86.6
ANGE,-103.992,40.7939,5177,8/13/2024,0.77,56.4,69.3,82.2
ANGE,-103.992,40.7939,5177,8/14/2024,0.48,55.9,70,84
ANGE,-103.992,40.7939,5177,8/15/2024,0.02,52.5,68.5,84.5
ANGE,-103.992,40.7939,5177,8/16/2024,0.08,53.3,67.9,82.6
ANGE,-103.992,40.7939,5177,8/17/2024,0,53.9,70.6,87.2
ANGE,-103.992,40.7939,5177,8/18/2024,0,56.5,76.3,96
ANGE,-103.992,40.7939,5177,8/19/2024,0,59.2,76,92.7
ANGE,-103.992,40.7939,5177,8/20/2024,0.18,57,72.1,87.3
ANGE,-103.992,40.7939,5177,8/21/2024,0,56.9,74.5,92.1
ANGE,-103.992,40.7939,5177,8/22/2024,0.22,55.4,74,92.7
ANGE,-103.992,40.7939,5177,8/23/2024,0.02,56.6,69.4,82.1
ANGE,-103.992,40.7939,5177,8/24/2024,0.28,56.2,70.3,84.5
ANGE,-103.992,40.7939,5177,8/25/2024,0,56.5,72.2,87.9
ANGE,-103.992,40.7939,5177,8/26/2024,0.04,56.7,71.7,86.6
ANGE,-103.992,40.7939,5177,8/27/2024,0,49.9,65.9,81.9
ANGE,-103.992,40.7939,5177,8/28/2024,0,50.8,65.9,81
ANGE,-103.992,40.7939,5177,8/29/2024,0,53.2,71,88.9
ANGE,-103.992,40.7939,5177,8/30/2024,0,43.7,61.6,79.5
ANGE,-103.992,40.7939,5177,8/31/2024,0,43.5,62.5,81.5
ANGE,-103.992,40.7939,5177,9/1/2024,0,50.4,68.7,87
ANGE,-103.992,40.7939,5177,9/2/2024,0,53.3,69.1,85
ANGE,-103.992,40.7939,5177,9/3/2024,0,53.1,70.7,88.2
ANGE,-103.992,40.7939,5177,9/4/2024,0,55.2,73.3,91.5
ANGE,-103.992,40.7939,5177,9/5/2024,0.13,53.5,66.2,78.8
ANGE,-103.992,40.7939,5177,9/6/2024,0,51.7,62.9,74
ANGE,-103.992,40.7939,5177,9/7/2024,0,48.4,64.7,81.1
ANGE,-103.992,40.7939,5177,9/8/2024,0,49.6,67.7,85.9
ANGE,-103.992,40.7939,5177,9/9/2024,0,52.6,69.4,86.1
ANGE,-103.992,40.7939,5177,9/10/2024,0.01,54.6,72.1,89.7
ANGE,-103.992,40.7939,5177,9/11/2024,0,53.9,71.1,88.3
ANGE,-103.992,40.7939,5177,9/12/2024,0.08,51.9,69.2,86.4
ANGE,-103.992,40.7939,5177,9/13/2024,0,51.9,70.6,89.2
ANGE,-103.992,40.7939,5177,9/14/2024,0,49.3,64.5,79.7
ANGE,-103.992,40.7939,5177,9/15/2024,0,46.6,66,85.4
ANGE,-103.992,40.7939,5177,9/16/2024,0,51.8,69.3,86.8
ANGE,-103.992,40.7939,5177,9/17/2024,0,49.8,67.2,84.5
ANGE,-103.992,40.7939,5177,9/18/2024,0.06,45.4,66.4,87.5
ANGE,-103.992,40.7939,5177,9/19/2024,0,44.1,61.8,79.5
ANGE,-103.992,40.7939,5177,9/20/2024,0,47.9,64.1,80.3
ANGE,-103.992,40.7939,5177,9/21/2024,0,48.8,66.5,84.1
ANGE,-103.992,40.7939,5177,9/22/2024,0.03,45.9,57.3,68.7
ANGE,-103.992,40.7939,5177,9/23/2024,0.01,39.3,49.9,60.4
ANGE,-103.992,40.7939,5177,9/24/2024,0,40.8,61.1,81.3
ANGE,-103.992,40.7939,5177,9/25/2024,0,46.8,61.8,76.8
ANGE,-103.992,40.7939,5177,9/26/2024,0,48.7,66,83.3
ANGE,-103.992,40.7939,5177,9/27/2024,0,51.4,72.1,92.7
ANGE,-103.992,40.7939,5177,9/28/2024,0,54,69.7,85.3
ANGE,-103.992,40.7939,5177,9/29/2024,0,55.1,71.3,87.6
ANGE,-103.992,40.7939,5177,9/30/2024,0,55.3,72.3,89.4
ANGE,-103.992,40.7939,5177,10/1/2024,0,36.2,52.8,69.3
ANGE,-103.992,40.7939,5177,10/2/2024,0,36.2,55,73.8
ANGE,-103.992,40.7939,5177,10/3/2024,0,46.6,67.4,88.2
ANGE,-103.992,40.7939,5177,10/4/2024,0,37.4,51.7,66.1
ANGE,-103.992,40.7939,5177,10/5/2024,0,37.5,58.3,79
ANGE,-103.992,40.7939,5177,10/6/2024,0,40,60.8,81.6
ANGE,-103.992,40.7939,5177,10/7/2024,0,40.1,57.2,74.3
ANGE,-103.992,40.7939,5177,10/8/2024,0,41.9,59.5,77.1
ANGE,-103.992,40.7939,5177,10/9/2024,0,43,62.2,81.3
ANGE,-103.992,40.7939,5177,10/10/2024,0,44.2,62.6,80.9
ANGE,-103.992,40.7939,5177,10/11/2024,0,45.5,64.5,83.4
ANGE,-103.992,40.7939,5177,10/12/2024,0,44.7,57.3,70
ANGE,-103.992,40.7939,5177,10/13/2024,0,40.7,58.6,76.4
ANGE,-103.992,40.7939,5177,10/14/2024,0,34.2,49.3,64.4
ANGE,-103.992,40.7939,5177,10/15/2024,0,34.7,57.6,80.5
ANGE,-103.992,40.7939,5177,10/16/2024,0,33.9,46.2,58.4
ANGE,-103.992,40.7939,5177,10/17/2024,0,34.3,55.7,77.2
ANGE,-103.992,40.7939,5177,10/18/2024,0,40.7,57.4,74.1
ANGE,-103.992,40.7939,5177,10/19/2024,0.08,37.9,41.7,45.5
ANGE,-103.992,40.7939,5177,10/20/2024,0,38.2,49.4,60.6
ANGE,-103.992,40.7939,5177,10/21/2024,0,40.9,56.3,71.8
ANGE,-103.992,40.7939,5177,10/22/2024,0.02,40.7,54.6,68.6
ANGE,-103.992,40.7939,5177,10/23/2024,0,36.2,55.2,74.2
ANGE,-103.992,40.7939,5177,10/24/2024,0,34.8,52,69.1
ANGE,-103.992,40.7939,5177,10/25/2024,0,30.8,48.6,66.5
ANGE,-103.992,40.7939,5177,10/26/2024,0,30.4,46.6,62.7
ANGE,-103.992,40.7939,5177,10/27/2024,0,31.9,51.4,70.8
ANGE,-103.992,40.7939,5177,10/28/2024,0,34.4,53.9,73.4
ANGE,-103.992,40.7939,5177,10/29/2024,0,41.4,52.6,63.8
ANGE,-103.992,40.7939,5177,10/30/2024,0,33.5,43.4,53.2
ANGE,-103.992,40.7939,5177,10/31/2024,0.02,29.2,35.1,40.9
,,,,,,,,
NAVI4,-105.1768,43.4643,4426,1/1/2024,0,14.6,26.1,37.7
NAVI4,-105.1768,43.4643,4426,1/2/2024,0,16.8,32.7,48.6
NAVI4,-105.1768,43.4643,4426,1/3/2024,0,13.6,29.4,45.3
NAVI4,-105.1768,43.4643,4426,1/4/2024,0,11.8,26.5,41.3
NAVI4,-105.1768,43.4643,4426,1/5/2024,0,11.5,23.7,35.9
NAVI4,-105.1768,43.4643,4426,1/6/2024,0,15,25.3,35.5
NAVI4,-105.1768,43.4643,4426,1/7/2024,0,11.4,23.3,35.2
NAVI4,-105.1768,43.4643,4426,1/8/2024,0.03,10.8,22.4,34
NAVI4,-105.1768,43.4643,4426,1/9/2024,0,1.4,11,20.5
NAVI4,-105.1768,43.4643,4426,1/10/2024,0,7.7,20,32.4
NAVI4,-105.1768,43.4643,4426,1/11/2024,0.03,3.9,18.8,33.6
NAVI4,-105.1768,43.4643,4426,1/12/2024,0,-7.9,2.3,12.4
NAVI4,-105.1768,43.4643,4426,1/13/2024,0.01,-26.4,-13,0.5
NAVI4,-105.1768,43.4643,4426,1/14/2024,0.03,-32,-23,-14
NAVI4,-105.1768,43.4643,4426,1/15/2024,0.02,-24.6,-12.2,0.1
NAVI4,-105.1768,43.4643,4426,1/16/2024,0,-23.5,-14.2,-4.8
