PRISM Time Series Data
Locations: 42
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Apr-09
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
NAVI4,-105.1768,43.4643,4426,January,0.29,12.6,24.4,36.1
NAVI4,-105.1768,43.4643,4426,February,0.49,14.4,26.4,38.3
NAVI4,-105.1768,43.4643,4426,March,0.79,22.8,36.0,49.3
NAVI4,-105.1768,43.4643,4426,April,1.59,30.3,43.7,57.0
NAVI4,-105.1768,43.4643,4426,May,2.69,40.0,53.3,66.6
NAVI4,-105.1768,43.4643,4426,June,2.12,49.4,64.0,78.7
NAVI4,-105.1768,43.4643,4426,July,1.63,56.4,72.4,88.5
NAVI4,-105.1768,43.4643,4426,August,1.06,54.5,70.8,87.2
NAVI4,-105.1768,43.4643,4426,September,0.94,44.4,60.8,77.1
NAVI4,-105.1768,43.4643,4426,October,1.10,31.9,46.6,61.3
NAVI4,-105.1768,43.4643,4426,November,0.48,21.2,34.1,46.9
NAVI4,-105.1768,43.4643,4426,December,0.34,13.1,24.7,36.3
NAVI4,-105.1768,43.4643,4426,Annual,13.52,32.6,46.4,60.3

ANGE,-103.5760,42.6900,4157,January,0.40,12.8,25.5,38.2
ANGE,-103.5760,42.6900,4157,February,0.56,14.7,27.3,39.9
ANGE,-103.5760,42.6900,4157,March,1.27,22.6,36.4,50.1
ANGE,-103.5760,42.6900,4157,April,2.23,30.3,44.2,58.2
ANGE,-103.5760,42.6900,4157,May,3.63,40.4,54.0,67.6
ANGE,-103.5760,42.6900,4157,June,3.04,50.4,64.7,79.1
ANGE,-103.5760,42.6900,4157,July,2.48,56.8,72.1,87.4
ANGE,-103.5760,42.6900,4157,August,1.66,54.5,70.4,86.3
ANGE,-103.5760,42.6900,4157,September,1.54,44.6,60.9,77.2
ANGE,-103.5760,42.6900,4157,October,1.59,32.1,47.1,62.1
ANGE,-103.5760,42.6900,4157,November,0.54,21.2,34.8,48.5
ANGE,-103.5760,42.6900,4157,December,0.50,13.5,26.0,38.5
ANGE,-103.5760,42.6900,4157,Annual,19.43,32.8,47.0,61.1

ANGE,-103.0970,42.6397,4321,January,0.40,18.9,28.5,38.1
ANGE,-103.0970,42.6397,4321,February,0.55,19.7,30.0,40.3
ANGE,-103.0970,42.6397,4321,March,1.06,25.5,37.5,49.5
ANGE,-103.0970,42.6397,4321,April,2.15,32.8,45.2,57.6
ANGE,-103.0970,42.6397,4321,May,3.18,43.0,55.0,67.0
ANGE,-103.0970,42.6397,4321,June,3.05,53.2,66.1,78.9
ANGE,-103.0970,42.6397,4321,July,2.41,59.8,73.4,87.0
ANGE,-103.0970,42.6397,4321,August,1.71,58.0,71.8,85.7
ANGE,-103.0970,42.6397,4321,September,1.56,47.9,62.2,76.5
ANGE,-103.0970,42.6397,4321,October,1.46,36.9,49.2,61.5
ANGE,-103.0970,42.6397,4321,November,0.57,27.5,37.9,48.3
ANGE,-103.0970,42.6397,4321,December,0.49,19.9,29.1,38.3
ANGE,-103.0970,42.6397,4321,Annual,18.59,36.9,48.8,60.7

ANGE,-103.0970,42.6397,4321,January,0.40,18.9,28.5,38.1
ANGE,-103.0970,42.6397,4321,February,0.55,19.7,30.0,40.3
ANGE,-103.0970,42.6397,4321,March,1.06,25.5,37.5,49.5
ANGE,-103.0970,42.6397,4321,April,2.15,32.8,45.2,57.6
ANGE,-103.0970,42.6397,4321,May,3.18,43.0,55.0,67.0
ANGE,-103.0970,42.6397,4321,June,3.05,53.2,66.1,78.9
ANGE,-103.0970,42.6397,4321,July,2.41,59.8,73.4,87.0
ANGE,-103.0970,42.6397,4321,August,1.71,58.0,71.8,85.7
ANGE,-103.0970,42.6397,4321,September,1.56,47.9,62.2,76.5
ANGE,-103.0970,42.6397,4321,October,1.46,36.9,49.2,61.5
ANGE,-103.0970,42.6397,4321,November,0.57,27.5,37.9,48.3
ANGE,-103.0970,42.6397,4321,December,0.49,19.9,29.1,38.3
ANGE,-103.0970,42.6397,4321,Annual,18.59,36.9,48.8,60.7

ANGE,-103.0290,42.7065,4042,January,0.40,19.0,28.5,38.1
ANGE,-103.0290,42.7065,4042,February,0.55,19.9,30.1,40.3
ANGE,-103.0290,42.7065,4042,March,1.06,26.0,37.7,49.4
ANGE,-103.0290,42.7065,4042,April,2.12,33.6,45.7,57.7
ANGE,-103.0290,42.7065,4042,May,3.14,44.0,55.6,67.1
ANGE,-103.0290,42.7065,4042,June,3.01,54.3,66.8,79.4
ANGE,-103.0290,42.7065,4042,July,2.43,60.9,74.2,87.4
ANGE,-103.0290,42.7065,4042,August,1.72,59.0,72.6,86.2
ANGE,-103.0290,42.7065,4042,September,1.55,48.9,62.9,76.8
ANGE,-103.0290,42.7065,4042,October,1.45,37.5,49.4,61.3
ANGE,-103.0290,42.7065,4042,November,0.59,27.8,38.2,48.5
ANGE,-103.0290,42.7065,4042,December,0.49,19.8,29.1,38.4
ANGE,-103.0290,42.7065,4042,Annual,18.51,37.5,49.2,60.9

POSE,-105.4820,42.2583,7628,January,1.19,12.0,20.6,29.2
POSE,-105.4820,42.2583,7628,February,1.40,12.5,22.1,31.6
POSE,-105.4820,42.2583,7628,March,1.96,19.3,30.1,40.8
POSE,-105.4820,42.2583,7628,April,2.91,24.8,36.1,47.5
POSE,-105.4820,42.2583,7628,May,3.50,33.6,45.4,57.1
POSE,-105.4820,42.2583,7628,June,2.12,42.3,56.0,69.7
POSE,-105.4820,42.2583,7628,July,1.51,49.7,63.9,78.0
POSE,-105.4820,42.2583,7628,August,1.26,48.3,62.4,76.5
POSE,-105.4820,42.2583,7628,September,1.45,40.5,53.8,67.1
POSE,-105.4820,42.2583,7628,October,1.74,29.7,41.1,52.5
POSE,-105.4820,42.2583,7628,November,1.38,20.3,29.3,38.3
POSE,-105.4820,42.2583,7628,December,1.40,12.5,20.7,28.8
POSE,-105.4820,42.2583,7628,Annual,21.83,28.8,40.1,51.4

POSE,-106.7621,38.6000,9705,January,2.00,8.9,19.6,30.3
POSE,-106.7621,38.6000,9705,February,1.94,10.3,21.6,33.0
POSE,-106.7621,38.6000,9705,March,1.80,16.2,28.6,41.0
POSE,-106.7621,38.6000,9705,April,1.93,22.8,34.9,47.0
POSE,-106.7621,38.6000,9705,May,1.68,31.6,44.1,56.5
POSE,-106.7621,38.6000,9705,June,0.95,40.1,54.2,68.3
POSE,-106.7621,38.6000,9705,July,1.98,45.8,59.5,73.1
POSE,-106.7621,38.6000,9705,August,1.91,44.4,57.5,70.7
POSE,-106.7621,38.6000,9705,September,1.74,38.0,51.2,64.3
POSE,-106.7621,38.6000,9705,October,1.38,28.8,40.7,52.6
POSE,-106.7621,38.6000,9705,November,1.63,17.3,28.5,39.6
POSE,-106.7621,38.6000,9705,December,1.80,9.3,19.7,30.2
POSE,-106.7621,38.6000,9705,Annual,20.76,26.1,38.3,50.5

ACLE9,-106.9903,38.9562,9551,January,3.76,1.0,15.7,30.3
ACLE9,-106.9903,38.9562,9551,February,4.28,3.5,18.4,33.3
ACLE9,-106.9903,38.9562,9551,March,3.59,11.2,26.1,41.1
ACLE9,-106.9903,38.9562,9551,April,3.53,19.5,33.2,46.9
ACLE9,-106.9903,38.9562,9551,May,2.87,28.2,42.4,56.6
ACLE9,-106.9903,38.9562,9551,June,1.54,35.3,51.8,68.3
ACLE9,-106.9903,38.9562,9551,July,2.08,41.4,57.3,73.3
ACLE9,-106.9903,38.9562,9551,August,2.84,40.2,55.7,71.2
ACLE9,-106.9903,38.9562,9551,September,2.81,33.6,49.0,64.3
ACLE9,-106.9903,38.9562,9551,October,2.51,24.2,38.4,52.5
ACLE9,-106.9903,38.9562,9551,November,3.12,12.7,26.2,39.7
ACLE9,-106.9903,38.9562,9551,December,3.65,2.2,15.9,29.7
ACLE9,-106.9903,38.9562,9551,Annual,36.57,21.1,35.8,50.6

ACLE9,-107.4176,39.7944,11260,January,4.70,5.5,16.1,26.7
ACLE9,-107.4176,39.7944,11260,February,4.48,4.6,15.8,27.0
ACLE9,-107.4176,39.7944,11260,March,4.10,9.4,21.2,33.0
ACLE9,-107.4176,39.7944,11260,April,4.47,14.6,26.4,38.2
ACLE9,-107.4176,39.7944,11260,May,3.36,23.7,35.5,47.3
ACLE9,-107.4176,39.7944,11260,June,1.54,33.5,45.9,58.3
ACLE9,-107.4176,39.7944,11260,July,1.68,40.5,52.7,64.8
ACLE9,-107.4176,39.7944,11260,August,1.99,39.3,51.1,62.9
ACLE9,-107.4176,39.7944,11260,September,2.50,32.4,43.8,55.2
ACLE9,-107.4176,39.7944,11260,October,3.16,22.0,32.5,43.0
ACLE9,-107.4176,39.7944,11260,November,3.78,12.9,23.1,33.3
ACLE9,-107.4176,39.7944,11260,December,4.51,6.0,16.1,26.3
ACLE9,-107.4176,39.7944,11260,Annual,40.27,20.4,31.7,43.0

HEMU3,-105.4100,40.1100,7749,January,0.85,19.0,28.7,38.4
HEMU3,-105.4100,40.1100,7749,February,1.12,18.3,28.9,39.5
HEMU3,-105.4100,40.1100,7749,March,2.16,23.6,35.2,46.8
HEMU3,-105.4100,40.1100,7749,April,3.16,28.5,40.3,52.2
HEMU3,-105.4100,40.1100,7749,May,3.12,36.9,48.9,61.0
HEMU3,-105.4100,40.1100,7749,June,2.02,45.3,59.2,73.0
HEMU3,-105.4100,40.1100,7749,July,2.41,52.5,65.8,79.1
HEMU3,-105.4100,40.1100,7749,August,2.09,50.7,63.9,77.1
HEMU3,-105.4100,40.1100,7749,September,1.88,43.2,56.5,69.7
HEMU3,-105.4100,40.1100,7749,October,1.47,33.5,45.3,57.1
HEMU3,-105.4100,40.1100,7749,November,1.04,25.1,35.5,45.9
HEMU3,-105.4100,40.1100,7749,December,0.93,18.8,28.5,38.2
HEMU3,-105.4100,40.1100,7749,Annual,22.26,33.0,44.7,56.5

HEMU3,-105.0400,38.9600,8278,January,0.69,10.1,24.0,37.9
HEMU3,-105.0400,38.9600,8278,February,0.78,11.6,25.5,39.4
HEMU3,-105.0400,38.9600,8278,March,1.75,18.7,32.8,46.8
HEMU3,-105.0400,38.9600,8278,April,2.46,24.8,38.7,52.6
HEMU3,-105.0400,38.9600,8278,May,2.74,33.3,47.6,61.8
HEMU3,-105.0400,38.9600,8278,June,2.02,42.2,57.8,73.5
HEMU3,-105.0400,38.9600,8278,July,3.48,47.1,62.5,77.9
HEMU3,-105.0400,38.9600,8278,August,3.70,46.3,60.8,75.3
HEMU3,-105.0400,38.9600,8278,September,1.74,39.0,54.0,69.1
HEMU3,-105.0400,38.9600,8278,October,1.13,28.4,43.2,57.9
HEMU3,-105.0400,38.9600,8278,November,0.97,18.5,32.4,46.3
HEMU3,-105.0400,38.9600,8278,December,0.70,10.4,24.3,38.2
HEMU3,-105.0400,38.9600,8278,Annual,22.15,27.5,42.0,56.4

HEMU3,-106.9823,38.9563,9675,January,3.60,2.4,16.6,30.8
HEMU3,-106.9823,38.9563,9675,February,4.06,4.8,19.1,33.4
HEMU3,-106.9823,38.9563,9675,March,3.43,11.9,26.5,41.2
HEMU3,-106.9823,38.9563,9675,April,3.38,19.7,33.2,46.7
HEMU3,-106.9823,38.9563,9675,May,2.74,28.5,42.3,56.2
HEMU3,-106.9823,38.9563,9675,June,1.47,35.9,51.9,67.9
HEMU3,-106.9823,38.9563,9675,July,2.05,41.8,57.3,72.8
HEMU3,-106.9823,38.9563,9675,August,2.73,40.6,55.7,70.8
HEMU3,-106.9823,38.9563,9675,September,2.71,34.0,48.9,63.9
HEMU3,-106.9823,38.9563,9675,October,2.44,24.6,38.4,52.1
HEMU3,-106.9823,38.9563,9675,November,2.99,13.2,26.5,39.8
HEMU3,-106.9823,38.9563,9675,December,3.48,3.5,16.8,30.0
HEMU3,-106.9823,38.9563,9675,Annual,35.11,21.7,36.1,50.5

HEMU3,-106.9586,38.9360,9245,January,2.97,-1.8,13.3,28.3
HEMU3,-106.9586,38.9360,9245,February,3.03,0.4,16.3,32.2
HEMU3,-106.9586,38.9360,9245,March,2.64,7.9,24.2,40.4
HEMU3,-106.9586,38.9360,9245,April,2.56,18.4,33.0,47.5
HEMU3,-106.9586,38.9360,9245,May,2.00,27.4,42.5,57.6
HEMU3,-106.9586,38.9360,9245,June,1.00,33.5,51.5,69.5
HEMU3,-106.9586,38.9360,9245,July,1.94,39.8,57.3,74.7
HEMU3,-106.9586,38.9360,9245,August,2.08,38.9,55.6,72.4
HEMU3,-106.9586,38.9360,9245,September,2.16,31.9,48.7,65.6
HEMU3,-106.9586,38.9360,9245,October,2.00,22.9,38.3,53.6
HEMU3,-106.9586,38.9360,9245,November,2.41,10.7,25.2,39.8
HEMU3,-106.9586,38.9360,9245,December,2.74,-0.7,13.8,28.4
HEMU3,-106.9586,38.9360,9245,Annual,27.52,19.1,35.0,50.8

HEMU3,-108.4223,38.4267,9216,January,4.15,13.4,23.8,34.3
HEMU3,-108.4223,38.4267,9216,February,4.35,14.5,25.8,37.2
HEMU3,-108.4223,38.4267,9216,March,3.90,20.4,33.0,45.7
HEMU3,-108.4223,38.4267,9216,April,2.85,25.7,38.2,50.8
HEMU3,-108.4223,38.4267,9216,May,2.29,34.6,47.1,59.7
HEMU3,-108.4223,38.4267,9216,June,0.57,44.0,57.9,71.8
HEMU3,-108.4223,38.4267,9216,July,1.46,50.1,63.8,77.6
HEMU3,-108.4223,38.4267,9216,August,1.70,48.7,61.8,75.0
HEMU3,-108.4223,38.4267,9216,September,2.04,41.9,54.8,67.7
HEMU3,-108.4223,38.4267,9216,October,2.41,31.6,43.5,55.5
HEMU3,-108.4223,38.4267,9216,November,2.74,21.6,32.0,42.5
HEMU3,-108.4223,38.4267,9216,December,3.96,13.6,23.7,33.7
HEMU3,-108.4223,38.4267,9216,Annual,32.41,30.0,42.2,54.3

HEMU3,-107.5813,39.8482,9977,January,3.71,8.8,18.8,28.9
HEMU3,-107.5813,39.8482,9977,February,3.33,9.0,19.8,30.6
HEMU3,-107.5813,39.8482,9977,March,3.67,14.4,26.2,38.0
HEMU3,-107.5813,39.8482,9977,April,4.55,19.9,31.9,43.9
HEMU3,-107.5813,39.8482,9977,May,3.30,28.9,40.9,53.0
HEMU3,-107.5813,39.8482,9977,June,1.31,38.5,51.4,64.4
HEMU3,-107.5813,39.8482,9977,July,1.51,45.4,58.0,70.6
HEMU3,-107.5813,39.8482,9977,August,2.01,44.3,56.3,68.4
HEMU3,-107.5813,39.8482,9977,September,2.13,37.3,49.0,60.7
HEMU3,-107.5813,39.8482,9977,October,2.67,26.7,37.6,48.6
HEMU3,-107.5813,39.8482,9977,November,3.30,16.5,26.4,36.3
HEMU3,-107.5813,39.8482,9977,December,3.27,9.1,18.7,28.3
HEMU3,-107.5813,39.8482,9977,Annual,34.75,24.9,36.3,47.6

HEMU3,-106.6249,40.7514,9432,January,7.27,9.2,17.8,26.3
HEMU3,-106.6249,40.7514,9432,February,7.04,9.1,18.7,28.4
HEMU3,-106.6249,40.7514,9432,March,5.28,15.0,25.9,36.8
HEMU3,-106.6249,40.7514,9432,April,5.56,20.8,32.3,43.8
HEMU3,-106.6249,40.7514,9432,May,4.36,28.8,41.0,53.3
HEMU3,-106.6249,40.7514,9432,June,2.43,37.4,51.0,64.7
HEMU3,-106.6249,40.7514,9432,July,1.59,44.4,58.2,72.1
HEMU3,-106.6249,40.7514,9432,August,2.20,43.4,56.8,70.2
