PRISM Time Series Data
Locations: 42
"Climate variables: ppt,tmean"
Spatial resolution: 800m
Period: 2026-01 - 2026-03
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Apr-09
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmean (degrees F)
NAVI4,-105.1768,43.4643,4426,2026-01,0.02,29.6
NAVI4,-105.1768,43.4643,4426,2026-02,0.19,34.5
NAVI4,-105.1768,43.4643,4426,2026-03,0.09,45.3

ANGE,-103.5760,42.6900,4157,2026-01,0.12,29.9
ANGE,-103.5760,42.6900,4157,2026-02,0.16,36.1
ANGE,-103.5760,42.6900,4157,2026-03,0.44,45.3

ANGE,-103.0970,42.6397,4321,2026-01,0.13,38.1
ANGE,-103.0970,42.6397,4321,2026-02,0.20,45.1
ANGE,-103.0970,42.6397,4321,2026-03,0.28,46.8

ANGE,-103.0970,42.6397,4321,2026-01,0.13,38.1
ANGE,-103.0970,42.6397,4321,2026-02,0.20,45.1
ANGE,-103.0970,42.6397,4321,2026-03,0.28,46.8

ANGE,-103.0290,42.7065,4042,2026-01,0.10,36.8
ANGE,-103.0290,42.7065,4042,2026-02,0.19,45.6
ANGE,-103.0290,42.7065,4042,2026-03,0.27,47.1

POSE,-105.4820,42.2583,7628,2026-01,0.56,23.5
POSE,-105.4820,42.2583,7628,2026-02,1.00,31.3
POSE,-105.4820,42.2583,7628,2026-03,0.96,39.5

POSE,-106.7621,38.6000,9705,2026-01,0.88,21.9
POSE,-106.7621,38.6000,9705,2026-02,1.48,27.5
POSE,-106.7621,38.6000,9705,2026-03,0.40,39.0

ACLE9,-106.9903,38.9562,9551,2026-01,2.56,15.9
ACLE9,-106.9903,38.9562,9551,2026-02,4.02,24.6
ACLE9,-106.9903,38.9562,9551,2026-03,0.63,36.3

ACLE9,-107.4176,39.7944,11260,2026-01,2.94,17.3
ACLE9,-107.4176,39.7944,11260,2026-02,4.16,21.4
ACLE9,-107.4176,39.7944,11260,2026-03,1.23,30.6

HEMU3,-105.4100,40.1100,7749,2026-01,0.60,30.6
HEMU3,-105.4100,40.1100,7749,2026-02,0.51,37.2
HEMU3,-105.4100,40.1100,7749,2026-03,1.56,45.0

HEMU3,-105.0400,38.9600,8278,2026-01,0.93,28.7
HEMU3,-105.0400,38.9600,8278,2026-02,0.33,36.6
HEMU3,-105.0400,38.9600,8278,2026-03,1.38,44.9

HEMU3,-106.9823,38.9563,9675,2026-01,2.45,17.2
HEMU3,-106.9823,38.9563,9675,2026-02,3.76,25.2
HEMU3,-106.9823,38.9563,9675,2026-03,0.61,36.4

HEMU3,-106.9586,38.9360,9245,2026-01,1.80,14.9
HEMU3,-106.9586,38.9360,9245,2026-02,2.72,23.6
HEMU3,-106.9586,38.9360,9245,2026-03,0.56,34.6

HEMU3,-108.4223,38.4267,9216,2026-01,4.11,24.2
HEMU3,-108.4223,38.4267,9216,2026-02,3.27,30.2
HEMU3,-108.4223,38.4267,9216,2026-03,0.61,42.5

HEMU3,-107.5813,39.8482,9977,2026-01,2.22,19.5
HEMU3,-107.5813,39.8482,9977,2026-02,2.73,25.1
HEMU3,-107.5813,39.8482,9977,2026-03,1.38,34.9

HEMU3,-106.6249,40.7514,9432,2026-01,5.15,20.4
HEMU3,-106.6249,40.7514,9432,2026-02,5.91,25.9
HEMU3,-106.6249,40.7514,9432,2026-03,1.79,35.6

HEMU3,-106.4300,40.3100,9327,2026-01,1.52,20.4
HEMU3,-106.4300,40.3100,9327,2026-02,1.86,24.4
HEMU3,-106.4300,40.3100,9327,2026-03,0.94,36.0

HEMU3,-106.9902,38.9563,9551,2026-01,2.56,15.9
HEMU3,-106.9902,38.9563,9551,2026-02,4.02,24.6
HEMU3,-106.9902,38.9563,9551,2026-03,0.63,36.3

HEMU3,-106.9902,38.9563,9551,2026-01,2.56,15.9
HEMU3,-106.9902,38.9563,9551,2026-02,4.02,24.6
HEMU3,-106.9902,38.9563,9551,2026-03,0.63,36.3

HEMU3,-106.5879,40.7549,9206,2026-01,3.71,20.7
HEMU3,-106.5879,40.7549,9206,2026-02,4.41,26.5
HEMU3,-106.5879,40.7549,9206,2026-03,1.42,36.5

HEMU3,-105.0194,37.7775,8356,2026-01,0.94,31.1
HEMU3,-105.0194,37.7775,8356,2026-02,0.62,37.1
HEMU3,-105.0194,37.7775,8356,2026-03,0.59,46.1

HEMU3,-107.8660,37.3661,7198,2026-01,0.63,32.2
HEMU3,-107.8660,37.3661,7198,2026-02,1.47,38.0
HEMU3,-107.8660,37.3661,7198,2026-03,0.10,48.9

HEMU3,-107.3153,37.1939,6857,2026-01,0.59,33.6
HEMU3,-107.3153,37.1939,6857,2026-02,1.02,35.2
HEMU3,-107.3153,37.1939,6857,2026-03,0.11,49.4

PEWH,-105.7600,39.6300,11690,2026-01,1.74,14.3
PEWH,-105.7600,39.6300,11690,2026-02,2.50,20.0
PEWH,-105.7600,39.6300,11690,2026-03,1.75,29.8

PEWH,-106.1100,40.9200,9380,2026-01,1.21,20.2
PEWH,-106.1100,40.9200,9380,2026-02,1.85,25.8
PEWH,-106.1100,40.9200,9380,2026-03,1.29,35.6

PEWH,-107.0001,38.9544,10476,2026-01,2.76,19.3
PEWH,-107.0001,38.9544,10476,2026-02,4.58,25.1
PEWH,-107.0001,38.9544,10476,2026-03,0.64,36.0

PEWH,-105.6901,40.6241,11060,2026-01,1.71,17.5
PEWH,-105.6901,40.6241,11060,2026-02,3.09,22.5
PEWH,-105.6901,40.6241,11060,2026-03,1.45,31.1

