id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
295500,UCR,,,PreservedSpecimen,UCR-BPS-29315,,UCR-29315,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"Margaret Douglass",,61--491,1961-08-17,,1961,8,17,229,,1961-8-17,,"Sandy soil of old roadbed.",,,,,,,,,,,,"Flowering & Fruiting",,,,,,,,,"North America",,,,"United States",US,Colorado,Grand,,"Rocky Mountain National Park. Slope of Parkview Mountain near Willow Creek Pass",,0,,40.35,-106.10694,,,,,,GoogleEarthACS,,,3049,,,,,,,,,"2026-01-24 19:11:38",1441524,9,97fd34cc-6eba-49a9-aeee-0aeb35304332,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=295500
295501,UCR,,,PreservedSpecimen,UCR-BPS-6567,,UCR-6567,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,"A.C. Sanders",2024,,,,,,"Carol Chaney",,081,1960-07-23,,1960,7,23,205,,1960-7-23,,"Grassy field.",,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,Gunnison,,"0.5 mile south of Gothic in open grassy field",,0,,38.95,-106.98333,,,,,,GoogleEarthACS,,,2896,,,,,,,,,"2026-01-24 19:11:38",1441525,9,d9725288-461d-479f-82c1-8f9880d36b7f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=295501
327564,UCR,,,PreservedSpecimen,UCR-BPS-94576,,UCR-94576,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"John Robertson",,71,1989-09-17,,1989,9,17,260,,1989-9-17,,,,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,"Las Animas",,"Schwachheim Creek: 1/3-1/4 mile up slope east and above north tip of Lake Dorothy",,0,,37.00639,-104.3675,,,,,,"Collector GeoRef",,,2287,,,,,,,,,"2026-01-24 19:11:40",1473287,9,19886acc-c798-459e-b1cb-07e733577346,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=327564
479855,CS,,,PreservedSpecimen,0d87bad6-fc30-45d4-baaf-0acffd90041e,112498,33380,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"H Harrington 3798",,,1947-09-07,,1947,9,7,250,,"7 Sep 1947",,"open rocky ground",,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"Alamosa County",,"Sand Dunes Natl Monument, San Luis Valley",,0,,37.78,-105.53,WGS84,,,,,,,,2438,,,,,7999ft.,,en,,"2017-01-16 20:44:48",12358,30,0d87bad6-fc30-45d4-baaf-0acffd90041e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479855
479856,CS,,,PreservedSpecimen,376f0178-fdef-4f6b-824f-3725610b9f6f,112515,33227,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"H Schmoll 434",,,1921-09-04,,1921,9,4,247,,"4 Sep 1921",,"E-facing rocky slope",,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"Boulder County",,Ward,,0,,40.07,-105.51,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:44:48",12375,30,376f0178-fdef-4f6b-824f-3725610b9f6f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479856
479857,CS,,,PreservedSpecimen,7e79731c-016f-4239-a43e-c56bd6fa184c,112530,12432,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"P Douglas 1506",,,1986-08-23,,1986,8,23,235,,"23 Aug 1986",,"NW exposure",,,,,,,,,,,"Eriogonum, Pseudotsuga",,,,,,1,,,,,,,,"United States",US,Colorado,"Conejos County",,"El Rito Azul, 2 mi W of Twin Lakes, NNE of Blue Lake",,0,,37.26,-106.61,WGS84,,,,,,,,3535,,,,,11598ft.,,en,,"2017-01-16 20:44:47",12389,30,7e79731c-016f-4239-a43e-c56bd6fa184c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479857
479858,CS,,,PreservedSpecimen,1f7eed5a-c6b9-4aca-b638-f3d028ebeaf3,112500,72036,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"E Neese 15783",,,1984-06-19,,1984,6,19,171,,"19 Jun 1984",,"clay slopes",,,,,,,,,,,"Xylorhiza, Sitanion, Atriplex",,,,,,1,,,,,,,,"United States",US,Colorado,"Delta County",,"1 mi SSE of Hotchkiss",,0,,38.96,-107.69,WGS84,,,,,,,,1658,,,,,5440ft.,,en,,"2017-01-16 20:44:47",12360,30,1f7eed5a-c6b9-4aca-b638-f3d028ebeaf3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479858
479859,CS,,,PreservedSpecimen,2ea625b6-7955-4313-8b10-8b2717fd217f,112543,21688,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"J Cowen",,,1892-06-30,,1892,6,30,182,,"30 Jun 1892",,,,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"Delta County",,Hotchkiss,,0,,38.8,-107.73,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:44:47",12402,30,2ea625b6-7955-4313-8b10-8b2717fd217f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479859
479860,CS,,,PreservedSpecimen,bfaaeccd-4531-46b0-9eca-b9cf36b2716e,112548,75562,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"D Loebig 353",,,1991-08-21,,1991,8,21,233,,"21 Aug 1991",,"along roadsides in ditch, also found in some native vegetation stands",,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"Dolores County",,"Hwy 666 north past Cahone, east on C.R. M 1 mile, north on gravel road 2.5 miles to Cross Canyon; USGS Dolores Co. Topo. sheet 1 of 3",,0,,37.74,-108.83,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:44:46",12407,30,bfaaeccd-4531-46b0-9eca-b9cf36b2716e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479860
479862,CS,,,PreservedSpecimen,819ce8b0-7203-448c-b796-f65c988bda3e,112497,33219,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"P Ginter 648",,,1942-08-22,,1942,8,22,234,,"22 Aug 1942",,"gravel soil, NW exopsure",,,,,,,,,,,"sage, rabbit brush",,,,,,1,,,,,,,,"United States",US,Colorado,"Eagle County",,"Eagle R, 1 mi N of Avon",,0,,39.63,-106.52,WGS84,,,,,,,,2346,,,,,7697ft.,,en,,"2017-01-16 20:44:46",12357,30,819ce8b0-7203-448c-b796-f65c988bda3e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479862
