id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
184829,USU,UTC,,PreservedSpecimen,USU:UTC:34343,UTC00034343,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,,Poales,Poaceae,"Achnatherum lettermanii",2133,"(Vasey) Barkworth",Achnatherum,,lettermanii,,,,,Species,"Kimberly Pierson",1995,,,,,,"Marion Ownby",,1423,1937-08-10,,1937,8,10,222,,,,"Dry meadow ",,,,,,,,,,,,Fruiting,,0,,,,,,,,,,,"United States",US,Colorado,Archuleta,,"Meadow near Archuleta Creek, Tierra Amarilla Land Grant, San Juan Mountains.",,0,,37.027777,-106.555465,,210,,,,GeoLocate,reviewed,,,,,,,,,,,"2025-04-23 02:12:04",34343,16,a446340a-defb-4661-ae56-b4bc59a2e7b0,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=184829
187225,USU,UTC,,PreservedSpecimen,USU:UTC:42557,UTC00042557,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,,Poales,Poaceae,"Achnatherum lettermanii",2133,"(Vasey) Barkworth",Achnatherum,,lettermanii,,,,,Species,"Mary E. Barkworth",2012,,,,,,"Reed C. Rollins",,1461,1936-07-26,,1936,7,26,208,,,,"Open hillside",,"Bunches 2 to 8 inches in diameter",,,,,,,,,,Flowering,,0,,,,,,,,,,,"United States",US,Colorado,Boulder,,"Near Meyers gulch, about 18 mi NW of Sapinero",,0,,39.970627,-105.352833,,1091,"39° 57.470' N 105° 20.719' W",Barkworth,"Google Maps + Geolocate",GeoLocate,reviewed,"Wow - lot of searching to find the Gulch",2740,,,,,9000ft,,,,"2025-04-23 02:12:04",42557,16,5a5fc8a4-1dfe-4732-b51c-028dcfdb0d1f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=187225
195920,USU,UTC,,PreservedSpecimen,USU:UTC:78364,UTC00078364,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,,Poales,Poaceae,"Achnatherum lettermanii",2133,"(Vasey) Barkworth",Achnatherum,,lettermanii,,,,,Species,"Mary E. Barkworth",2012,,,,,,"William A. Weber",,3656,1947-08-28,,1947,8,28,240,,,,"Rocky talus  west slope ",,,,,,,,,,,,Flowering,,0,,,,,,,,,,,"United States",US,Colorado,Montrose,,"Uncompahgre Plateau; 1 mi west of Windy Point",,0,,38.457252,-108.558011,,1666,,,,GeoLocate,reviewed,,,,,,,,,,,"2025-04-23 02:12:04",78364,16,e116a6b6-ed9a-4a15-b3e9-d1fe1091112e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=195920
199381,USU,UTC,,PreservedSpecimen,USU:UTC:92599,UTC00092599,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,,Poales,Poaceae,"Achnatherum lettermanii",2133,"(Vasey) Barkworth",Achnatherum,,lettermanii,,,,,Species,,,,,,,,"LC Anderson ",,474.1,1956-07-11,,1956,7,11,193,,,,"Frequent in moist soil of meadow ",,,,,,,,,,,,,,0,,,,,,,,,,,"United States",US,Wyoming,Teton,,"12 mi E of Driggs ID; Scout Camp  btw Teton FC and Treasure Mt; btw Teton Cr and road ",,0,,43.7558333,-110.9333333,,,,,,,,,,,,,,,,,,"2025-04-23 02:12:04",92599,16,637b32ae-0e81-4e33-9fbe-c313c71d237d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=199381
200350,USU,UTC,,PreservedSpecimen,USU:UTC:97559,UTC00097559,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,,Poales,Poaceae,"Achnatherum lettermanii",2133,"(Vasey) Barkworth",Achnatherum,,lettermanii,,,,,Species,"Laurel K. Andertone",2010,,,,,,"William Barmore",,s.n.,1959-10-14,,1959,10,14,287,,,,"Infrequent along trail",,,,,,,,,,,,,,0,,,,,,,,,,,"United States",US,Colorado,Moffat,,"Dinosaur N.M. ; Along trail to Harper's [Hoper's on label.Corner",,0,,40.388112,-109.01801,,16481,,Barkworth,"Google Maps+Geolocate",GeoLocate,reviewed,"midway between Dinosaur and Harpers Corner, uncertainty includes both",,,,,,,,,,"2025-04-23 02:12:04",97559,16,2be1f752-6627-4408-aeaf-df9ab3b5ba77,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=200350
205643,USU,UTC,,PreservedSpecimen,USU:UTC:113706,UTC00113706,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,,Poales,Poaceae,"Achnatherum lettermanii",2133,"(Vasey) Barkworth",Achnatherum,,lettermanii,,,,,Species,"Mary E. Barkworth",2012,,,,,,"Don Lyngolds ",,56,,,,,,,,,,"Steep slopes in deep loam soil. ",,,,,,,,,,,,Fruiting,,0,,,,,,,,,,,"United States",US,Colorado,"San Miguel",,"Lizard Head Pass. ",,0,,37.810262,-107.911439,,301,,Barkworth,,GeoLocate,reviewed,"Moved to elevation",3050,,,,,10000ft,,,,"2025-04-23 02:12:04",113706,16,8f874ffe-2777-4265-a8f7-65160692fc89,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=205643
212545,USU,UTC,,PreservedSpecimen,USU:UTC:138262,UTC00138262,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,,Poales,Poaceae,"Achnatherum lettermanii",2133,"(Vasey) Barkworth",Achnatherum,,lettermanii,,,,,Species,,,,,,,,"Beverly J. Albee ",,1481,1973-07-09,,1973,7,9,190,,,,"Floodplain of Little Grey's River; disturbed by man and cows ",,,,,,,,,,,,,,0,,,,,,,,,,,"United States",US,Wyoming,Lincoln,,"Skull Cr and Little Grey's River  8 mi up river from Alpine; Pine Creek Quad ",,0,,43.1530556,-110.8702778,,,,,,,,,1853,,,,,,,,,"2025-04-23 02:12:04",138262,16,c1f729b8-f9f4-4873-b9df-5eb38884a7f0,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=212545
217732,USU,UTC,,PreservedSpecimen,USU:UTC:154717,UTC00154717,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,,Poales,Poaceae,"Achnatherum lettermanii",2133,"(Vasey) Barkworth",Achnatherum,,lettermanii,,,,,Species,,,,,,,,"LM Shultz; JS Shultz ",,3017,1978-08-26,,1978,8,26,238,,,,"Common in open meadow  Agropyron trachycaulum-Artemisia tridentata type ",,,,,,,,,,,,,,0,,,,,,,,,,,"United States",US,Wyoming,Lincoln,,"Bridger-Teton National Forest ; La Barge Meadows at Little Corral Cr  S of Salt River Range  31 mi W of La Barge ",,0,,42.4986111,-110.6930556,,,,,,,,,2621,,,,,,,,,"2025-04-23 02:12:04",154717,16,df79f039-0efd-49e3-86ff-80b423ec5048,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=217732
217963,USU,UTC,,PreservedSpecimen,USU:UTC:155629,UTC00155629,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,,Poales,Poaceae,"Achnatherum lettermanii",2133,"(Vasey) Barkworth",Achnatherum,,lettermanii,,,,,Species,,,,,,,,"JS Shultz ",,358,1978-08-28,,1978,8,28,240,,,,"Limestone ridge with Spruce/Fir (whitebark pine below) ",,,,,,,,,,,,,,0,,,,,,,,,,,"United States",US,Wyoming,Sublette,,"Deadline Ridge; 22 airmiles SW of Big Piney  below Bald Knoll ",,0,,42.3991667,-110.4736111,,,,,,,,,3048,,,,,,,,,"2025-04-23 02:12:04",155629,16,12514813-989f-41d1-90f2-69a717b6be3e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=217963
220174,USU,UTC,,PreservedSpecimen,USU:UTC:162576,UTC00162576,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipeae|Achnatherum,Plantae,Magnoliophyta,,Poales,Poaceae,"Achnatherum lettermanii",2133,"(Vasey) Barkworth",Achnatherum,,lettermanii,,,,,Species,,,,,,,,"JS Shultz ",,677,1979-08-15,,1979,8,15,227,,,,"In deep clay soil below lodgepole and fir; w/ Geranium  Thalictrum  and Aster ",,,,,,,,,,,,,,0,,,,,,,,,,,"United States",US,Wyoming,Lincoln,,"Wyoming Range  Blind Bull Rd below Blind Bull Lake ",,0,,42.9447222,-110.6525,,,,,,,,,2316,,,,,,,,,"2025-04-23 02:12:04",162576,16,a9efce22-0c6c-40e0-b5f9-cfcdba03a56b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=220174
