id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
377794,UCR,,,PreservedSpecimen,UCR-BPS-84942,,UCR-84942,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon",Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Penstemon whippleanus",3242,"A. Gray",Penstemon,,whippleanus,,,,,Species,,,,,,,,"G.P. Schultz",,23,1993-08-25,,1993,8,25,237,,1993-8-25,XXX,"Spruce-pine forest with increasing subalpine and alpine meadows. Dominant species include Aguilegia caeulea, Helenium hoopesii.",,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,Gunnison,,"Ruby Mountains, Mt. Owens, WNW of Crester Butte. On jeep trail from Irwin Lake turnoff to Green Lake. Trail follows creek that flows from Green Lake",,0,,38.88919,-107.11519,,,"T13S R87W sec28",,,GoogleEarthACS,,,3201,,,,,,,,,"2026-01-24 19:11:42",1520958,9,48341453-0943-4846-adbf-7551a7dcd6cb,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=377794
377796,UCR,,,PreservedSpecimen,UCR-BPS-27757,,UCR-27757,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon",Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Penstemon whippleanus",3242,"A. Gray",Penstemon,,whippleanus,,,,,Species,,,,,,,,"George Ferguson",,86,1981-08-07,,1981,8,7,219,,1981-8-7,,"Tundra, alpine cirque.",,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,Pitkin,,"Sawatch Range, White River National Forest, near Grizzly Lake",,0,,39.05056,-106.59389,,,"T12S R82W sec31",,,GoogleEarthACS,,,3720,,,,,,,,,"2026-01-24 19:11:42",1520960,9,68aeebde-c3bc-458a-8b5a-bf713b13a90a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=377796
377797,UCR,,,PreservedSpecimen,UCR-BPS-54820,,UCR-54820,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon",Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Penstemon whippleanus",3242,"A. Gray",Penstemon,,whippleanus,,,,,Species,,,,,,,,"Katherine I. Matthews",,1910,1986-07-00,,1986,7,0,,,1986-7,,"Alpine ridge.",,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,Pitkin/Gunnison,,"Elk Mountains, south of Taylor Pass",,0,,39.02028,-106.755,,,,,,TopoZoneACS,,,3850,,,,,,,,,"2026-01-24 19:11:42",1520961,9,48aa0e8e-adbd-403a-8166-1fe7446a5982,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=377797
377798,UCR,,,PreservedSpecimen,UCR-BPS-48713,,UCR-48713,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon",Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Penstemon whippleanus",3242,"A. Gray",Penstemon,,whippleanus,,,,,Species,,,,,,,,"David Charlton",,1030,1987-08-12,,1987,8,12,224,,1987-8-12,XXX,"Alpine tundra above 12000 ft with grasses, sedges, willow, elephant beak. below 12000 is Lodgepole pine followed by Fir then Ponderosa Pine. Sedum, Peducularis, Poa, Artemisia.",,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,"Clear Creek",,"Summit Lake area of Mt. Evans. Mt. Evans road via Hwy 103 and Mt. Evans Hwy I 70 at Idaho Springs",,0,,39.59889,-105.64056,,,,,,GoogleEarthACS,,,3354,,,,,,,,,"2026-01-24 19:11:42",1520962,9,fec23ed4-1612-4b21-947d-264fa2f9b60c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=377798
377801,UCR,,,PreservedSpecimen,UCR-BPS-30916,,UCR-30916,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon",Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Penstemon whippleanus",3242,"A. Gray",Penstemon,,whippleanus,,,,,Species,,,,,,,,"V. Siplivinsky",,4742,1982-08-13,,1982,8,13,225,,1982-8-13,,"NE slope. Spruce forest.",,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,"San Miguel",,"Uncampahgre National Forest, Lone Cone",,0,,37.89389,-108.25139,,,"T42N R13W sec",,,TopoZoneACS,,,3476,,,,,,,,,"2026-01-24 19:11:42",1520965,9,2c584539-8a74-4f7b-a10a-05a92ad40f6d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=377801
377807,UCR,,,PreservedSpecimen,UCR-BPS-59093,,UCR-59093,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon",Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Penstemon whippleanus",3242,"A. Gray",Penstemon,,whippleanus,,,,,Species,"A.C. Sanders",1989,,,,,,"J.C. Lyman",,s.n.,1989-07-06,,1989,7,6,187,,1989-7-6,,"Mountain meadows at and above timberline. Subalpine fir and Engelmann spruce krumholz at Twin Lakes.",,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,Conejos,,"Rocky Mountains: South San Juan Wilderness area, on the hike from Twin Lakes to Conejos Peak, a total distance of c. 2 miles",,0,,37.27722,-106.5775,,,,,,TopoZoneACS,,,3354,,,,,,,,,"2026-01-24 19:11:42",1520971,9,aa054551-bf55-4805-8a1d-2117c988a7aa,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=377807
377808,UCR,,,PreservedSpecimen,UCR-BPS-6659,,UCR-6659,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon",Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Penstemon whippleanus",3242,"A. Gray",Penstemon,,whippleanus,,,,,Species,,,,,,,,"Carol Chaney",,s.n.,1960-07-14,,1960,7,14,196,,1960-7-14,,"Shady area under spruce.",,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,Gunnison,,"Schofield Pass, 200 yards NW of Elko Park Road",,0,,39.0175,-107.0475,,,,,,GoogleEarthACS,,,3567,,,,,,,,,"2026-01-24 19:11:42",1520972,9,46a38d67-1c94-4253-955a-3b85780f0e65,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=377808
377809,UCR,,,PreservedSpecimen,UCR-BPS-6129,,UCR-6129,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon",Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Penstemon whippleanus",3242,"A. Gray",Penstemon,,whippleanus,,,,,Species,,,,,,,,"Frank C. Vasek",,650802--11B,1965-08-02,,1965,8,2,214,,1965-8-2,,,,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,Eagle/Lake,,"Tennessee Pass, north of Leadville, on continental divide, White River National Forest",,0,,39.36222,-106.31083,,,,,,TopoZoneACS,,,3178,,,,,,,,,"2026-01-24 19:11:42",1520973,9,ef8fd789-70a3-4c35-b6d3-7645ad4571a3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=377809
403912,UCR,,,PreservedSpecimen,UCR-BPS-131223,,UCR-131223,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon",Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Penstemon whippleanus",3242,"A. Gray",Penstemon,,whippleanus,,,,,Species,"A.C. Sanders",2024,,,,,,"June Latting",,s.n.,1976-07-27,,1976,7,27,209,,1976-7-27,"Lodgepole forest, at timberline.","From lodgepole pine forest to above timberline.",,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,Larimer,,"Tundra Trail north of Poudre Lake, west of Estes Park off Hwy 34; Rocky Mountains",,0,,40.43,-105.81,,,,,,GoogleEarthACS,,,3476,,,,,,,,,"2026-01-24 19:11:43",1545621,9,c09eaf4c-9d0b-464c-b4f2-55631770fd21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=403912
403956,UCR,,,PreservedSpecimen,UCR-BPS-131271,,UCR-131271,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon",Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Penstemon whippleanus",3242,"A. Gray",Penstemon,,whippleanus,,,,,Species,"A.C. Sanders",2000,,,,,,"June Latting",,s.n.,1976-07-23,,1976,7,23,205,,1976-7-23,Perennial.,"Alpine zone.",,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,Eagle,,"White River National Forest, FS Road 1873, peak west of Fools Peak, overlooking Adam Mtn. and Fulford Camp Ground; Rocky Mountains",,0,,39.46,-106.62,,,,,,TopoZoneACS,,,3598,,,,,,,,,"2026-01-24 19:11:43",1545665,9,3121d08e-f77b-409e-9fef-07abe2337144,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=403956
404029,UCR,,,PreservedSpecimen,UCR-BPS-131309,,UCR-131309,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon",Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,"Penstemon whippleanus",3242,"A. Gray",Penstemon,,whippleanus,,,,,Species,"A.C. Sanders",2000,,,,,,"June Latting",,s.n.,1976-07-23,,1976,7,23,205,,1976-7-23,,"Subalpine zone, with Lathyrus lanszwertii leucanthus, Zigadenus elegans, Polygonum bistortoides, Anemone multifida, Phleum alpinum, Potentilla nivea, Penstemon whippleanus, Vaccinium myrtillus oreophilum, Primula parryi, Lupinus argenteus, Caltha leptosepala, etc.",,,,,,,,,,,,Flowering,,,,,,,,,"North America",,,,"United States",US,Colorado,Eagle,,"White River National Forest, FS Road 1873 c. 3 miles west of Fools Peak; Rocky Mountains",,0,,39.46,-106.6625,,,,,,GoogleEarthACS,,,3354,,,,,,,,,"2026-01-24 19:11:43",1545737,9,5bb5408b-b12c-41d2-a4b4-4f2534cd38bf,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=404029
